Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,AARTIIND,2024-12-26,450.55,450.55,437.1,438.3,438.3,2592000.0,2592.0,16248000,-7000
2024-12-11,AARTIIND,2024-12-26,451.55,453.55,446.65,447.55,447.55,1439000.0,1439.0,16255000,18000
2024-12-10,AARTIIND,2024-12-26,448.8,457.6,448.55,449.55,449.55,3310000.0,3310.0,16237000,366000
2024-12-09,AARTIIND,2024-12-26,454.7,456.0,446.15,449.15,449.15,2874000.0,2874.0,15871000,201000
2024-12-06,AARTIIND,2024-12-26,451.35,454.2,449.1,452.8,452.8,1987000.0,1987.0,15670000,-132000
2024-12-05,AARTIIND,2024-12-26,450.25,453.25,444.25,449.9,449.9,4059000.0,4059.0,15802000,-44000
2024-12-04,AARTIIND,2024-12-26,448.5,454.4,445.25,448.85,448.85,2364000.0,2364.0,15846000,-10000
2024-12-03,AARTIIND,2024-12-26,449.4,452.0,445.8,446.4,446.4,2307000.0,2307.0,15856000,253000
2024-12-02,AARTIIND,2024-12-26,450.3,450.3,442.5,446.95,446.95,2309000.0,2309.0,15603000,690000
2024-11-29,AARTIIND,2024-12-26,446.3,454.75,446.25,450.2,450.2,2069000.0,2069.0,14913000,383000
2024-11-28,AARTIIND,2024-11-28,453.85,460.25,445.45,447.7,448.35,8323000.0,8323.0,1075000,-4784000
2024-11-27,AARTIIND,2024-11-28,452.55,458.55,447.65,453.0,453.0,11233000.0,11233.0,5859000,-7074000
2024-11-26,AARTIIND,2024-11-28,441.7,453.6,438.95,452.35,452.35,2433000.0,2433.0,12933000,-1835000
2024-11-25,AARTIIND,2024-11-28,437.8,443.0,436.1,439.9,439.9,855000.0,855.0,14768000,-854000
2024-11-22,AARTIIND,2024-11-28,425.05,436.05,424.6,433.6,433.6,261000.0,261.0,15622000,-260000
2024-11-21,AARTIIND,2024-11-28,430.0,431.85,422.1,425.2,425.2,164000.0,164.0,15882000,-164000
2024-11-19,AARTIIND,2024-11-28,436.15,443.5,432.25,437.85,437.85,246000.0,246.0,16046000,-246000
2024-11-18,AARTIIND,2024-11-28,434.75,442.8,429.45,432.55,432.55,192000.0,192.0,16292000,-189000
2024-11-14,AARTIIND,2024-11-28,431.35,441.8,428.3,438.3,438.3,454000.0,454.0,16481000,-454000
2024-11-13,AARTIIND,2024-11-28,441.7,445.0,426.6,428.9,428.9,549000.0,549.0,16935000,-544000
2024-11-12,AARTIIND,2024-11-28,446.0,449.8,439.8,445.8,445.8,1296000.0,1296.0,17479000,-1296000
2024-11-11,AARTIIND,2024-11-28,455.0,464.25,428.5,440.5,440.5,25226000.0,25226.0,18775000,1383000
2024-11-08,AARTIIND,2024-11-28,521.5,521.55,474.0,476.1,476.1,14037000.0,14037.0,17392000,3076000
2024-11-07,AARTIIND,2024-11-28,525.05,526.95,515.65,516.75,516.75,1947000.0,1947.0,14316000,166000
2024-11-06,AARTIIND,2024-11-28,513.25,524.25,511.8,523.1,523.1,2316000.0,2316.0,14150000,-342000
2024-11-05,AARTIIND,2024-11-28,503.5,515.55,502.95,513.6,513.6,2647000.0,2647.0,14492000,-28000
2024-11-04,AARTIIND,2024-11-28,527.6,531.1,498.2,506.65,506.65,5310000.0,5310.0,14520000,790000
2024-11-01,AARTIIND,2024-11-28,514.45,524.5,514.4,522.45,522.45,1282000.0,1282.0,13730000,71000
2024-10-31,AARTIIND,2024-10-31,507.85,516.35,504.3,510.5,510.9,6374000.0,6374.0,1462000,-4008000
2024-10-30,AARTIIND,2024-10-31,513.75,520.0,510.85,512.7,512.7,4771000.0,4771.0,5470000,-2892000
