Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2018-12-17,ABB,1399.65,800.0,1.6,977.78
2019-09-23,ABB,1553.25,411.9,3.74,478.58
2019-09-26,ABB,1459.9,793.33,1.79,399.9999999999999
2021-04-28,ABB,1387.9,239.47,1.15,63.16
2022-01-06,ABB,2225.25,1850.0,1.75,2525.0
2022-01-21,ABB,2356.75,900.0,1.93,1512.5
2022-02-01,ABB,2287.1,244.44,2.64,122.23000000000002
2022-02-15,ABB,2045.85,128.26,1.37,169.57
2022-02-16,ABB,2033.3,290.48,2.38,276.18999999999994
2022-03-17,ABB,2101.35,300.0,2.21,191.11
2022-05-06,ABB,2254.2,222.17,3.94,-28.079999999999984
2022-07-06,ABB,2517.0,161.49,1.33,-85.05000000000001
2022-08-17,ABB,2891.75,177.36,1.69,141.51
2022-08-18,ABB,2890.5,202.33,1.82,220.93
2022-09-28,ABB,3009.7,145.45,1.07,178.79000000000002
2022-10-03,ABB,2994.8,98.44,1.19,87.5
2022-11-11,ABB,3155.85,91.16,1.72,3.870000000000005
2022-11-18,ABB,3092.65,148.44,1.23,43.75
2022-12-19,ABB,2897.25,95.65,1.04,55.06999999999999
2023-02-28,ABB,3217.35,227.1,4.1,156.08
2023-04-12,ABB,3203.55,232.56,1.65,151.16000000000005
2023-05-03,ABB,3453.6,407.69,1.0,361.54
2023-08-31,ABB,4381.55,183.33,1.54,183.34
2023-09-06,ABB,4500.3,108.51,1.06,4.259999999999991
2023-11-30,ABB,4419.75,200.0,1.97,128.32999999999998
2024-04-23,ABB,6307.45,70.06,1.6,25.75
2024-05-13,ABB,7984.25,101.46,3.01,-72.11999999999999
2024-05-31,ABB,8317.95,89.83,1.31,21.19
2024-06-05,ABB,7812.7,61.81,3.25,4.929999999999993
2024-06-27,ABB,8643.05,72.38,2.35,39.52000000000001
2024-08-09,ABB,7972.1,83.75,2.67,-22.65
2024-09-20,ABB,7695.75,65.71,1.37,32.150000000000006
2024-11-13,ABB,6802.0,50.49,1.11,3.9199999999999946
2024-11-14,ABB,6680.15,77.01,1.51,9.769999999999996
2024-12-30,ABB,6701.95,144.17,4.48,130.68000000000004
2025-02-03,ABB,5197.35,56.33,5.06,11.86
2025-02-05,ABB,5744.95,83.92,1.44,-11.560000000000002
2025-03-07,ABB,5326.55,79.66,1.2,22.03
2025-03-21,ABB,5457.5,74.77,2.18,25.230000000000004
2025-04-21,ABB,5629.0,78.64,1.84,10.679999999999993
2025-04-25,ABB,5499.0,65.92,1.9,19.28
2025-05-13,ABB,5636.5,112.21,2.25,59.55
