Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2015-01-01,ABB,1288.3,1280.0,1330.95,1272.0,1301.5,1303.32,101186,6616,12901,12.75,,,,,,,,,
2015-01-02,ABB,1301.5,1313.75,1323.0,1284.0,1288.0,1303.42,45892,2852,13142,28.64,,,,,,,,,
2015-01-05,ABB,1288.0,1298.0,1314.0,1285.0,1288.3,1295.7,36267,2287,8536,23.54,,,,,,,,,
2015-01-06,ABB,1288.3,1286.45,1287.95,1251.3,1276.6,1265.38,58285,3952,21567,37.0,,,,,,,,,
2015-01-07,ABB,1276.6,1287.9,1291.9,1253.1,1258.2,1268.31,41375,3844,15586,37.67,,,,,,,,,
2015-01-08,ABB,1258.2,1264.0,1320.0,1264.0,1288.0,1298.48,69647,5673,18895,27.13,,,,,,,,,
2015-01-09,ABB,1288.0,1294.95,1302.9,1256.0,1265.05,1279.38,125042,6186,33749,26.99,,,,,,,,,
2015-01-12,ABB,1265.05,1272.9,1279.95,1259.4,1267.0,1270.16,35173,2102,11741,33.38,,,,,,,,,
2015-01-13,ABB,1267.0,1267.0,1304.0,1266.0,1271.3,1284.08,82551,5014,25360,30.72,,,,,,,,,
2015-01-14,ABB,1271.3,1270.0,1302.0,1254.0,1262.5,1278.84,53309,4141,11061,20.75,,,,,,,,,
2015-01-15,ABB,1262.5,1262.0,1287.0,1261.05,1268.15,1273.91,43272,3154,13185,30.47,,,,,,,,,
2015-01-16,ABB,1268.15,1261.0,1288.0,1253.9,1276.45,1274.2,67445,4426,22679,33.63,,,,,,,,,
2015-01-19,ABB,1276.45,1281.0,1310.0,1269.25,1273.1,1290.1,95095,4478,43367,45.6,,,,,,,,,
2015-01-20,ABB,1273.1,1275.1,1302.0,1265.0,1274.3,1287.17,66416,3831,17385,26.18,,,,,,,,,
2015-01-21,ABB,1274.3,1275.0,1291.9,1267.0,1271.6,1278.71,45190,2963,15888,35.16,,,,,,,,,
2015-01-22,ABB,1271.6,1276.0,1299.0,1270.25,1275.9,1281.92,51221,3138,14861,29.01,,,,,,,,,
2015-01-23,ABB,1275.9,1283.0,1318.8,1283.0,1296.4,1300.5,154046,7359,65121,42.27,,,,,,,,,
2015-01-27,ABB,1296.4,1305.95,1341.9,1301.65,1317.1,1322.85,155377,7847,53254,34.27,,,,,,,,,
2015-01-28,ABB,1317.1,1320.0,1352.0,1320.0,1333.75,1336.18,113958,5761,43395,38.08,,,,,,,,,
2015-01-29,ABB,1333.75,1330.0,1331.75,1300.95,1306.25,1314.82,42060,2515,15984,38.0,,,,,,,,,
2015-01-30,ABB,1306.25,1317.0,1320.0,1273.0,1283.9,1298.42,41314,3226,15413,37.31,,,,,,,,,
2015-02-02,ABB,1283.9,1280.0,1295.0,1256.0,1259.95,1269.71,59446,4376,26919,45.28,,,,,,,,,
2015-02-03,ABB,1259.95,1264.0,1280.0,1255.65,1264.15,1269.11,43119,1963,21736,50.41,,,,,,,,,
2015-02-04,ABB,1264.15,1273.2,1288.95,1263.1,1267.85,1274.23,41536,2353,13759,33.13,,,,,,,,,
2015-02-05,ABB,1267.85,1273.9,1275.0,1255.25,1265.45,1265.12,241019,2041,221306,91.82,,,,,,,,,
2015-02-06,ABB,1265.45,1270.9,1288.95,1270.0,1280.45,1279.8,50877,2756,23167,45.54,,,,,,,,,
2015-02-09,ABB,1280.45,1283.0,1284.9,1256.0,1268.1,1270.23,28431,1742,12594,44.3,,,,,,,,,
2015-02-10,ABB,1268.1,1259.95,1391.0,1245.2,1363.95,1332.24,585842,37860,122616,20.93,,,,,,,,,
2015-02-11,ABB,1363.95,1375.0,1407.95,1347.3,1359.8,1372.78,175582,10550,45956,26.17,,,,,,,,,
2015-02-12,ABB,1359.8,1364.0,1374.9,1341.0,1361.8,1351.93,66554,3996,32803,49.29,,,,,,,,,
2015-02-13,ABB,1361.8,1362.0,1389.9,1360.0,1375.8,1373.59,108620,4362,68556,63.12,,,,,,,,,
2015-02-16,ABB,1375.8,1380.0,1454.0,1371.85,1441.75,1429.09,238899,15403,68609,28.72,,,,,,,,,
2015-02-18,ABB,1441.75,1445.0,1459.7,1445.0,1455.65,1451.62,161454,7555,111560,69.1,,,,,,,,,
2015-02-19,ABB,1455.65,1460.0,1526.3,1411.0,1423.05,1471.3,167327,12787,70953,42.4,,,,,,,,,
2015-02-20,ABB,1423.05,1423.0,1445.0,1406.0,1415.35,1428.45,59479,3782,20297,34.12,,,,,,,,,
2015-02-23,ABB,1415.35,1420.0,1442.5,1401.05,1411.95,1423.2,40081,2960,12856,32.08,,,,,,,,,
2015-02-24,ABB,1411.95,1417.0,1419.0,1371.0,1375.85,1388.34,37460,2828,13940,37.21,,,,,,,,,
2015-02-25,ABB,1375.85,1380.0,1443.0,1380.0,1419.9,1424.13,182761,12632,63493,34.74,,,,,,,,,
2015-02-26,ABB,1419.9,1425.0,1431.0,1375.55,1383.8,1407.81,110582,4603,71707,64.85,,,,,,,,,
2015-02-27,ABB,1383.8,1389.2,1414.9,1389.2,1409.65,1408.44,136667,3882,96737,70.78,,,,,,,,,
2015-02-28,ABB,1409.65,1420.7,1458.0,1383.5,1399.55,1429.59,223595,8397,129280,57.82,,,,,,,,,
2015-03-02,ABB,1399.55,1404.0,1425.0,1392.0,1400.5,1403.81,54235,4805,28773,53.05,,,,,,,,,
2015-03-03,ABB,1400.5,1405.0,1425.0,1382.35,1389.25,1402.26,58586,4087,24819,42.36,,,,,,,,,
2015-03-04,ABB,1389.25,1394.0,1408.0,1387.55,1389.4,1397.14,195278,3362,164064,84.02,,,,,,,,,
2015-03-05,ABB,1389.4,1394.0,1397.0,1370.0,1374.15,1380.4,45669,4276,22920,50.19,,,,,,,,,
2015-03-09,ABB,1374.15,1370.0,1378.75,1335.0,1339.75,1346.76,32945,2567,19014,57.71,,,,,,,,,
2015-03-10,ABB,1339.75,1338.1,1362.2,1307.0,1328.4,1334.64,143382,3726,120956,84.36,,,,,,,,,
2015-03-11,ABB,1328.4,1333.0,1371.0,1306.0,1313.2,1333.06,50452,4315,17440,34.57,,,,,,,,,
2015-03-12,ABB,1313.2,1316.5,1336.0,1305.25,1317.1,1317.26,240092,6392,204621,85.23,,,,,,,,,
2015-03-13,ABB,1317.1,1324.95,1354.7,1311.15,1318.45,1333.75,71901,4842,26808,37.28,,,,,,,,,
2015-03-16,ABB,1318.45,1323.0,1331.4,1280.2,1283.15,1291.66,159204,5087,123704,77.7,,,,,,,,,
2015-03-17,ABB,1283.15,1290.05,1295.0,1273.55,1277.45,1281.91,58186,4956,33282,57.2,,,,,,,,,
2015-03-18,ABB,1277.45,1288.3,1289.5,1265.1,1268.35,1276.52,51248,3276,24515,47.84,,,,,,,,,
2015-03-19,ABB,1268.35,1280.0,1316.15,1270.0,1280.35,1295.45,156626,6714,91096,58.16,,,,,,,,,
2015-03-20,ABB,1280.35,1288.8,1288.8,1260.0,1272.75,1271.86,100741,4017,83558,82.94,,,,,,,,,
2015-03-23,ABB,1272.75,1274.0,1274.95,1236.05,1244.5,1250.94,50854,3801,32032,62.99,,,,,,,,,
2015-03-24,ABB,1244.5,1249.9,1249.9,1216.0,1220.25,1227.76,60733,3916,45004,74.1,,,,,,,,,
2015-03-25,ABB,1220.25,1223.0,1238.0,1193.05,1196.6,1214.03,59561,5409,29778,50.0,,,,,,,,,
2015-03-26,ABB,1196.6,1201.0,1239.95,1181.7,1217.8,1200.32,63996,5689,43169,67.46,,,,,,,,,
2015-03-27,ABB,1217.8,1227.0,1229.6,1185.85,1200.65,1203.97,50290,5843,22834,45.4,,,,,,,,,
2015-03-30,ABB,1200.65,1210.0,1235.2,1197.0,1215.65,1210.61,117181,4647,89996,76.8,,,,,,,,,
2015-03-31,ABB,1215.65,1220.1,1268.4,1216.0,1260.1,1249.39,85090,9148,31969,37.57,,,,,,,,,
2015-04-01,ABB,1260.1,1266.05,1284.0,1266.0,1277.45,1273.54,70294,4069,40991,58.31,,,,,,,,,
2015-04-06,ABB,1277.45,1283.0,1380.0,1275.8,1344.15,1333.48,143779,12640,54426,37.85,,,,,,,,,
2015-04-07,ABB,1344.15,1348.0,1369.8,1325.0,1345.95,1353.74,72901,6233,20931,28.71,,,,,,,,,
2015-04-08,ABB,1345.95,1347.0,1400.0,1343.5,1382.85,1378.62,167377,9872,43018,25.7,,,,,,,,,
2015-04-09,ABB,1382.85,1386.65,1389.9,1355.45,1361.4,1371.68,33283,2645,11200,33.65,,,,,,,,,
2015-04-10,ABB,1361.4,1355.0,1374.4,1339.7,1354.45,1353.75,37348,4615,14206,38.04,,,,,,,,,
2015-04-13,ABB,1354.45,1365.0,1422.2,1355.1,1394.45,1395.97,104315,8219,49279,47.24,,,,,,,,,
2015-04-15,ABB,1394.45,1397.0,1432.5,1390.05,1394.9,1409.27,89916,5450,56090,62.38,,,,,,,,,
2015-04-16,ABB,1394.9,1400.0,1412.0,1359.35,1382.75,1380.85,38072,4272,16845,44.25,,,,,,,,,
2015-04-17,ABB,1382.75,1380.55,1380.55,1345.0,1355.55,1360.25,26437,3009,9723,36.78,,,,,,,,,
2015-04-20,ABB,1355.55,1358.9,1358.9,1310.15,1324.6,1327.81,25902,2832,12589,48.6,,,,,,,,,
