DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,408.16249999999945,Bearish,4,4
High,High,Medium,279.9500000000007,Bearish,1,1
High,High,Very Low,466.565,Bearish,30,30
High,Low,Low,421.87000000000046,Bearish,5,5
High,Medium,Low,635.1500000000015,Bearish,2,2
High,Medium,Very Low,651.6999999999971,Bearish,1,1
High,Very High,High,488.7333333333336,Bearish,9,9
High,Very High,Low,685.7125000000005,Bullish,4,4
High,Very High,Medium,527.8250000000007,Bullish,8,8
High,Very High,Very High,400.69999999999993,Bearish,9,9
High,Very High,Very Low,414.09999999999854,Bearish,1,1
High,Very Low,Medium,532.7600000000003,Bearish,15,15
High,Very Low,Very Low,347.2000000000007,Bullish,1,1
Low,High,High,441.41666666666544,Bullish,3,3
Low,Low,Very Low,502.0326530612246,Bearish,49,49
Low,Very Low,Low,480.78928571428594,Bullish,14,14
Low,Very Low,Medium,364.35000000000036,Bearish,4,4
Low,Very Low,Very Low,394.64473684210543,Bearish,19,19
Medium,High,Very Low,502.88636363636397,Bearish,11,11
Medium,Low,Low,344.52499999999964,Doji,2,2
Medium,Low,Very Low,467.03333333333364,Bullish,18,18
Medium,Medium,Very Low,478.9455555555557,Bearish,45,45
Medium,Very High,High,360.90000000000146,Bearish,1,1
Medium,Very High,Very High,372.9500000000007,Bullish,1,1
Medium,Very Low,Low,557.7500000000006,Bullish,6,6
Medium,Very Low,Medium,537.8500000000004,Bullish,4,4
Very High,High,Low,580.5500000000008,Bullish,10,10
Very High,High,Medium,522.8461538461536,Bearish,13,13
Very High,High,Very Low,466.8800000000003,Bullish,5,5
Very High,Low,Low,467.3000000000011,Bearish,2,2
Very High,Low,Medium,455.36538461538487,Bearish,13,13
Very High,Medium,Low,547.3650000000005,Bullish,10,10
Very High,Medium,Medium,343.00000000000074,Bearish,5,5
Very High,Very High,High,767.6875,Bearish,4,4
Very High,Very High,Low,427.7000000000007,Bearish,2,2
Very High,Very High,Medium,373.71666666666596,Bearish,3,3
Very High,Very High,Very High,280.2000000000007,Doji,2,2
Very High,Very High,Very Low,478.43000000000103,Bearish,5,5
Very High,Very Low,Medium,467.40000000000015,Bullish,14,14
Very Low,High,Very High,353.9500000000007,Bearish,1,1
Very Low,Low,High,440.0499999999993,Bearish,1,1
Very Low,Low,Low,417.77500000000055,Bullish,4,4
Very Low,Low,Very Low,588.125,Bearish,2,2
Very Low,Medium,Medium,437.47500000000036,Bearish,2,2
Very Low,Very Low,High,477.10000000000065,Bearish,6,6
Very Low,Very Low,Low,413.81521739130443,Bearish,23,23
Very Low,Very Low,Medium,451.9555555555562,Bearish,9,9
Very Low,Very Low,Very High,546.6500000000002,Bullish,3,3
Very Low,Very Low,Very Low,500.2868421052635,Bearish,38,38
