Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,ACC,2024-12-26,2271.65,2276.05,2235.45,2239.35,2239.35,705000.0,2350.0,4134600,138600
2024-12-11,ACC,2024-12-26,2268.85,2303.9,2256.05,2260.05,2260.05,1105200.0,3684.0,3996000,289800
2024-12-10,ACC,2024-12-26,2255.2,2281.0,2247.2,2258.95,2258.95,395700.0,1319.0,3706200,107400
2024-12-09,ACC,2024-12-26,2284.0,2284.0,2255.65,2269.85,2269.85,428100.0,1427.0,3598800,4500
2024-12-06,ACC,2024-12-26,2280.0,2288.6,2262.25,2269.5,2269.5,398400.0,1328.0,3594300,-4500
2024-12-05,ACC,2024-12-26,2273.65,2288.0,2239.2,2277.75,2277.75,1058100.0,3527.0,3598800,-117300
2024-12-04,ACC,2024-12-26,2280.9,2309.95,2246.05,2251.35,2251.35,888600.0,2962.0,3716100,112200
2024-12-03,ACC,2024-12-26,2253.95,2328.95,2240.3,2303.95,2303.95,2103900.0,7013.0,3603900,10200
2024-12-02,ACC,2024-12-26,2242.5,2262.2,2220.7,2249.6,2249.6,1046700.0,3489.0,3593700,18600
2024-11-29,ACC,2024-12-26,2205.05,2254.75,2194.6,2238.2,2238.2,1727700.0,5759.0,3575100,98100
2024-11-28,ACC,2024-11-28,2203.15,2230.25,2186.15,2190.75,2188.55,1952100.0,6507.0,1667700,-595200
2024-11-27,ACC,2024-11-28,2101.05,2233.0,2097.2,2211.0,2211.0,2310000.0,7700.0,2262900,-1018500
2024-11-26,ACC,2024-11-28,2142.45,2151.95,2115.75,2119.8,2119.8,1275000.0,4250.0,3281400,-532500
2024-11-25,ACC,2024-11-28,2121.05,2156.25,2106.25,2141.7,2141.7,1404900.0,4683.0,3813900,-610800
2024-11-22,ACC,2024-11-28,2001.05,2118.0,1992.6,2092.5,2092.5,1900200.0,6334.0,4424700,-163500
2024-11-21,ACC,2024-11-28,1989.6,2048.95,1865.15,2020.7,2020.7,5622000.0,18740.0,4588200,-427200
2024-11-19,ACC,2024-11-28,2217.85,2232.05,2178.9,2187.0,2187.0,480900.0,1603.0,5015400,-12000
2024-11-18,ACC,2024-11-28,2197.5,2216.45,2167.8,2190.3,2190.3,370800.0,1236.0,5027400,-4500
