Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2020-07-15,ALKEM,2536.25,361.11,1.08,238.89
2020-08-07,ALKEM,2981.95,142.98,6.11,-14.889999999999986
2021-06-01,ALKEM,3101.75,134.85,1.94,12.120000000000005
2022-08-17,ALKEM,2937.9,136.96,1.47,182.61
2023-07-21,ALKEM,3700.95,80.85,1.04,140.43
2023-08-11,ALKEM,3822.1,72.89,2.32,-5.25
2023-11-02,ALKEM,3792.25,89.23,1.07,75.39
2023-12-15,ALKEM,4919.35,193.38,8.06,87.45999999999998
2024-01-04,ALKEM,5269.45,35.56,1.1,5.18
2024-08-16,ALKEM,5681.95,41.6,1.08,44.8
2024-08-28,ALKEM,5997.4,51.32,1.13,23.020000000000003
2024-09-04,ALKEM,6207.8,39.51,1.14,30.860000000000007
2025-02-10,ALKEM,4800.85,39.8,1.87,-2.769999999999996
2025-02-28,ALKEM,4646.2,65.95,1.83,32.97
