DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,106.56666666666663,Bullish,15,15
High,High,Medium,137.1833333333334,Bullish,3,3
High,High,Very Low,120.39861111111102,Bullish,36,36
High,Low,Low,119.82500000000027,Bearish,2,2
High,Low,Medium,80.20000000000027,Bearish,1,1
High,Medium,Low,114.32999999999997,Bearish,10,10
High,Medium,Very Low,111.35000000000002,Bearish,4,4
High,Very High,High,86.19615384615375,Bearish,13,13
High,Very High,Low,158.78500000000003,Bullish,10,10
High,Very High,Medium,104.89782608695648,Bearish,23,23
High,Very High,Very High,83.02999999999993,Bearish,5,5
High,Very High,Very Low,151.94999999999982,Bullish,4,4
High,Very Low,Medium,126.88749999999993,Bullish,4,4
High,Very Low,Very Low,123.23333333333312,Bullish,3,3
Low,High,High,133.84499999999989,Bearish,10,10
Low,High,Very High,127.09999999999975,Bullish,3,3
Low,Low,Low,66.58749999999998,Bullish,16,16
Low,Low,Medium,97.3285714285714,Bullish,7,7
Low,Low,Very Low,91.38620689655168,Bullish,29,29
Low,Medium,High,102.8722222222221,Bullish,9,9
Low,Medium,Low,72.25625000000002,Bearish,8,8
Low,Medium,Medium,107.82500000000007,Bearish,16,16
Low,Medium,Very Low,107.24999999999977,Bullish,2,2
Low,Very High,Very High,136.35000000000002,Bearish,4,4
Low,Very Low,Low,89.46749999999994,Bearish,20,20
Low,Very Low,Medium,94.01999999999998,Bullish,5,5
Low,Very Low,Very Low,75.88999999999996,Bearish,5,5
Medium,High,High,125.85999999999986,Bearish,5,5
Medium,High,Low,117.26315789473676,Bullish,19,19
Medium,High,Medium,104.87222222222219,Bearish,18,18
Medium,High,Very Low,133.07777777777787,Bullish,9,9
Medium,Low,Low,129.025,Bearish,6,6
Medium,Low,Very Low,70.59999999999995,Bearish,10,10
Medium,Medium,Low,84.95833333333333,Bearish,6,6
Medium,Medium,Very Low,115.63823529411752,Bearish,51,51
Medium,Very High,High,145.73749999999995,Bullish,4,4
Medium,Very High,Very High,160.98749999999995,Bullish,4,4
Medium,Very Low,Low,59.450000000000045,Bullish,2,2
Medium,Very Low,Medium,96.59999999999991,Bullish,1,1
Very High,High,Low,117.77499999999996,Bearish,24,24
Very High,High,Medium,116.6285714285715,Bullish,7,7
Very High,High,Very Low,73.81666666666676,Bearish,3,3
Very High,Low,Medium,114.2699999999999,Bearish,5,5
Very High,Medium,Low,56.25,Bearish,2,2
Very High,Medium,Medium,66.23999999999997,Bullish,5,5
Very High,Very High,High,201.34583333333322,Bearish,12,12
Very High,Very High,Low,122.3382352941176,Bearish,34,34
Very High,Very High,Medium,157.71666666666664,Bullish,9,9
Very High,Very High,Very High,83.39999999999964,Bullish,1,1
Very High,Very High,Very Low,123.05227272727271,Bearish,22,22
Very High,Very Low,Medium,66.5,Bearish,2,2
Very High,Very Low,Very Low,129.21249999999998,Bearish,8,8
Very Low,High,Very High,86.3416666666667,Bearish,6,6
Very Low,Low,High,86.45624999999995,Bearish,24,24
Very Low,Low,Low,67.37999999999992,Bearish,5,5
Very Low,Low,Medium,91.44761904761903,Bearish,21,21
Very Low,Low,Very High,80.69999999999999,Bearish,11,11
Very Low,Low,Very Low,117.44999999999982,Bearish,1,1
Very Low,Medium,High,77.7423076923077,Bearish,13,13
Very Low,Medium,Medium,97.17499999999995,Doji,2,2
Very Low,Medium,Very High,113.22999999999986,Bullish,15,15
Very Low,Very High,Very High,86.35000000000036,Bearish,1,1
Very Low,Very Low,High,64.04999999999991,Bearish,5,5
Very Low,Very Low,Low,80.28333333333337,Bullish,12,12
Very Low,Very Low,Medium,127.82000000000008,Bullish,5,5
Very Low,Very Low,Very High,45.95833333333326,Bearish,6,6
Very Low,Very Low,Very Low,84.48124999999999,Bullish,8,8
