DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,5.485294117647061,Bullish,17,17
High,High,Medium,9.199999999999989,Bullish,1,1
High,High,Very Low,10.48439024390244,Bearish,205,205
High,Low,Low,2.450000000000017,Bearish,1,1
High,Low,Medium,14.110000000000003,Bearish,20,20
High,Medium,Low,7.582499999999998,Bearish,20,20
High,Medium,Medium,6.703846153846152,Bullish,13,13
High,Medium,Very Low,8.385000000000002,Bullish,40,40
High,Very High,High,7.520000000000001,Bearish,25,25
High,Very High,Low,8.94666666666666,Bearish,15,15
High,Very High,Medium,5.484782608695652,Bearish,23,23
High,Very High,Very High,8.289772727272725,Bullish,44,44
High,Very High,Very Low,12.656250000000007,Bullish,8,8
High,Very Low,High,12.414705882352942,Bullish,17,17
High,Very Low,Medium,6.771428571428578,Bullish,21,21
High,Very Low,Very Low,11.150000000000006,Bearish,3,3
Low,High,High,25.35000000000001,Bearish,2,2
Low,High,Very High,12.835714285714287,Bullish,14,14
Low,Low,Low,10.863636363636362,Bullish,22,22
Low,Low,Medium,6.949999999999989,Bullish,1,1
Low,Low,Very Low,6.715909090909093,Bearish,88,88
Low,Medium,High,6.037500000000001,Bearish,4,4
Low,Medium,Low,6.11666666666667,Bullish,6,6
Low,Medium,Medium,6.920588235294116,Bearish,17,17
Low,Medium,Very Low,7.006249999999998,Bullish,8,8
Low,Very High,Very High,7.822916666666658,Bearish,24,24
Low,Very Low,High,6.765384615384614,Bearish,26,26
Low,Very Low,Low,6.322297297297294,Bearish,74,74
Low,Very Low,Medium,6.610526315789475,Bearish,152,152
Low,Very Low,Very Low,6.946551724137927,Bearish,29,29
Medium,High,High,8.550000000000002,Bearish,6,6
Medium,High,Low,4.699999999999998,Bearish,6,6
Medium,High,Medium,7.187499999999993,Bullish,8,8
Medium,High,Very High,5.949999999999989,Bearish,1,1
Medium,High,Very Low,18.325000000000003,Bullish,4,4
Medium,Low,Low,9.840740740740738,Bearish,54,54
Medium,Low,Medium,9.770000000000007,Bearish,15,15
Medium,Low,Very Low,7.4522727272727245,Bullish,44,44
Medium,Medium,Low,7.660000000000002,Bearish,20,20
Medium,Medium,Medium,9.5,Bearish,1,1
Medium,Medium,Very Low,8.492473118279568,Bearish,186,186
Medium,Very High,High,8.4333333333333,Bearish,3,3
Medium,Very High,Very High,10.135714285714284,Bearish,28,28
Medium,Very Low,High,6.583333333333338,Bearish,18,18
Medium,Very Low,Low,9.424999999999983,Bearish,4,4
Medium,Very Low,Medium,11.00625,Bullish,72,72
Medium,Very Low,Very Low,10.199999999999932,Bearish,1,1
Very High,High,High,5.092857142857143,Bearish,14,14
Very High,High,Low,7.79444444444445,Bearish,18,18
Very High,High,Medium,7.291860465116277,Bearish,43,43
Very High,High,Very Low,4.5,Bullish,2,2
Very High,Low,High,6.909999999999994,Bullish,30,30
Very High,Low,Medium,9.556249999999997,Bullish,16,16
Very High,Medium,High,6.404545454545456,Bearish,22,22
Very High,Medium,Medium,7.363793103448272,Bullish,29,29
Very High,Very High,High,10.62096774193549,Bearish,31,31
Very High,Very High,Low,13.031249999999998,Bearish,32,32
Very High,Very High,Medium,12.332000000000003,Bearish,50,50
Very High,Very High,Very High,10.058333333333328,Bullish,42,42
Very High,Very High,Very Low,12.843750000000004,Bearish,72,72
Very High,Very Low,High,11.70666666666666,Bullish,60,60
Very High,Very Low,Very Low,8.269999999999976,Bullish,5,5
Very Low,High,Very High,9.540000000000003,Bullish,10,10
Very Low,Low,High,11.694444444444452,Bearish,18,18
Very Low,Low,Low,5.73333333333333,Bullish,6,6
Very Low,Low,Medium,11.300000000000006,Bearish,10,10
Very Low,Low,Very High,12.335294117647054,Bearish,34,34
Very Low,Low,Very Low,10.683333333333328,Bullish,3,3
Very Low,Medium,High,7.821428571428571,Bullish,7,7
Very Low,Medium,Very High,13.18965517241379,Bearish,29,29
Very Low,Very High,Very High,10.722000000000007,Bullish,25,25
Very Low,Very Low,High,7.173333333333331,Bearish,45,45
Very Low,Very Low,Low,6.601923076923075,Bearish,52,52
Very Low,Very Low,Medium,6.020408163265304,Bearish,147,147
Very Low,Very Low,Very High,7.9257575757575776,Bearish,33,33
Very Low,Very Low,Very Low,7.6563636363636345,Bearish,55,55
