Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,APOLLOTYRE,49.0,49.05,51.9,48.75,51.4,51.0,5797115,,3452799,0.5956,,,,,,,,,
2010-01-05,APOLLOTYRE,51.4,51.95,53.75,51.75,53.55,52.88,4891846,,2889974,0.5908,,,,,,,,,
2010-01-06,APOLLOTYRE,53.55,53.55,53.9,51.45,52.35,52.48,3129980,,1860376,0.5944,,,,,,,,,
2010-01-07,APOLLOTYRE,52.35,52.5,52.8,51.2,51.5,51.78,1721641,,1028036,0.5971000000000001,,,,,,,,,
2010-01-08,APOLLOTYRE,51.5,51.8,52.8,51.65,52.05,52.25,1389998,,621807,0.4473,,,,,,,,,
2010-01-11,APOLLOTYRE,52.05,52.75,53.5,52.05,52.4,52.6,1128199,,637093,0.5647,,,,,,,,,
2010-01-12,APOLLOTYRE,52.4,52.7,53.0,51.6,51.9,52.19,2368573,,1380484,0.5828,,,,,,,,,
2010-01-13,APOLLOTYRE,51.9,51.75,52.75,50.25,52.15,51.26,1574718,,783841,0.4978,,,,,,,,,
2010-01-14,APOLLOTYRE,52.15,52.2,54.95,52.2,54.65,54.04,6123054,,4580268,0.748,,,,,,,,,
2010-01-15,APOLLOTYRE,54.65,55.25,56.35,55.0,55.7,55.91,4721425,,2537656,0.5375,,,,,,,,,
2010-01-18,APOLLOTYRE,55.7,55.95,57.25,55.0,57.0,56.6,2917043,,1578768,0.5412,,,,,,,,,
2010-01-19,APOLLOTYRE,57.0,55.55,57.4,55.0,55.5,55.58,1396294,,613155,0.4391,,,,,,,,,
2010-01-20,APOLLOTYRE,55.5,56.0,56.0,54.0,54.35,54.52,1700205,,1060227,0.6236,,,,,,,,,
2010-01-21,APOLLOTYRE,54.35,54.2,56.0,53.0,53.65,54.55,3067576,,1889419,0.6159,,,,,,,,,
2010-01-22,APOLLOTYRE,53.65,53.65,55.5,50.4,53.85,53.89,3331744,,1891764,0.5678,,,,,,,,,
2010-01-25,APOLLOTYRE,53.85,53.5,54.1,51.9,52.0,52.49,1664412,,962435,0.5782,,,,,,,,,
2010-01-27,APOLLOTYRE,52.0,51.8,52.35,50.65,51.5,51.45,1497250,,1090842,0.7286,,,,,,,,,
2010-01-28,APOLLOTYRE,51.5,51.75,52.5,50.15,51.25,51.13,1161585,,621262,0.5347999999999999,,,,,,,,,
2010-01-29,APOLLOTYRE,51.25,51.3,53.8,49.75,53.05,51.84,2634925,,1178215,0.4472,,,,,,,,,
2010-02-01,APOLLOTYRE,53.05,53.4,57.25,52.55,56.65,55.79,4342557,,2276743,0.5243,,,,,,,,,
2010-02-02,APOLLOTYRE,56.65,57.0,58.1,55.1,56.45,56.4,4279863,,2403508,0.5616,,,,,,,,,
2010-02-03,APOLLOTYRE,56.45,57.0,57.0,55.5,56.3,56.03,2636714,,1838192,0.6972,,,,,,,,,
2010-02-04,APOLLOTYRE,56.3,56.0,56.45,55.05,55.2,55.83,1612500,,1164272,0.7220000000000001,,,,,,,,,
2010-02-05,APOLLOTYRE,55.2,52.0,53.5,50.9,52.05,51.83,3058328,,1940036,0.6343,,,,,,,,,
2010-02-06,APOLLOTYRE,52.05,53.0,53.25,52.5,52.95,52.93,185901,,94498,0.5083,,,,,,,,,
2010-02-08,APOLLOTYRE,52.95,53.1,53.1,51.0,51.25,51.82,1431180,,694293,0.4851,,,,,,,,,
2010-02-09,APOLLOTYRE,51.25,51.6,52.45,51.4,52.05,51.94,1110319,,542314,0.48840000000000006,,,,,,,,,
2010-02-10,APOLLOTYRE,52.05,52.85,59.2,52.35,57.4,55.76,5990512,,2479773,0.414,,,,,,,,,
2010-02-11,APOLLOTYRE,57.4,57.8,58.0,55.1,55.75,56.55,3297232,,876104,0.2657,,,,,,,,,
2010-02-15,APOLLOTYRE,55.75,56.0,57.25,54.35,54.8,55.85,1429375,,648647,0.45380000000000004,,,,,,,,,
2010-02-16,APOLLOTYRE,54.8,55.15,57.1,54.9,56.25,56.15,1650101,,643405,0.3899,,,,,,,,,
2010-02-17,APOLLOTYRE,56.25,58.0,59.95,57.6,58.75,58.65,6841750,,2194715,0.3208,,,,,,,,,
2010-02-18,APOLLOTYRE,58.75,59.2,59.65,57.75,59.15,58.62,3521803,,1061885,0.3015,,,,,,,,,
2010-02-19,APOLLOTYRE,59.15,59.0,59.0,57.2,58.3,58.31,2805800,,1259961,0.4491,94.35495202,,58.6,,234600.0,2010-02-25,234600.0,,Undecisive
2010-02-22,APOLLOTYRE,58.3,58.5,59.6,57.45,57.75,58.27,3137105,,781255,0.249,93.64873633,-0.71,57.95,,329800.0,2010-02-25,95200.0,-0.6499999999999986,ShortBuildUp
2010-02-23,APOLLOTYRE,57.75,57.95,57.95,55.5,56.0,56.41,1649848,,582326,0.353,93.34845564,-0.3,56.2,,285600.0,2010-02-25,-44200.0,-1.75,LongUnwinding
2010-02-24,APOLLOTYRE,56.0,55.5,55.6,54.5,54.95,54.98,1900366,,1127299,0.5932000000000001,93.25948358,-0.09,54.95,,255000.0,2010-02-25,-30600.0,-1.25,LongUnwinding
