DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,3.1938888888888894,Bearish,36,36
High,High,Medium,3.016666666666667,Bearish,15,15
High,High,Very Low,4.052276422764226,Bullish,123,123
High,Low,Low,2.427777777777778,Bearish,9,9
High,Low,Medium,3.276984126984128,Bearish,63,63
High,Medium,Low,3.3051063829787233,Bearish,47,47
High,Medium,Medium,2.281578947368425,Bullish,19,19
High,Medium,Very Low,2.651818181818182,Bullish,11,11
High,Very High,High,3.364705882352943,Bullish,34,34
High,Very High,Low,4.017499999999999,Bearish,8,8
High,Very High,Medium,2.8500000000000028,Bullish,15,15
High,Very High,Very High,2.715454545454545,Bearish,33,33
High,Very High,Very Low,5.0625,Bearish,4,4
High,Very Low,Medium,3.210377358490566,Bearish,53,53
High,Very Low,Very Low,4.474999999999987,Bullish,2,2
Low,High,High,8.217272727272725,Bearish,11,11
Low,High,Medium,4.974999999999994,Doji,2,2
Low,High,Very High,4.077083333333331,Bearish,24,24
Low,Low,Low,2.7767391304347826,Bearish,46,46
Low,Low,Medium,3.088888888888891,Bullish,9,9
Low,Low,Very Low,3.178721804511279,Bearish,133,133
Low,Medium,High,2.8863636363636385,Bearish,11,11
Low,Medium,Low,3.322727272727271,Bearish,22,22
Low,Medium,Medium,3.5564999999999984,Bearish,20,20
Low,Medium,Very Low,3.0611111111111136,Bullish,18,18
Low,Very High,Very High,3.5778260869565206,Bearish,46,46
Low,Very Low,Low,2.571568627450981,Bullish,51,51
Low,Very Low,Medium,3.413076923076923,Bearish,65,65
Low,Very Low,Very Low,2.4941176470588218,Bearish,17,17
Medium,High,High,3.464999999999998,Bullish,12,12
Medium,High,Low,3.118666666666664,Bearish,15,15
Medium,High,Medium,3.904999999999999,Bearish,20,20
Medium,High,Very High,5.749999999999986,Bearish,2,2
Medium,High,Very Low,2.8136363636363635,Bearish,11,11
Medium,Low,Low,2.14620253164557,Bearish,79,79
Medium,Low,Medium,3.3305555555555535,Bearish,18,18
Medium,Low,Very Low,2.9387096774193555,Bearish,31,31
Medium,Medium,Low,2.5012000000000008,Bearish,25,25
Medium,Medium,Medium,0.6000000000000014,Bearish,1,1
Medium,Medium,Very Low,3.6257342657342653,Bearish,143,143
Medium,Very High,High,2.524999999999995,Bearish,4,4
Medium,Very High,Very High,3.9494285714285704,Bearish,35,35
Medium,Very Low,Low,2.2666666666666657,Bearish,3,3
Medium,Very Low,Medium,3.1253968253968245,Bearish,63,63
Medium,Very Low,Very Low,3.6999999999999957,Bearish,4,4
Very High,High,Low,3.7742105263157897,Bearish,38,38
Very High,High,Medium,3.1296666666666653,Bullish,60,60
Very High,High,Very Low,4.3290909090909055,Bearish,11,11
Very High,Low,Medium,3.0421686746987957,Bearish,83,83
Very High,Medium,Medium,2.460000000000001,Bullish,55,55
Very High,Very High,High,2.8400000000000007,Bearish,15,15
Very High,Very High,Low,4.534375000000002,Bullish,48,48
Very High,Very High,Medium,3.6986666666666648,Bearish,45,45
Very High,Very High,Very High,3.2230769230769214,Bearish,13,13
Very High,Very High,Very Low,3.576285714285713,Bearish,35,35
Very High,Very Low,Medium,3.3530303030303026,Bearish,66,66
Very High,Very Low,Very Low,1.1000000000000014,Bearish,1,1
Very Low,High,Very High,3.706578947368419,Bearish,38,38
Very Low,Low,High,3.85625,Bearish,32,32
Very Low,Low,Low,2.7750000000000017,Bullish,14,14
Very Low,Low,Medium,2.347826086956522,Bearish,23,23
Very Low,Low,Very High,3.2973684210526315,Bearish,38,38
Very Low,Low,Very Low,1.5166666666666704,Bearish,3,3
Very Low,Medium,High,2.174999999999999,Bearish,8,8
Very Low,Medium,Very High,2.8145833333333314,Bullish,24,24
Very Low,Very High,Very High,3.8931034482758595,Bearish,29,29
Very Low,Very Low,High,3.5033333333333334,Bullish,15,15
Very Low,Very Low,Low,2.2550000000000003,Bearish,86,86
Very Low,Very Low,Medium,2.453846153846154,Bearish,65,65
Very Low,Very Low,Very High,2.9249999999999994,Bearish,14,14
Very Low,Very Low,Very Low,1.9620731707317083,Bearish,82,82
