Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Market Structure,Liquidity,MarketMove,Swing,Trend,Swing%
2015-01-01,ASTRAL,14047,593,9563,77.27,65.96,14.64,Low,Low,Low,,-0.44,-0.47,-0.78,56.41,60.26,-3.8500000000000014,High,,Neutral,Medium,Medium,Medium,390.48,389.15,,,,,-1.1,,,0.01,393.6,390.0,394.8,387.5,390.64,,,,,,,7.3,,,,,,,Neutral,,,,3.24,,,,,0.0,,,0.0,0.0,,,False,,,False,,9.55016412883091,,23.688026981450253,,,3.24,3.24,False,LL,HH Sweep,BoS,,Downtrend,
2015-01-02,ASTRAL,100645,1348,86962,435.71,158.62,63.6,High,Medium,Low,,-0.14,-0.29,-0.75,18.67,38.67,-20.0,Low,-2.45,Neutral,Very High,Very High,Very High,389.28,386.7,,,,,-0.98,,,0.01,389.15,389.25,396.0,385.15,391.04,,,,,1.55,9.3,10.85,True,0.31,CandleHighSwipe,Bearish,-0.0063156747921455,-2.4499999999999886,Neutral,,,,6.88,112.35,,,,-0.06,,Sell,-0.079999999999984,-0.02,1.55,1.55,False,9.3,9.3,False,-2.4499999999999886,11.519354752735133,-28.222419144200945,74.66246290801188,-2.4342987729146888e-05,-0.0209365127182499,5.42,5.21,True,,,,,,
2015-01-05,ASTRAL,48753,958,42236,140.62,92.5,34.22,Medium,Medium,Low,,-0.32,-0.4,-0.77,41.56,51.95,-10.39,Medium,-6.15,Neutral,High,High,High,383.73,380.55,,,,,-0.86,,,0.01,386.7,389.95,392.7,377.95,385.83,,,,,2.6,12.15,14.75,False,0.0,NoSwipe,Bearish,-0.0160316238998508,-6.149999999999977,Neutral,,,,3.45,-49.85,,,,-0.27,,Sell,-0.3700000000000045,-0.1,2.25,2.1,True,11.2,10.83,True,-6.149999999999977,10.794522012994118,-66.38631037991358,50.890396659707726,-0.0001261460833179,-0.0692967749268409,4.49,4.52,False,,,,,,
2015-01-06,ASTRAL,69493,1368,54094,177.78,108.33,39.07,Medium,Medium,Low,,-0.27,-0.36,-0.75,36.0,48.0,-12.0,Medium,-13.65,Neutral,High,High,High,371.0,366.9,,,,,-0.69,,,0.01,380.55,383.0,383.0,363.1,371.06,,,,,3.8,16.1,19.9,False,0.0,NoSwipe,Bearish,-0.0365282433521638,-13.650000000000034,Neutral,,,,2.55,-26.09,,,,-0.83,,Sell,-1.2200000000000273,-0.39,3.14,2.72,True,14.0,12.87,True,-13.650000000000034,11.148981307055882,-152.18359484131318,50.79897660818713,-0.0001964226612752,-0.111245317866457,3.68,3.9,False,,,,,,
2015-01-07,ASTRAL,53269,1103,42244,137.5,94.87,31.0,Medium,Medium,Low,,-0.32,-0.39,-0.76,42.11,51.32,-9.21,Medium,-4.15,Neutral,High,High,High,364.58,362.75,,,,,-1.04,,,0.01,366.9,363.6,370.0,361.0,364.52,,,,,1.75,7.25,9.0,False,0.0,NoSwipe,Bearish,-0.0113754395969394,-4.149999999999977,Neutral,,,,5.37,110.59,,,,-1.22,,Sell,-2.170000000000016,-0.95,2.4,2.44,False,10.4,11.12,False,-4.149999999999977,10.883109827442746,-45.16490578388715,48.29465095194923,-7.790647468508846e-05,-0.0409473307197526,4.33,4.3,True,,,,,,
2015-01-08,ASTRAL,46510,1257,31974,108.33,87.5,19.23,Medium,Medium,Low,,-0.36,-0.4,-0.75,48.0,53.33,-5.329999999999998,Medium,1.45,Neutral,High,High,Medium,365.9,364.2,,,,,-0.99,,,0.01,362.75,364.0,372.0,361.5,364.82,,,,,2.7,8.0,10.5,True,0.0,CandleHighSwipe,Doji,0.0039892755292108,1.4499999999999886,Neutral,,,,3.52,-34.45,,,,-1.08,,Sell,-2.609999999999957,-1.53,2.55,2.5,True,9.16,10.29,False,1.4499999999999886,10.747422622218142,15.583762802216183,37.00079554494829,3.117609116319047e-05,0.0123975837726461,4.03,4.11,False,LL,LL Sweep,,,Downtrend,
2015-01-09,ASTRAL,24804,869,16701,83.33,71.11,14.66,Low,Low,Low,,-0.42,-0.45,-0.77,54.55,58.44,-3.890000000000001,High,7.25,Neutral,Medium,High,Medium,370.15,371.45,,,,,-1.11,,,0.01,364.2,366.0,373.0,366.0,369.11,,,,,5.45,1.55,7.0,True,0.27,CandleHighSwipe,Bullish,0.0197110983043069,7.25,Neutral,376.9397518107557,,,4.08,15.91,,,,-0.39,,Sell,-2.25,-1.86,4.02,3.12,True,5.3,8.22,False,7.25,10.118760209469768,73.36101151865581,28.543153049482164,0.0002922915658764,0.0844200362700297,4.05,4.1,False,,,,,Downtrend,
2015-01-12,ASTRAL,23427,926,15938,83.33,71.11,14.66,Low,Low,Low,,-0.42,-0.45,-0.77,54.55,58.44,-3.890000000000001,High,-2.8,Neutral,Medium,High,Medium,372.77,368.65,,,,,-0.87,,,0.01,371.45,382.0,382.0,367.65,370.74,,,,,1.0,13.35,14.35,True,2.44,CandleOpenHighSwipe,Bearish,-0.0075665811621554,-2.800000000000012,Neutral,374.1536951601528,,,1.76,-56.86,,,,0.05,,Buy,-1.8100000000000025,-1.86,2.5,2.72,False,9.35,9.33,True,-2.800000000000012,10.061644482330784,-28.172604550526312,25.29913606911447,-0.0001195202117215,-0.0304239789962487,3.26,3.61,False,,,,,Downtrend,
2015-01-13,ASTRAL,27886,1434,18858,80.49,68.18,15.29,Low,Low,Low,,-0.41,-0.44,-0.74,55.41,59.46,-4.050000000000004,High,1.55,Neutral,Medium,Medium,Medium,371.03,370.2,,,,,-1.12,,,0.01,368.65,374.8,374.8,368.1,369.83,,,,,2.1,4.6,6.7,False,0.0,,Bearish,0.0041957157037373,1.5500000000000114,Neutral,370.0311749357465,,,2.9,64.77,,,,0.26,,Buy,-1.5,-1.76,2.3,2.62,False,6.97,8.38,False,1.5500000000000114,10.235880049754966,15.865614077120314,19.44630404463041,5.558344689091341e-05,0.0110638870830685,3.13,3.47,False,,,,,Downtrend,
2015-01-14,ASTRAL,22417,589,18541,90.24,73.33,18.74,Low,Low,Low,,-0.41,-0.45,-0.78,52.56,57.69,-5.129999999999996,Medium,1.85,Neutral,High,High,Medium,371.72,372.05,,,,,-1.21,,,0.01,370.2,369.6,373.5,369.6,371.68,,,,,2.45,1.45,3.9,False,0.0,,Bullish,0.0049848537038732,1.8500000000000227,Neutral,368.5220133107356,,,9.76,236.55,,,,0.49,,Buy,-1.0699999999999932,-1.56,2.37,2.59,False,4.2,7.06,False,1.8500000000000227,10.017574878573896,18.53251352536193,38.059422750424446,8.252665387875374e-05,0.0314643693130083,5.38,4.66,True,,,,,Downtrend,
