Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2015-09-18,AXISBANK,517.45,182.81,2.0,129.69
2015-11-26,AXISBANK,465.3,886.96,5.05,1308.69
2015-12-11,AXISBANK,440.65,172.34,1.73,195.75
2016-01-07,AXISBANK,409.25,135.56,1.14,117.77
2016-02-15,AXISBANK,417.65,242.31,1.23,230.77
2016-02-29,AXISBANK,375.75,472.99,13.83,321.84000000000003
2016-08-12,AXISBANK,591.0,490.91,1.51,881.8199999999999
2016-08-31,AXISBANK,596.85,535.47,24.11,494.8699999999999
2016-09-07,AXISBANK,625.1,433.33,1.01,688.8900000000001
2016-10-27,AXISBANK,485.65,353.57,1.83,300.00000000000006
2016-11-30,AXISBANK,469.85,120.83,1.43,177.09000000000003
2017-01-20,AXISBANK,450.75,108.93,3.01,25.44
2017-01-23,AXISBANK,445.0,535.29,1.81,529.4200000000001
2017-02-21,AXISBANK,504.35,1800.0,1.09,380.0
2017-03-17,AXISBANK,517.15,4433.33,2.53,4000.0
2017-04-24,AXISBANK,498.65,342.11,1.14,257.89
2017-07-27,AXISBANK,524.65,550.0,1.01,712.5
2017-09-14,AXISBANK,519.75,190.0,1.16,100.0
2017-10-03,AXISBANK,509.65,-37.68,1.18,-133.32999999999998
2017-10-24,AXISBANK,451.95,393.55,2.87,532.26
2017-10-31,AXISBANK,523.15,180.83,3.29,-10.360000000000014
2017-11-01,AXISBANK,535.1,202.56,1.78,25.65000000000001
2017-11-13,AXISBANK,537.35,89.22,2.1,36.53
2018-05-02,AXISBANK,523.75,1880.0,3.82,1940.0
2018-05-31,AXISBANK,545.9,450.0,1.5,383.33
2018-08-10,AXISBANK,615.5,179.17,1.36,104.16
2018-08-16,AXISBANK,623.45,236.73,1.47,63.27000000000001
2018-08-30,AXISBANK,649.75,561.54,1.01,215.38
2018-11-29,AXISBANK,631.4,3150.0,1.99,1825.0
2019-01-30,AXISBANK,690.95,135.96,4.75,13.879999999999995
2019-02-28,AXISBANK,709.55,188.68,4.35,221.7
2019-08-08,AXISBANK,660.1,71.03,1.51,33.11
2019-10-07,AXISBANK,673.45,376.92,1.98,130.76999999999998
2020-06-18,AXISBANK,405.4,178.73,1.29,-120.36
2020-06-25,AXISBANK,421.7,206.7,1.99,-117.86
2020-08-31,AXISBANK,496.75,212.0,3.54,-70.4
2020-09-04,AXISBANK,455.2,182.17,1.56,-61.23999999999998
2020-10-29,AXISBANK,493.85,144.38,1.62,-95.14
2020-11-05,AXISBANK,539.3,186.96,1.44,-30.44
2020-11-27,AXISBANK,601.6,261.96,2.78,40.21000000000004
2021-01-22,AXISBANK,644.5,80.11,1.14,-17.130000000000003
2021-02-18,AXISBANK,777.0,151.81,1.53,32.53
2021-05-18,AXISBANK,711.65,183.82,1.62,54.420000000000016
2021-11-08,AXISBANK,751.05,167.57,1.65,278.38
2021-11-15,AXISBANK,733.25,51.55,1.41,93.81000000000002
2022-03-07,AXISBANK,667.55,58.41,1.99,29.64
2022-09-28,AXISBANK,716.45,76.06,0.98,61.97
2022-11-10,AXISBANK,843.7,100.0,1.91,61.860000000000014
2022-11-11,AXISBANK,850.7,127.08,2.22,104.17
2023-06-07,AXISBANK,976.75,131.75,1.71,139.68
2023-08-31,AXISBANK,973.5,91.88,1.62,9.370000000000005
2023-10-13,AXISBANK,994.05,59.72,1.09,91.67
2023-11-30,AXISBANK,1074.25,95.31,3.37,80.21000000000001
2023-12-15,AXISBANK,1120.35,21.47,1.1,36.120000000000005
2024-01-04,AXISBANK,1123.4,69.39,1.1,155.10000000000002
2024-04-30,AXISBANK,1165.9,60.2,1.3,6.129999999999996
2024-07-25,AXISBANK,1175.9,61.52,3.9,25.73
2024-07-30,AXISBANK,1170.0,76.22,1.96,60.84
2024-09-20,AXISBANK,1245.0,52.86,1.4,47.14
2024-09-27,AXISBANK,1273.15,39.44,1.79,86.62
2024-11-19,AXISBANK,1133.95,232.69,2.96,336.54
2024-11-28,AXISBANK,1132.5,32.1,1.0,91.36
2024-12-19,AXISBANK,1108.9,39.36,1.29,97.87
2025-01-20,AXISBANK,988.05,171.78,5.83,185.89
2025-01-23,AXISBANK,951.05,119.74,4.16,153.94
2025-01-29,AXISBANK,983.4,65.96,1.33,217.02000000000004
2025-02-04,AXISBANK,1015.3,51.81,2.07,72.89
2025-04-17,AXISBANK,1190.8,47.9,1.42,71.43
