Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,AXISBANK,2024-12-26,1149.8,1156.9,1147.75,1149.95,1149.95,7731250.0,12370.0,77030000,-1044375
2024-12-11,AXISBANK,2024-12-26,1153.8,1162.7,1147.2,1149.7,1149.7,14078125.0,22525.0,78074375,96250
2024-12-10,AXISBANK,2024-12-26,1165.05,1169.0,1154.5,1156.45,1156.45,10023125.0,16037.0,77978125,1872500
2024-12-09,AXISBANK,2024-12-26,1190.5,1191.5,1165.8,1167.85,1167.85,8550625.0,13681.0,76105625,-852500
2024-12-06,AXISBANK,2024-12-26,1172.0,1198.6,1163.6,1190.25,1190.25,20662500.0,33060.0,76958125,943125
2024-12-05,AXISBANK,2024-12-26,1165.9,1180.8,1154.25,1171.0,1171.0,20198750.0,32318.0,76015000,-336250
2024-12-04,AXISBANK,2024-12-26,1165.35,1172.65,1159.2,1162.5,1162.5,18973750.0,30358.0,76351250,5694375
2024-12-03,AXISBANK,2024-12-26,1149.9,1169.25,1143.55,1164.65,1164.65,12269375.0,19631.0,70656875,-850625
2024-12-02,AXISBANK,2024-12-26,1137.55,1149.3,1133.6,1143.7,1143.7,8075625.0,12921.0,71507500,4375
2024-11-29,AXISBANK,2024-12-26,1141.0,1148.6,1135.0,1143.7,1143.7,7921875.0,12675.0,71503125,396250
2024-11-28,AXISBANK,2024-11-28,1151.55,1155.55,1130.2,1133.8,1132.5,9706250.0,15530.0,1803750,-5863125
2024-11-27,AXISBANK,2024-11-28,1146.7,1156.3,1134.3,1149.55,1149.55,19999375.0,31999.0,7666875,-15113125
2024-11-26,AXISBANK,2024-11-28,1158.05,1158.05,1141.25,1143.15,1143.15,25439375.0,40703.0,22780000,-18040000
2024-11-25,AXISBANK,2024-11-28,1158.7,1165.45,1143.5,1156.0,1156.0,28238125.0,45181.0,40820000,-16596250
2024-11-22,AXISBANK,2024-11-28,1139.95,1148.2,1128.8,1142.85,1142.85,20395000.0,32632.0,57416250,36875
2024-11-21,AXISBANK,2024-11-28,1135.95,1152.65,1116.0,1139.75,1139.75,14676250.0,23482.0,57379375,-725625
2024-11-19,AXISBANK,2024-11-28,1130.25,1141.4,1125.05,1135.85,1135.85,16991875.0,27187.0,58105000,-1810000
2024-11-18,AXISBANK,2024-11-28,1134.05,1138.05,1124.1,1128.95,1128.95,9154375.0,14647.0,59915000,243125
2024-11-14,AXISBANK,2024-11-28,1141.7,1153.85,1135.15,1143.05,1143.05,9570625.0,15313.0,59671875,-990625
2024-11-13,AXISBANK,2024-11-28,1159.85,1166.7,1138.45,1142.75,1142.75,14673750.0,23478.0,60662500,-237500
