Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,AXISBANK,1145.65,1141.0,1152.7,1113.65,1148.15,1136.01,8731618,192015.0,5351803,61.29
2024-12-12,AXISBANK,1147.25,1145.0,1154.55,1143.6,1145.65,1149.13,4825283,144279.0,2638955,54.69
2024-12-11,AXISBANK,1153.65,1150.0,1158.35,1144.55,1147.25,1152.07,7788242,185882.0,5704687,73.25
2024-12-10,AXISBANK,1163.25,1157.0,1165.05,1151.25,1153.65,1156.4,4714389,177982.0,3014667,63.95
2024-12-09,AXISBANK,1184.55,1184.25,1186.0,1161.0,1163.25,1170.8,6308112,191881.0,4273947,67.75
2024-12-06,AXISBANK,1166.4,1167.5,1193.85,1160.0,1184.55,1183.3,7542210,172308.0,3754165,49.78
2024-12-05,AXISBANK,1159.45,1164.0,1176.9,1150.1,1166.4,1166.2,10640451,264133.0,6583772,61.87
2024-12-04,AXISBANK,1160.5,1157.5,1168.0,1153.9,1159.45,1158.67,18379798,183298.0,14027071,76.32
2024-12-03,AXISBANK,1137.1,1144.4,1164.9,1138.0,1160.5,1156.52,8382042,206150.0,5953104,71.02
2024-12-02,AXISBANK,1136.3,1132.7,1141.4,1126.6,1137.1,1133.73,4785858,125708.0,3167261,66.18
2024-11-29,AXISBANK,1132.5,1133.55,1140.9,1127.7,1136.3,1135.67,6406277,133772.0,4312173,67.31
2024-11-28,AXISBANK,1149.65,1148.5,1154.45,1129.4,1132.5,1139.36,10731275,211822.0,7474932,69.66
2024-11-27,AXISBANK,1144.8,1145.2,1155.45,1133.55,1149.65,1146.57,5989943,152024.0,3057232,51.04
2024-11-26,AXISBANK,1155.9,1157.1,1159.6,1142.65,1144.8,1147.29,5127437,150905.0,3249850,63.38
2024-11-25,AXISBANK,1142.4,1160.0,1164.5,1142.0,1155.9,1155.03,12385823,182859.0,8437388,68.12
2024-11-22,AXISBANK,1139.15,1136.65,1147.9,1127.55,1142.4,1135.51,16687505,193290.0,11577214,69.38
2024-11-21,AXISBANK,1133.95,1138.0,1152.0,1115.75,1139.15,1136.7,8126248,231458.0,4522486,55.65
2024-11-19,AXISBANK,1126.2,1130.0,1139.0,1122.05,1133.95,1129.17,19225966,182241.0,14909037,77.55
2024-11-18,AXISBANK,1140.7,1131.2,1135.0,1121.55,1126.2,1126.29,9474971,296779.0,7028188,74.18
