Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,BAJAJFINSV,2029.0,2039.1,2044.8,1980.0,1991.9,1996.6,1522876,68987.0,674001,44.26,0.7
2025-06-02,BAJAJFINSV,2017.4,2017.4,2035.7,1995.1,2029.0,2014.33,1339043,51357.0,795459,59.41,0.96
2025-05-30,BAJAJFINSV,2010.9,2010.9,2031.7,2010.9,2017.4,2019.66,2144136,63881.0,1483605,69.19,2.42
2025-05-29,BAJAJFINSV,2022.4,2031.4,2032.9,2000.1,2010.9,2009.43,874950,46001.0,451673,51.62,0.23
2025-05-28,BAJAJFINSV,2029.9,2044.9,2044.9,2018.0,2022.4,2029.16,415312,24782.0,136706,32.92,-0.44
2025-05-27,BAJAJFINSV,2052.6,2050.0,2058.0,2014.5,2029.9,2029.94,1175928,74254.0,524218,44.58,0.38
2025-05-26,BAJAJFINSV,2036.5,2044.0,2070.0,2040.2,2052.6,2058.18,714431,37076.0,355300,49.73,0.02
2025-05-23,BAJAJFINSV,2001.0,2005.9,2048.7,2003.2,2036.5,2031.37,1085026,41976.0,598898,55.2,0.54
2025-05-22,BAJAJFINSV,2037.3,2037.3,2041.8,1992.0,2001.0,2003.83,1178160,60907.0,587476,49.86,0.52
2025-05-21,BAJAJFINSV,2005.1,2011.5,2047.0,1998.2,2037.3,2028.89,1291354,61968.0,575146,44.54,0.49
2025-05-20,BAJAJFINSV,2038.3,2047.0,2047.0,1995.0,2005.1,2015.26,2170575,107889.0,1497566,68.99,2.45
2025-05-19,BAJAJFINSV,2033.6,2038.9,2053.0,2035.0,2038.3,2039.77,1379603,47793.0,1021094,74.01,1.44
2025-05-16,BAJAJFINSV,2041.9,2054.0,2071.0,2022.0,2033.6,2039.48,1568556,64803.0,809062,51.58,0.99
2025-05-15,BAJAJFINSV,2020.4,2015.1,2050.4,1996.7,2041.9,2031.12,2640223,133748.0,1436234,54.4,2.32
2025-05-14,BAJAJFINSV,2018.2,2028.9,2042.0,2010.0,2020.4,2022.0,1670853,56885.0,1095340,65.56,1.6
2025-05-13,BAJAJFINSV,2050.4,2046.9,2061.4,2010.6,2018.2,2025.48,2217985,104157.0,1412457,63.68,2.27
2025-05-12,BAJAJFINSV,1970.0,2024.9,2057.6,2011.8,2050.4,2043.37,1057561,55915.0,540254,51.08,0.42
2025-05-09,BAJAJFINSV,2006.0,1970.0,1999.0,1963.0,1970.0,1971.78,1207361,80510.0,676081,56.0,0.7
2025-05-08,BAJAJFINSV,2030.3,2032.0,2050.0,1992.9,2006.0,2016.49,1697652,92264.0,858299,50.56,1.09
2025-05-07,BAJAJFINSV,2035.8,2011.3,2045.5,2009.7,2030.3,2025.84,1078158,66555.0,443808,41.16,0.21
2025-05-06,BAJAJFINSV,2026.2,2028.9,2045.0,2008.1,2035.8,2029.47,1698230,81535.0,902300,53.13,1.19
2025-05-05,BAJAJFINSV,1958.0,1964.9,2036.6,1959.1,2026.2,2009.31,2072898,109841.0,809134,39.03,0.99
2025-05-02,BAJAJFINSV,1951.6,1955.0,1986.6,1917.2,1958.0,1951.55,2236491,131044.0,767090,34.3,0.9
2025-04-30,BAJAJFINSV,2066.9,2018.2,2020.0,1926.5,1951.6,1945.95,4684518,270995.0,1601359,34.18,2.67
2025-04-29,BAJAJFINSV,2049.7,2061.0,2082.0,2028.8,2066.9,2059.03,2119823,129661.0,1141869,53.87,1.69
2025-04-28,BAJAJFINSV,2045.5,2040.0,2094.8,2040.0,2049.7,2051.58,6311008,94363.0,5436973,86.15,10.82
2025-04-25,BAJAJFINSV,2105.0,2105.0,2125.0,2023.1,2045.5,2057.39,1960343,121923.0,1042815,53.2,1.48
2025-04-24,BAJAJFINSV,2100.8,2121.8,2135.0,2085.4,2105.0,2101.84,1465968,80988.0,609473,41.57,0.56
2025-04-23,BAJAJFINSV,2077.0,2094.0,2117.8,2057.4,2100.8,2090.83,1483177,92289.0,647694,43.67,0.64
2025-04-22,BAJAJFINSV,2103.5,2104.0,2110.0,2070.0,2077.0,2086.66,1447675,89910.0,739009,51.05,0.84
2025-04-21,BAJAJFINSV,2035.3,2037.1,2118.7,2035.7,2103.5,2090.4,2642028,120077.0,1272942,48.18,1.97
2025-04-17,BAJAJFINSV,1969.2,1961.5,2039.7,1955.0,2035.3,2005.06,2104540,106220.0,967926,45.99,1.32
2025-04-16,BAJAJFINSV,1968.0,1961.0,1975.7,1949.6,1969.2,1961.09,1033717,75492.0,474060,45.86,0.28
2025-04-15,BAJAJFINSV,1946.3,1984.0,1984.0,1960.8,1968.0,1970.86,1250872,70250.0,747653,59.77,0.86
2025-04-11,BAJAJFINSV,1895.7,1909.45,1966.0,1906.55,1946.3,1949.06,1880510,97508.0,888783,47.26,1.16
2025-04-09,BAJAJFINSV,1903.2,1899.0,1918.3,1878.0,1895.7,1895.76,1394829,87029.0,712602,51.09,0.78
2025-04-08,BAJAJFINSV,1852.65,1890.0,1934.0,1873.7,1903.2,1904.64,3182018,112746.0,1593553,50.08,2.65
2025-04-07,BAJAJFINSV,1912.3,1835.0,1894.0,1823.5,1852.65,1853.13,2594074,113616.0,1574465,60.69,2.61
2025-04-04,BAJAJFINSV,1920.45,1912.0,1929.95,1897.0,1912.3,1915.68,2120708,77607.0,1200593,56.61,1.82
2025-04-03,BAJAJFINSV,1930.95,1915.0,1950.0,1904.95,1920.45,1927.12,1598430,71288.0,783433,49.01,0.93
2025-04-02,BAJAJFINSV,1937.1,1946.3,1963.5,1920.95,1930.95,1942.2,1057344,48639.0,491537,46.49,0.31
2025-04-01,BAJAJFINSV,2007.35,1998.0,2002.0,1932.5,1937.1,1957.73,2125921,134764.0,993292,46.72,1.38
2025-03-28,BAJAJFINSV,2005.75,1995.75,2022.0,1994.2,2007.35,2007.24,1907116,98083.0,1060349,55.6,1.52
2025-03-27,BAJAJFINSV,1943.4,1940.0,2011.5,1932.6,2005.75,1992.48,4506778,170421.0,2732711,60.64,5.07
2025-03-26,BAJAJFINSV,1945.05,1951.0,1978.0,1935.0,1943.4,1954.4,2779682,147190.0,1573380,56.6,2.61
2025-03-25,BAJAJFINSV,1894.15,1905.0,1954.4,1894.9,1945.05,1937.36,3512725,164527.0,1542324,43.91,2.54
2025-03-24,BAJAJFINSV,1847.25,1855.35,1898.7,1845.5,1894.15,1881.28,1864839,88656.0,965312,51.76,1.32
2025-03-21,BAJAJFINSV,1851.85,1878.0,1880.0,1825.0,1847.25,1844.07,3537391,100832.0,2298562,64.98,4.15
2025-03-20,BAJAJFINSV,1842.25,1842.25,1855.0,1814.1,1851.85,1839.57,2306910,80931.0,1301045,56.4,2.03
2025-03-19,BAJAJFINSV,1844.65,1855.0,1864.4,1840.0,1842.25,1851.54,2411880,53144.0,1744557,72.33,2.97
2025-03-18,BAJAJFINSV,1871.6,1900.0,1907.85,1833.25,1844.65,1848.89,4342446,139248.0,1755030,40.42,3.0
2025-03-17,BAJAJFINSV,1807.45,1820.0,1880.9,1797.15,1871.6,1864.99,6994838,137436.0,4721820,67.5,9.3
2025-03-13,BAJAJFINSV,1819.45,1828.0,1840.0,1803.15,1807.45,1816.49,1333932,72823.0,650323,48.75,0.65
