Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,BAJAJFINSV,2024-12-26,1686.9,1692.5,1677.0,1682.7,1682.7,2212000.0,4424.0,13495500,-545000
2024-12-11,BAJAJFINSV,2024-12-26,1672.6,1696.0,1651.4,1689.2,1689.2,4128000.0,8256.0,14040500,-328500
2024-12-10,BAJAJFINSV,2024-12-26,1641.6,1676.1,1640.9,1666.55,1666.55,2733000.0,5466.0,14369000,-211500
2024-12-09,BAJAJFINSV,2024-12-26,1641.0,1652.05,1624.55,1642.85,1642.85,1582000.0,3164.0,14580500,-26500
2024-12-06,BAJAJFINSV,2024-12-26,1645.8,1655.0,1632.6,1639.05,1639.05,2548500.0,5097.0,14607000,-6500
2024-12-05,BAJAJFINSV,2024-12-26,1636.7,1657.5,1609.15,1648.15,1648.15,4718500.0,9437.0,14613500,-521500
2024-12-04,BAJAJFINSV,2024-12-26,1617.8,1637.75,1612.75,1631.55,1631.55,3493000.0,6986.0,15135000,-150500
2024-12-03,BAJAJFINSV,2024-12-26,1607.15,1618.3,1603.2,1614.45,1614.45,1814500.0,3629.0,15285500,98500
2024-12-02,BAJAJFINSV,2024-12-26,1589.75,1614.6,1575.45,1607.35,1607.35,2682000.0,5364.0,15187000,470500
2024-11-29,BAJAJFINSV,2024-12-26,1587.95,1598.65,1583.55,1590.75,1590.75,2071500.0,4143.0,14716500,396000
2024-11-28,BAJAJFINSV,2024-11-28,1602.85,1604.35,1565.85,1571.6,1575.05,3300500.0,6601.0,568500,-1787500
2024-11-27,BAJAJFINSV,2024-11-28,1599.1,1609.85,1588.6,1598.8,1598.8,4022500.0,8045.0,2356000,-2947000
2024-11-26,BAJAJFINSV,2024-11-28,1607.4,1613.1,1583.95,1595.7,1595.7,4291500.0,8583.0,5303000,-3043000
2024-11-25,BAJAJFINSV,2024-11-28,1618.45,1637.8,1602.0,1607.85,1607.85,4892000.0,9784.0,8346000,-2770500
2024-11-22,BAJAJFINSV,2024-11-28,1576.7,1606.4,1562.45,1603.5,1603.5,3569500.0,7139.0,11116500,10000
2024-11-21,BAJAJFINSV,2024-11-28,1596.0,1597.25,1565.8,1570.0,1570.0,1862500.0,3725.0,11106500,-28500
2024-11-19,BAJAJFINSV,2024-11-28,1616.7,1626.35,1580.95,1596.65,1596.65,5166500.0,10333.0,11135000,205500
2024-11-18,BAJAJFINSV,2024-11-28,1647.6,1648.1,1612.0,1617.85,1617.85,2542000.0,5084.0,10929500,426000
2024-11-14,BAJAJFINSV,2024-11-28,1668.35,1679.3,1636.35,1642.15,1642.15,2454000.0,4908.0,10503500,183500
2024-11-13,BAJAJFINSV,2024-11-28,1690.2,1700.5,1663.35,1670.0,1670.0,1569000.0,3138.0,10320000,38000
2024-11-12,BAJAJFINSV,2024-11-28,1726.1,1736.15,1694.8,1698.05,1698.05,2444000.0,4888.0,10282000,97000
2024-11-11,BAJAJFINSV,2024-11-28,1726.6,1757.9,1720.6,1724.7,1724.7,2241000.0,4482.0,10204500,-165500
2024-11-08,BAJAJFINSV,2024-11-28,1737.5,1746.4,1724.25,1742.7,1742.7,1814000.0,3628.0,10370000,8500
2024-11-07,BAJAJFINSV,2024-11-28,1758.25,1764.8,1713.55,1734.9,1734.9,1713000.0,3426.0,10361500,-101500
2024-11-06,BAJAJFINSV,2024-11-28,1741.55,1765.0,1739.5,1753.9,1753.9,1774000.0,3548.0,10463000,54500
2024-11-05,BAJAJFINSV,2024-11-28,1718.6,1749.25,1693.9,1740.45,1740.45,3343500.0,6687.0,10408500,109000
