DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,17.950000000000045,Bearish,1,1
High,High,Low,187.81973684210527,Bearish,38,38
High,High,Medium,68.02142857142869,Bearish,7,7
High,High,Very Low,286.87851562500003,Bearish,128,128
High,Low,High,38.10000000000002,Bullish,2,2
High,Low,Medium,63.75,Bearish,8,8
High,Medium,Low,22.700000000000045,Bullish,3,3
High,Medium,Medium,68.51250000000003,Bullish,12,12
High,Medium,Very Low,145.02142857142846,Bearish,7,7
High,Very High,High,214.61470588235287,Bearish,17,17
High,Very High,Low,383.03749999999985,Bullish,12,12
High,Very High,Medium,295.52727272727276,Bearish,11,11
High,Very High,Very High,180.23333333333346,Bearish,15,15
High,Very High,Very Low,272.6100000000003,Bearish,5,5
High,Very Low,High,67.59444444444443,Bullish,9,9
High,Very Low,Very Low,202.0,Bullish,2,2
Low,High,High,26.59999999999991,Bearish,1,1
Low,High,Very High,38.625000000000036,Bullish,6,6
Low,Low,High,33.52499999999998,Bearish,6,6
Low,Low,Low,138.07857142857142,Bearish,35,35
Low,Low,Medium,77.17187500000004,Bullish,16,16
Low,Low,Very Low,126.44700000000005,Bearish,50,50
Low,Medium,High,34.55454545454545,Bullish,11,11
Low,Medium,Low,102.55714285714278,Bullish,7,7
Low,Medium,Medium,65.26923076923072,Bearish,13,13
Low,Medium,Very High,54.799999999999955,Bearish,1,1
Low,Medium,Very Low,84.77500000000009,Bullish,2,2
Low,Very High,Very High,16.299999999999955,Bearish,1,1
Low,Very Low,High,89.53214285714282,Bearish,28,28
Low,Very Low,Low,86.53666666666676,Bearish,15,15
Low,Very Low,Medium,88.83809523809525,Bearish,84,84
Low,Very Low,Very Low,25.65000000000009,Bullish,1,1
Medium,High,High,22.900000000000052,Bullish,6,6
Medium,High,Low,59.23333333333327,Bullish,3,3
Medium,High,Medium,43.57499999999993,Bullish,2,2
Medium,High,Very High,21.75,Bullish,1,1
Medium,Low,Low,68.66935483870968,Bearish,31,31
Medium,Low,Medium,54.968055555555566,Bearish,36,36
Medium,Low,Very Low,236.5444444444445,Bullish,9,9
Medium,Medium,Low,63.23906250000004,Bullish,32,32
Medium,Medium,Medium,61.55000000000005,Bullish,5,5
Medium,Medium,Very Low,171.47763157894738,Bullish,114,114
Medium,Very Low,High,75.12000000000006,Bearish,15,15
Medium,Very Low,Medium,86.45000000000002,Bullish,23,23
Very High,High,High,285.17129629629625,Bearish,54,54
Very High,High,Low,156.74999999999986,Bullish,6,6
Very High,High,Medium,248.81086956521742,Bullish,23,23
Very High,High,Very Low,230.0,Bearish,1,1
Very High,Low,High,32.75,Bullish,3,3
Very High,Medium,High,259.3617647058823,Bullish,17,17
Very High,Medium,Medium,171.0,Bullish,1,1
Very High,Very High,High,322.3744186046513,Bearish,43,43
Very High,Very High,Low,396.5695121951221,Bearish,41,41
Very High,Very High,Medium,387.6233333333334,Bearish,45,45
Very High,Very High,Very High,295.31999999999994,Bearish,25,25
Very High,Very High,Very Low,346.72499999999985,Bearish,16,16
Very High,Very Low,High,58.37500000000023,Doji,2,2
Very High,Very Low,Very Low,989.9500000000007,Bearish,1,1
Very Low,High,Very High,28.950000000000045,Bearish,4,4
Very Low,Low,High,72.94259259259259,Bearish,27,27
Very Low,Low,Low,53.699999999999946,Bearish,7,7
Very Low,Low,Medium,102.39999999999995,Bearish,15,15
Very Low,Low,Very High,69.05147058823529,Bearish,34,34
Very Low,Medium,High,33.72000000000003,Bullish,5,5
Very Low,Medium,Very High,29.3821428571429,Bearish,14,14
Very Low,Very Low,High,110.06341463414628,Bearish,41,41
Very Low,Very Low,Low,103.37794117647059,Bullish,34,34
Very Low,Very Low,Medium,101.24666666666667,Bullish,45,45
Very Low,Very Low,Very High,102.39782608695647,Bearish,23,23
Very Low,Very Low,Very Low,103.20689655172414,Bullish,29,29
