Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2016-11-11,BAJFINANCE,858.1,1085.71,2.73,2814.29
2017-01-30,BAJFINANCE,1054.8,483.33,2.07,91.67000000000002
2017-08-11,BAJFINANCE,1695.4,3666.67,2.58,4933.33
2017-10-16,BAJFINANCE,1886.3,636.36,2.25,1409.09
2017-10-25,BAJFINANCE,1726.35,727.27,2.99,1990.91
2018-02-28,BAJFINANCE,1640.25,155.56,1.91,905.55
2018-03-27,BAJFINANCE,1772.45,171.43,0.99,535.71
2018-05-17,BAJFINANCE,2066.5,217.89,2.82,78.94999999999999
2018-06-08,BAJFINANCE,2186.85,880.0,2.05,1170.0
2018-07-24,BAJFINANCE,2713.35,380.0,2.41,825.0
2018-10-03,BAJFINANCE,2232.2,193.46,4.41,218.69
2020-03-09,BAJFINANCE,4026.8,72.26,2.44,85.15999999999998
2020-03-12,BAJFINANCE,3734.35,83.19,4.93,129.31
2020-03-18,BAJFINANCE,3061.35,76.14,4.12,79.92
2020-03-25,BAJFINANCE,2585.6,68.39,4.46,59.77
2020-04-07,BAJFINANCE,2253.35,67.58,4.98,4.180000000000007
2020-04-29,BAJFINANCE,2296.45,110.88,5.35,-19.89
2020-05-29,BAJFINANCE,1953.65,144.63,4.25,-2.009999999999991
2020-07-13,BAJFINANCE,3234.6,142.39,2.37,-82.23999999999998
2020-11-19,BAJFINANCE,4536.55,122.55,2.3,-38.91
2020-12-18,BAJFINANCE,5252.5,138.03,1.01,4.219999999999999
2021-03-19,BAJFINANCE,5453.25,82.91,1.18,17.939999999999998
2021-04-27,BAJFINANCE,4865.05,83.33,0.99,34.53
2021-04-29,BAJFINANCE,5484.85,84.87,2.69,-5.050000000000011
2021-06-18,BAJFINANCE,6087.05,102.82,1.38,91.55
2021-07-22,BAJFINANCE,6195.55,69.43,2.22,71.97
2021-08-31,BAJFINANCE,7524.5,81.55,1.46,60.2
2021-11-22,BAJFINANCE,7058.3,23.23,1.21,54.83
2021-12-15,BAJFINANCE,6847.25,37.35,1.14,100.0
2022-01-20,BAJFINANCE,7530.25,75.93,2.76,179.63
2022-01-25,BAJFINANCE,6963.75,36.78,1.65,58.05
2022-03-07,BAJFINANCE,6125.0,31.73,2.22,57.42999999999999
2022-04-27,BAJFINANCE,6714.1,45.08,2.79,49.5
2022-05-06,BAJFINANCE,6000.3,35.04,2.94,80.71000000000001
2022-08-10,BAJFINANCE,7149.4,46.05,1.18,109.21
2022-08-30,BAJFINANCE,7306.25,39.71,1.31,152.94
2023-01-06,BAJFINANCE,5980.4,39.9,1.6,37.02
2023-01-31,BAJFINANCE,5886.4,40.21,2.09,175.25
2023-03-20,BAJFINANCE,5550.8,24.07,1.23,89.82
2023-12-27,BAJFINANCE,7232.8,22.83,1.37,126.08
2023-12-28,BAJFINANCE,7258.65,50.77,2.0,256.92
2024-01-17,BAJFINANCE,7358.85,20.83,1.25,239.59000000000003
2024-02-06,BAJFINANCE,6598.15,35.29,2.58,116.47
2024-02-23,BAJFINANCE,6697.85,11.76,1.2,223.53
2024-03-15,BAJFINANCE,6514.35,47.5,1.39,126.25
2024-03-21,BAJFINANCE,6715.75,27.78,1.84,142.59
2024-04-26,BAJFINANCE,6731.2,41.76,6.22,77.4
2024-06-13,BAJFINANCE,7294.95,25.0,1.22,313.89
2024-08-30,BAJFINANCE,7200.15,47.73,1.73,148.86
2024-10-21,BAJFINANCE,6780.9,51.58,2.6,222.1
2024-12-03,BAJFINANCE,6675.45,25.0,1.22,410.71
2024-12-20,BAJFINANCE,6848.25,107.46,3.3,385.08
2025-02-06,BAJFINANCE,8507.3,38.24,1.61,198.52
2025-02-28,BAJFINANCE,8530.3,31.11,1.73,161.11
2025-04-04,BAJFINANCE,8718.85,35.16,1.29,106.6
2025-04-30,BAJFINANCE,8634.5,35.77,3.3,53.66
2025-05-02,BAJFINANCE,8862.5,41.18,1.81,110.92
