DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,84.58333333333333,Bearish,48,48
High,High,Medium,109.67187499999989,Bearish,16,16
High,High,Very Low,112.30692307692308,Bearish,65,65
High,Low,Medium,146.37205882352936,Bearish,34,34
High,Medium,Low,55.40000000000004,Bearish,9,9
High,Medium,Medium,110.37931034482753,Bearish,29,29
High,Medium,Very Low,97.32727272727271,Bearish,11,11
High,Very High,High,81.25270270270269,Bullish,37,37
High,Very High,Low,156.02499999999995,Bearish,10,10
High,Very High,Medium,76.33863636363638,Bullish,22,22
High,Very High,Very High,118.49183673469386,Bearish,49,49
High,Very High,Very Low,161.20000000000005,Bullish,2,2
High,Very Low,High,129.6428571428571,Bullish,21,21
High,Very Low,Medium,76.75,Bearish,1,1
High,Very Low,Very Low,93.81666666666665,Bullish,6,6
Low,High,High,58.91249999999991,Bearish,4,4
Low,High,Very High,141.34651162790695,Bullish,43,43
Low,Low,High,116.90000000000009,Bullish,3,3
Low,Low,Low,122.24500000000003,Bullish,30,30
Low,Low,Medium,155.14999999999998,Bearish,17,17
Low,Low,Very Low,145.0211538461538,Bullish,26,26
Low,Medium,High,125.97599999999993,Bearish,25,25
Low,Medium,Low,123.33888888888889,Bullish,9,9
Low,Medium,Medium,72.44999999999987,Bearish,11,11
Low,Medium,Very High,88.92999999999992,Bullish,5,5
Low,Very High,Very High,160.56728971962613,Bearish,107,107
Low,Very Low,High,182.92499999999987,Bullish,6,6
Low,Very Low,Low,178.21249999999992,Bullish,16,16
Low,Very Low,Medium,188.52564102564105,Bullish,39,39
Low,Very Low,Very Low,175.48000000000002,Bullish,10,10
Medium,High,High,121.03214285714277,Bearish,28,28
Medium,High,Low,132.28000000000011,Bearish,5,5
Medium,High,Medium,159.24500000000003,Bearish,10,10
Medium,High,Very High,121.36250000000003,Bearish,12,12
Medium,High,Very Low,139.57500000000016,Bearish,4,4
Medium,Low,Low,133.6428571428572,Bearish,21,21
Medium,Low,Medium,161.62124999999997,Bearish,40,40
Medium,Low,Very Low,82.09999999999991,Bullish,2,2
Medium,Medium,High,249.0,Bearish,1,1
Medium,Medium,Low,97.94270833333327,Bearish,48,48
Medium,Medium,Medium,76.192857142857,Bullish,7,7
Medium,Medium,Very Low,147.5155555555555,Bearish,45,45
Medium,Very High,High,133.98749999999984,Bullish,4,4
Medium,Very High,Very High,147.52031249999996,Bearish,96,96
Medium,Very Low,High,128.66428571428565,Bullish,7,7
Medium,Very Low,Medium,144.06428571428566,Bullish,14,14
Medium,Very Low,Very Low,85.38749999999982,Bearish,4,4
Very High,High,High,64.34166666666674,Bearish,12,12
Very High,High,Low,129.27631578947364,Bullish,19,19
Very High,High,Medium,70.55000000000003,Bearish,45,45
Very High,High,Very Low,186.9749999999999,Bullish,2,2
Very High,Low,High,114.10697674418603,Bullish,43,43
Very High,Low,Medium,93.8714285714285,Bearish,7,7
Very High,Medium,High,102.65625000000001,Bullish,16,16
Very High,Medium,Medium,84.64032258064516,Bearish,31,31
Very High,Very High,High,122.2527777777778,Bearish,18,18
Very High,Very High,Low,133.1986486486486,Bearish,37,37
Very High,Very High,Medium,125.78571428571422,Bearish,42,42
Very High,Very High,Very High,165.321875,Bearish,32,32
Very High,Very High,Very Low,111.46785714285708,Bearish,14,14
Very High,Very Low,High,128.82777777777767,Bearish,18,18
Very High,Very Low,Very Low,61.959999999999994,Bullish,5,5
Very Low,High,Very High,174.43214285714285,Bearish,28,28
Very Low,Low,High,181.0842105263158,Bearish,76,76
Very Low,Low,Low,166.15833333333327,Bearish,12,12
Very Low,Low,Medium,151.5111111111111,Bearish,27,27
Very Low,Low,Very High,131.30232558139534,Bullish,86,86
Very Low,Low,Very Low,189.28750000000014,Bullish,4,4
Very Low,Medium,Very High,121.6194444444445,Bearish,18,18
Very Low,Very High,Very High,161.47924528301888,Bullish,53,53
Very Low,Very Low,High,176.17499999999995,Bullish,2,2
Very Low,Very Low,Low,166.60384615384612,Bullish,13,13
Very Low,Very Low,Medium,174.69499999999994,Bearish,10,10
Very Low,Very Low,Very High,180.6499999999998,Bearish,5,5
Very Low,Very Low,Very Low,182.65555555555545,Bearish,18,18
