DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,59.362499999999926,Bearish,8,8
High,High,Medium,61.083333333333485,Bearish,3,3
High,High,Very Low,60.483544303797444,Bullish,79,79
High,Low,Low,37.96891891891892,Bearish,37,37
High,Low,Medium,13.899999999999977,Bullish,1,1
High,Medium,Low,44.05833333333335,Bearish,18,18
High,Medium,Very Low,56.07619047619045,Bearish,21,21
High,Very High,High,73.14090909090913,Bullish,11,11
High,Very High,Low,60.537500000000044,Bearish,12,12
High,Very High,Medium,64.42000000000012,Bearish,5,5
High,Very High,Very High,69.69999999999997,Bearish,10,10
High,Very High,Very Low,55.60555555555553,Bearish,9,9
High,Very Low,Low,51.27500000000005,Bearish,10,10
High,Very Low,Medium,50.48979591836735,Bullish,49,49
High,Very Low,Very Low,63.35000000000006,Bearish,3,3
Low,High,High,55.3558823529412,Bearish,17,17
Low,High,Medium,26.51249999999996,Bearish,4,4
Low,High,Very High,65.71874999999997,Bearish,8,8
Low,Low,Low,48.46000000000001,Bearish,15,15
Low,Low,Very Low,43.38409090909092,Bearish,110,110
Low,Medium,High,52.11666666666656,Bullish,3,3
Low,Medium,Low,40.61428571428576,Bullish,7,7
Low,Medium,Medium,40.63333333333338,Bearish,12,12
Low,Medium,Very Low,52.833333333333336,Bearish,3,3
Low,Very High,Very High,56.43684210526312,Bearish,19,19
Low,Very Low,Low,47.07129629629629,Bearish,54,54
Low,Very Low,Medium,51.649999999999984,Bullish,13,13
Low,Very Low,Very Low,42.088888888888924,Bullish,9,9
Medium,High,High,53.36999999999993,Bullish,5,5
Medium,High,Low,40.435714285714276,Bearish,7,7
Medium,High,Medium,71.48636363636363,Bearish,11,11
Medium,High,Very Low,44.190000000000055,Bullish,5,5
Medium,Low,Low,54.74583333333334,Bullish,24,24
Medium,Low,Very Low,50.21562500000001,Bullish,16,16
Medium,Medium,Low,44.81249999999994,Bullish,4,4
Medium,Medium,Very Low,49.89097744360901,Bullish,133,133
Medium,Very High,High,52.7400000000001,Bearish,5,5
Medium,Very High,Very High,72.69166666666673,Bullish,12,12
Medium,Very Low,Low,49.021428571428565,Bearish,28,28
Medium,Very Low,Medium,44.126190476190494,Bearish,21,21
Medium,Very Low,Very Low,66.49999999999984,Bullish,3,3
Very High,High,Low,75.03720930232558,Bullish,43,43
Very High,High,Medium,56.24166666666664,Bearish,6,6
Very High,High,Very Low,76.65384615384619,Bearish,13,13
Very High,Low,Low,44.59000000000001,Bullish,5,5
Very High,Low,Medium,49.72580645161289,Bearish,31,31
Very High,Medium,Low,56.90555555555554,Bullish,9,9
Very High,Medium,Medium,70.10625000000003,Bullish,8,8
Very High,Very High,High,63.62727272727259,Bullish,11,11
Very High,Very High,Low,69.17741935483866,Bearish,31,31
Very High,Very High,Medium,52.95333333333333,Bearish,15,15
Very High,Very High,Very High,60.275000000000034,Bearish,4,4
Very High,Very High,Very Low,62.37307692307688,Bearish,39,39
Very High,Very Low,Medium,47.21132075471698,Bearish,53,53
Very High,Very Low,Very Low,68.01249999999987,Bullish,4,4
Very Low,High,Very High,50.72586206896548,Bearish,29,29
Very Low,Low,High,55.21176470588236,Bearish,17,17
Very Low,Low,Low,44.29000000000003,Bullish,15,15
Very Low,Low,Medium,53.042857142857144,Bearish,21,21
Very Low,Low,Very High,61.23529411764707,Bullish,17,17
Very Low,Low,Very Low,47.85384615384613,Bearish,13,13
Very Low,Medium,High,63.2214285714285,Bullish,7,7
Very Low,Medium,Medium,59.09999999999991,Bullish,1,1
Very Low,Medium,Very High,45.97500000000003,Bearish,14,14
Very Low,Very High,Very High,45.03695652173913,Bullish,23,23
Very Low,Very Low,High,61.43750000000007,Bearish,8,8
Very Low,Very Low,Low,51.141666666666694,Bearish,42,42
Very Low,Very Low,Medium,45.12083333333337,Bullish,12,12
Very Low,Very Low,Very High,62.08888888888893,Bullish,9,9
Very Low,Very Low,Very Low,58.04456521739131,Bearish,46,46
