Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2016-07-28,BERGEPAINT,243.25,173.42,1.26,-13.929999999999978
2016-11-30,BERGEPAINT,228.85,206.77,3.82,80.45000000000002
2017-12-29,BERGEPAINT,273.75,341.18,2.11,-30.889999999999983
2019-11-26,BERGEPAINT,490.4,223.05,25.08,25.019999999999985
2023-09-25,BERGEPAINT,611.4,82.6,1.01,-59.17
2023-10-27,BERGEPAINT,537.55,114.66,1.53,17.24000000000001
2024-02-29,BERGEPAINT,606.7,97.54,3.34,-46.16
2024-07-09,BERGEPAINT,513.85,80.79,1.73,33.77999999999999
2024-09-27,BERGEPAINT,617.55,172.75,8.35,30.41
2024-12-10,BERGEPAINT,477.4,89.15,1.25,7.75
