Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,BERGEPAINT,2024-12-26,478.1,478.6,471.75,474.15,474.15,995280,754.0,9077640,121440
2024-12-11,BERGEPAINT,2024-12-26,482.65,482.65,476.65,478.35,478.35,1330560,1008.0,8956200,56760
2024-12-10,BERGEPAINT,2024-12-26,484.1,484.1,475.8,478.6,478.6,1280400,970.0,8899440,9240
2024-12-09,BERGEPAINT,2024-12-26,484.3,484.3,475.0,480.75,480.75,2291520,1736.0,8890200,236280
2024-12-06,BERGEPAINT,2024-12-26,487.95,488.3,481.5,483.1,483.1,902880,684.0,8653920,213840
2024-12-05,BERGEPAINT,2024-12-26,483.8,486.5,477.95,485.45,485.45,1717320,1301.0,8440080,134640
2024-12-04,BERGEPAINT,2024-12-26,484.05,486.9,479.45,480.5,480.5,1943040,1472.0,8305440,361680
2024-12-03,BERGEPAINT,2024-12-26,490.35,496.2,484.0,484.75,484.75,1692240,1282.0,7943760,489720
2024-12-02,BERGEPAINT,2024-12-26,494.35,500.7,490.6,493.15,493.15,2852520,2161.0,7454040,1025640
2024-11-29,BERGEPAINT,2024-12-26,488.1,497.7,488.1,495.9,495.9,1073160,813.0,6428400,-52800
2024-11-28,BERGEPAINT,2024-11-28,490.85,493.5,485.0,490.3,489.45,2798400,2120.0,987360,-1325280
2024-11-27,BERGEPAINT,2024-11-28,490.05,491.85,484.55,490.7,490.7,2976600,2255.0,2312640,-1830840
2024-11-26,BERGEPAINT,2024-11-28,481.7,489.9,479.55,486.95,486.95,4638480,3514.0,4143480,-2064480
2024-11-25,BERGEPAINT,2024-11-28,481.05,485.45,476.15,477.7,477.7,2526480,1914.0,6207960,-1120680
2024-11-22,BERGEPAINT,2024-11-28,465.3,478.2,465.3,477.25,477.25,1627560,1233.0,7328640,-299640
2024-11-21,BERGEPAINT,2024-11-28,476.05,476.05,464.9,466.85,466.85,1548360,1173.0,7628280,13200
