Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,BHARATFORG,1256.9,1258.9,1285.8,1253.4,1270.4,1271.72,1513075,49293.0,836843,55.31,0.58
2025-06-02,BHARATFORG,1240.9,1238.0,1264.0,1230.0,1256.9,1256.62,1572954,42153.0,833029,52.96,0.57
2025-05-30,BHARATFORG,1255.9,1260.0,1262.4,1238.0,1240.9,1244.45,1020675,32135.0,611534,59.91,0.04
2025-05-29,BHARATFORG,1249.2,1256.6,1276.3,1250.6,1255.9,1262.05,1200243,38926.0,528247,44.01,-0.16
2025-05-28,BHARATFORG,1250.4,1247.1,1259.3,1242.0,1249.2,1251.19,1299910,38733.0,711797,54.76,0.28
2025-05-27,BHARATFORG,1249.7,1246.0,1259.7,1238.3,1250.4,1251.06,1239119,52404.0,872750,70.43,0.67
2025-05-26,BHARATFORG,1245.1,1245.0,1259.6,1240.8,1249.7,1249.98,786355,24484.0,444678,56.55,-0.36
2025-05-23,BHARATFORG,1239.6,1241.0,1251.9,1231.3,1245.1,1244.76,691587,20189.0,361753,52.31,-0.56
2025-05-22,BHARATFORG,1229.0,1228.9,1242.0,1217.0,1239.6,1230.23,968052,46685.0,429725,44.39,-0.4
2025-05-21,BHARATFORG,1227.4,1226.8,1248.4,1219.1,1229.0,1232.58,805567,37296.0,300690,37.33,-0.71
2025-05-20,BHARATFORG,1257.3,1263.0,1268.1,1224.2,1227.4,1244.54,786186,36099.0,342980,43.63,-0.61
2025-05-19,BHARATFORG,1263.0,1271.0,1279.0,1251.6,1257.3,1264.0,1427244,62603.0,692774,48.54,0.23
2025-05-16,BHARATFORG,1245.7,1250.0,1270.0,1240.4,1263.0,1259.34,1693383,66791.0,681713,40.26,0.21
2025-05-15,BHARATFORG,1246.2,1258.0,1263.2,1244.0,1245.7,1250.61,1297070,50712.0,488302,37.65,-0.26
2025-05-14,BHARATFORG,1203.9,1210.0,1263.0,1206.1,1246.2,1246.67,3139778,115660.0,1538067,48.99,2.27
2025-05-13,BHARATFORG,1199.2,1195.0,1231.7,1192.0,1203.9,1218.1,3252512,81590.0,2023165,62.2,3.44
2025-05-12,BHARATFORG,1165.6,1205.0,1213.1,1173.3,1199.2,1188.3,2499123,94938.0,1100488,44.03,1.22
2025-05-09,BHARATFORG,1113.4,1129.1,1176.9,1111.0,1165.6,1155.19,5531033,143720.0,1063324,19.22,1.13
2025-05-08,BHARATFORG,1140.9,1152.0,1158.8,1086.2,1113.4,1116.66,2683717,87013.0,766877,28.58,0.41
2025-05-07,BHARATFORG,1087.3,1091.9,1144.4,1088.6,1140.9,1124.7,1768753,57733.0,673809,38.1,0.19
