Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,BHARATFORG,272.2,272.05,277.3,270.2,275.65,274.94,461561,,76346,0.1654,,,277.3,,3404000.0,2010-01-28,28000.0,,Undecisive
2010-01-05,BHARATFORG,275.65,280.0,284.1,275.2,281.45,279.55,1284769,,490573,0.38180000000000003,,,283.6,,3720000.0,2010-01-28,316000.0,6.300000000000011,LongBuildUp
2010-01-06,BHARATFORG,281.45,285.0,294.8,284.35,288.25,290.99,2710637,,996902,0.3678,,,289.25,,3920000.0,2010-01-28,200000.0,5.649999999999977,LongBuildUp
2010-01-07,BHARATFORG,288.25,289.9,289.9,281.2,283.1,283.79,699459,,232926,0.33299999999999996,,,284.25,,3982000.0,2010-01-28,62000.0,-5.0,ShortBuildUp
2010-01-08,BHARATFORG,283.1,280.0,288.95,280.0,281.7,284.86,699804,,267559,0.3823,,,282.85,,4006000.0,2010-01-28,24000.0,-1.3999999999999773,ShortBuildUp
2010-01-11,BHARATFORG,281.7,291.0,291.0,283.1,284.35,285.55,708844,,321066,0.4529,,,285.0,,4166000.0,2010-01-28,160000.0,2.1499999999999773,LongBuildUp
2010-01-12,BHARATFORG,284.35,285.3,287.5,280.0,282.2,284.2,516279,,129724,0.25129999999999997,,,282.75,,4160000.0,2010-01-28,-6000.0,-2.25,LongUnwinding
2010-01-13,BHARATFORG,282.2,280.1,286.5,278.0,284.95,281.67,425560,,125592,0.29510000000000003,,,285.95,,4124000.0,2010-01-28,-36000.0,3.1999999999999886,ShortCovering
2010-01-14,BHARATFORG,284.95,287.7,299.5,286.0,297.85,294.52,2272683,,994167,0.4374,,,299.05,,4552000.0,2010-01-28,428000.0,13.100000000000023,LongBuildUp
2010-01-15,BHARATFORG,297.85,305.0,305.0,293.3,294.55,298.54,1261078,,287971,0.2284,,,295.2,,4334000.0,2010-01-28,-218000.0,-3.8500000000000227,LongUnwinding
