DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,15.201562500000016,Bearish,32,32
High,High,Medium,18.80555555555556,Bullish,9,9
High,High,Very Low,20.80534351145039,Bearish,131,131
High,Low,Low,8.721428571428557,Bearish,7,7
High,Low,Medium,13.13571428571429,Bearish,35,35
High,Medium,Low,10.032539682539682,Bullish,63,63
High,Medium,Medium,12.289999999999997,Bearish,20,20
High,Medium,Very Low,15.823809523809514,Bearish,21,21
High,Very High,High,17.58750000000001,Bullish,28,28
High,Very High,Medium,16.162500000000005,Bearish,20,20
High,Very High,Very High,25.355000000000004,Bearish,30,30
High,Very High,Very Low,34.912499999999966,Bearish,4,4
High,Very Low,Medium,15.8516393442623,Bullish,61,61
High,Very Low,Very Low,14.183333333333337,Bearish,3,3
Low,High,High,16.99642857142856,Bearish,14,14
Low,High,Very High,15.689999999999975,Bullish,10,10
Low,Low,Low,12.777083333333335,Bearish,24,24
Low,Low,Very Low,11.958469945355189,Bearish,183,183
Low,Medium,High,15.021428571428585,Bearish,7,7
Low,Medium,Low,10.70999999999999,Bearish,10,10
Low,Medium,Medium,11.467857142857147,Bearish,14,14
Low,Medium,Very Low,13.516666666666659,Bearish,18,18
Low,Very High,Very High,13.023076923076932,Bullish,13,13
Low,Very Low,Low,12.626190476190473,Bearish,63,63
Low,Very Low,Medium,16.36315789473683,Bearish,57,57
Low,Very Low,Very Low,10.664473684210522,Bearish,38,38
Medium,High,High,16.37812500000002,Bullish,16,16
Medium,High,Low,26.833333333333304,Bearish,6,6
Medium,High,Medium,16.364285714285728,Bullish,7,7
Medium,High,Very High,10.849999999999966,Bearish,1,1
Medium,High,Very Low,11.158333333333323,Bearish,12,12
Medium,Low,Low,9.797222222222224,Bearish,72,72
Medium,Low,Medium,6.875,Bullish,2,2
Medium,Low,Very Low,10.653278688524585,Bullish,61,61
Medium,Medium,Low,15.852777777777773,Bearish,18,18
Medium,Medium,Medium,15.633333333333345,Bullish,3,3
Medium,Medium,Very Low,14.690000000000003,Bearish,165,165
Medium,Very High,High,15.737499999999997,Bearish,4,4
Medium,Very High,Very High,13.272499999999999,Bullish,20,20
Medium,Very Low,Low,13.32727272727273,Bullish,11,11
Medium,Very Low,Medium,13.216153846153842,Bearish,65,65
Very High,High,Low,17.72386363636364,Bearish,44,44
Very High,High,Medium,13.349999999999998,Bearish,61,61
Very High,High,Very Low,28.130555555555567,Bearish,18,18
Very High,Low,Medium,13.873214285714282,Bearish,28,28
Very High,Medium,Medium,12.429069767441861,Bearish,43,43
Very High,Very High,High,24.596153846153847,Bearish,13,13
Very High,Very High,Low,25.150000000000016,Bullish,67,67
Very High,Very High,Medium,28.238392857142873,Bearish,56,56
Very High,Very High,Very High,29.015789473684215,Bullish,19,19
Very High,Very High,Very Low,25.944936708860773,Bearish,79,79
Very High,Very Low,Medium,14.075000000000003,Bearish,32,32
Very High,Very Low,Very Low,12.01249999999996,Bearish,4,4
Very Low,High,Very High,13.696428571428568,Bearish,28,28
Very Low,Low,High,11.177999999999995,Bearish,25,25
Very Low,Low,Low,10.944736842105248,Bullish,19,19
Very Low,Low,Medium,12.413157894736841,Bearish,38,38
Very Low,Low,Very High,10.465909090909088,Bearish,22,22
Very Low,Low,Very Low,11.413636363636359,Bullish,11,11
Very Low,Medium,High,14.664285714285706,Bullish,21,21
Very Low,Medium,Medium,12.0,Bullish,1,1
Very Low,Medium,Very High,12.572000000000003,Bullish,25,25
Very Low,Very High,Very High,14.355882352941178,Bullish,17,17
Very Low,Very Low,High,13.440740740740736,Bullish,27,27
Very Low,Very Low,Low,10.903174603174596,Bearish,63,63
Very Low,Very Low,Medium,13.35396825396825,Bearish,63,63
Very Low,Very Low,Very High,11.823913043478255,Bearish,23,23
Very Low,Very Low,Very Low,12.122916666666656,Bearish,96,96
