Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,BHARTIARTL,329.75,329.85,332.1,323.85,325.2,326.93,2952340,,1281792,43420000.0,,,326.1,,16124000.0,2010-01-28,491500.0,,Undecisive
2010-01-05,BHARTIARTL,325.2,328.25,332.0,325.5,330.35,329.36,4302024,,1574502,36600000.0,,,331.25,,16246000.0,2010-01-28,122000.0,5.149999999999977,LongBuildUp
2010-01-06,BHARTIARTL,330.35,332.95,335.15,326.1,326.85,331.24,4409919,,1965213,44560000.0,,,327.45,,17084500.0,2010-01-28,838500.0,-3.8000000000000114,ShortBuildUp
2010-01-07,BHARTIARTL,326.85,328.35,334.0,328.0,329.4,330.91,3868937,,1692143,43740000.0,,,329.0,,17025500.0,2010-01-28,-59000.0,1.5500000000000114,ShortCovering
2010-01-08,BHARTIARTL,329.4,329.75,331.45,324.65,325.05,328.09,2655707,,1349311,50810000.0,,,324.9,,17131000.0,2010-01-28,105500.0,-4.100000000000023,ShortBuildUp
2010-01-11,BHARTIARTL,325.05,331.0,331.0,325.5,328.95,327.7,3143217,,1568775,49910000.0,,,328.25,,17047000.0,2010-01-28,-84000.0,3.3500000000000227,ShortCovering
2010-01-12,BHARTIARTL,328.95,330.1,333.9,320.4,322.25,328.79,6507716,,2687901,41300000.0,,,322.85,,17075500.0,2010-01-28,28500.0,-5.399999999999977,ShortBuildUp
2010-01-13,BHARTIARTL,322.25,321.5,321.95,315.25,318.4,318.58,4299714,,2218520,51600000.0,,,318.4,,17816000.0,2010-01-28,740500.0,-4.4500000000000455,ShortBuildUp
2010-01-14,BHARTIARTL,318.4,319.2,322.6,317.2,318.05,319.19,3920034,,2232417,56950000.0,,,318.95,,18126500.0,2010-01-28,310500.0,0.5500000000000114,LongBuildUp
2010-01-15,BHARTIARTL,318.05,318.0,322.5,316.0,317.4,318.68,4407407,,2398437,54420000.0,,,318.15,,18647000.0,2010-01-28,520500.0,-0.8000000000000114,ShortBuildUp
2010-01-18,BHARTIARTL,317.4,317.0,322.7,316.15,320.7,320.74,3918998,,2504318,63900000.0,,,320.05,,18125500.0,2010-01-28,-521500.0,1.900000000000034,ShortCovering
2010-01-19,BHARTIARTL,320.7,321.0,325.8,318.1,320.55,321.83,3884885,,1957133,50380000.0,,,319.75,,17708500.0,2010-01-28,-417000.0,-0.30000000000001137,LongUnwinding
