DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,4.368,Bearish,25,25
High,High,Medium,4.512499999999985,Bearish,4,4
High,High,Very Low,6.489249011857708,Bearish,253,253
High,Low,Low,2.0500000000000043,Doji,2,2
High,Low,Medium,2.8416666666666672,Bearish,12,12
High,Medium,Low,2.8937499999999994,Bearish,24,24
High,Medium,Medium,2.1214285714285728,Bullish,7,7
High,Medium,Very Low,2.449999999999996,Bearish,7,7
High,Very High,High,5.798529411764705,Bearish,34,34
High,Very High,Low,4.117272727272729,Bullish,11,11
High,Very High,Medium,5.200000000000001,Bullish,18,18
High,Very High,Very High,5.2272222222222195,Bearish,54,54
High,Very High,Very Low,8.105999999999998,Bullish,5,5
High,Very Low,Medium,2.9599999999999995,Bearish,5,5
High,Very Low,Very Low,2.943333333333335,Bullish,3,3
Low,High,High,2.962500000000004,Bearish,4,4
Low,High,Very High,3.950000000000001,Bullish,11,11
Low,Low,High,2.1499999999999986,Bearish,2,2
Low,Low,Low,6.554901960784312,Bearish,51,51
Low,Low,Medium,2.9638888888888886,Bearish,18,18
Low,Low,Very Low,8.733516483516484,Bearish,182,182
Low,Medium,High,3.083333333333335,Bearish,21,21
Low,Medium,Low,3.815789473684209,Bearish,19,19
Low,Medium,Medium,2.2550000000000012,Bearish,20,20
Low,Medium,Very Low,4.292857142857142,Bearish,14,14
Low,Very High,Very High,4.212777777777777,Bullish,18,18
Low,Very Low,Low,10.658730158730156,Bearish,63,63
Low,Very Low,Medium,3.876923076923075,Bearish,26,26
Low,Very Low,Very Low,17.086363636363636,Bearish,11,11
Medium,High,High,4.574166666666665,Bullish,12,12
Medium,High,Low,5.3166666666666655,Bullish,3,3
Medium,High,Medium,4.818181818181818,Bearish,11,11
Medium,High,Very High,6.100000000000001,Bullish,2,2
Medium,High,Very Low,3.327777777777778,Bearish,9,9
Medium,Low,Low,2.870952380952383,Bearish,21,21
Medium,Low,Medium,2.969999999999999,Bullish,5,5
Medium,Low,Very Low,8.8328125,Bearish,32,32
Medium,Medium,Low,2.2357142857142844,Bearish,14,14
Medium,Medium,Medium,3.3999999999999986,Bearish,1,1
Medium,Medium,Very Low,6.282211221122111,Bearish,303,303
Medium,Very High,High,10.474999999999994,Bearish,4,4
Medium,Very High,Very High,7.545428571428572,Bearish,35,35
Medium,Very Low,Medium,4.5818181818181865,Bearish,11,11
Medium,Very Low,Very Low,4.75,Bullish,1,1
Very High,High,Low,4.386499999999997,Bullish,40,40
Very High,High,Medium,4.02142857142857,Bullish,49,49
Very High,High,Very Low,6.1000000000000005,Bullish,15,15
Very High,Low,Medium,2.699999999999998,Bearish,6,6
Very High,Medium,Medium,3.1052631578947367,Bearish,19,19
Very High,Very High,High,7.876666666666664,Bullish,27,27
Very High,Very High,Low,6.412749999999998,Bearish,80,80
Very High,Very High,Medium,7.24395061728395,Bearish,81,81
Very High,Very High,Very High,6.241111111111111,Bearish,45,45
Very High,Very High,Very Low,9.910326086956525,Bullish,92,92
Very High,Very Low,Medium,5.400000000000002,Bullish,4,4
Very High,Very Low,Very Low,4.1285714285714255,Bearish,7,7
Very Low,High,Very High,3.7175000000000025,Bullish,20,20
Very Low,Low,High,3.8679487179487193,Bearish,39,39
Very Low,Low,Low,4.950000000000007,Bearish,6,6
Very Low,Low,Medium,2.718421052631577,Bearish,19,19
Very Low,Low,Very High,3.3300000000000005,Bearish,50,50
Very Low,Low,Very Low,5.425000000000004,Bullish,4,4
Very Low,Medium,High,1.7749999999999968,Bearish,4,4
Very Low,Medium,Very High,3.1590909090909065,Bullish,33,33
Very Low,Very High,Very High,5.399230769230771,Bearish,13,13
Very Low,Very Low,High,8.358064516129039,Bearish,31,31
Very Low,Very Low,Low,9.304597701149426,Bearish,87,87
Very Low,Very Low,Medium,6.512777777777779,Bearish,90,90
Very Low,Very Low,Very High,6.6726190476190474,Bearish,42,42
Very Low,Very Low,Very Low,4.668064516129031,Bearish,31,31
