Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,BHEL,244.5,244.0,244.15,237.35,242.75,241.0,9230527,73906.0,1853413,20.08
2024-12-12,BHEL,253.7,253.8,254.45,244.0,244.5,247.29,13847859,94262.0,5180928,37.41
2024-12-11,BHEL,248.6,251.0,254.4,248.6,253.7,252.46,10687907,69245.0,2639286,24.69
2024-12-10,BHEL,249.55,250.15,255.65,247.6,248.6,250.98,13142458,86673.0,4209164,32.03
2024-12-09,BHEL,249.05,248.4,254.4,247.3,249.55,250.5,9382718,63181.0,3416504,36.41
2024-12-06,BHEL,251.8,251.9,252.85,248.25,249.05,249.91,7762375,63574.0,2827321,36.42
2024-12-05,BHEL,251.35,252.0,252.9,247.75,251.8,250.88,6737876,51698.0,2309413,34.28
2024-12-04,BHEL,252.35,252.85,256.55,250.3,251.35,252.62,8341454,63930.0,2802856,33.6
2024-12-03,BHEL,249.65,250.45,253.8,250.1,252.35,252.23,5163693,52238.0,1788137,34.63
2024-12-02,BHEL,251.09,249.75,251.25,248.1,249.65,249.51,5206287,48573.0,1485714,28.54
2024-11-29,BHEL,252.49,253.0,253.79,247.41,251.09,251.04,8530849,69876.0,2622650,30.74
2024-11-28,BHEL,247.66,249.36,253.8,247.66,252.49,251.39,17770794,107769.0,4162133,23.42
2024-11-27,BHEL,243.97,243.09,248.39,241.5,247.66,246.05,9980383,70358.0,2655381,26.61
2024-11-26,BHEL,241.22,243.5,247.6,243.1,243.97,245.11,12353100,87361.0,2683642,21.72
2024-11-25,BHEL,234.39,241.9,245.74,240.4,241.22,242.89,16392929,98326.0,6359206,38.79
2024-11-22,BHEL,227.94,228.1,236.15,226.8,234.39,232.18,15168514,96557.0,3026629,19.95
2024-11-21,BHEL,225.88,225.45,229.24,218.12,227.94,224.63,14856780,100183.0,3066089,20.64
2024-11-19,BHEL,222.67,224.0,233.2,223.6,225.88,229.53,12068006,87589.0,2333143,19.33
2024-11-18,BHEL,223.71,225.11,226.35,219.66,222.67,222.83,11297324,91999.0,2696863,23.87
2024-11-14,BHEL,222.56,222.36,227.8,220.71,223.71,223.97,10187321,77636.0,1638074,16.08
2024-11-13,BHEL,230.22,229.71,229.71,221.5,222.56,224.76,11397140,101847.0,2764138,24.25
2024-11-12,BHEL,239.22,239.4,239.84,229.0,230.22,234.44,10589650,78527.0,2607748,24.63
2024-11-11,BHEL,239.04,237.4,242.45,234.81,239.22,239.27,7671938,58068.0,1555836,20.28
2024-11-08,BHEL,244.29,245.0,245.5,237.4,239.04,240.76,9480514,69525.0,1675697,17.68
2024-11-07,BHEL,247.98,248.39,249.4,243.9,244.29,246.46,8342302,60029.0,1750421,20.98
2024-11-06,BHEL,235.25,237.5,249.2,236.13,247.98,245.66,23232573,144637.0,3804895,16.38
2024-11-05,BHEL,233.39,234.0,236.4,229.5,235.25,232.92,11731176,85685.0,2428025,20.7
2024-11-04,BHEL,241.97,242.95,242.95,230.8,233.39,233.71,17322490,120673.0,4288737,24.76
2024-11-01,BHEL,239.0,240.9,243.0,240.5,241.97,242.15,3323181,47148.0,1478831,44.5
2024-10-31,BHEL,236.6,236.5,240.8,232.85,239.0,237.62,14333246,97883.0,3118969,21.76
2024-10-30,BHEL,235.0,234.95,243.1,230.75,236.6,238.79,21343526,134925.0,5050992,23.67
2024-10-29,BHEL,229.75,232.8,236.0,227.5,235.0,231.53,29437193,193285.0,6348245,21.57
2024-10-28,BHEL,216.85,218.35,238.5,213.25,229.75,228.98,57158451,304693.0,8564637,14.98
2024-10-25,BHEL,227.3,228.0,228.2,210.7,216.85,216.51,38742027,236036.0,14107669,36.41
2024-10-24,BHEL,223.7,224.1,229.8,222.05,227.3,226.86,26378660,131218.0,9021275,34.2
2024-10-23,BHEL,232.8,233.0,235.4,222.55,223.7,227.27,55940287,201351.0,27289396,48.78
2024-10-22,BHEL,247.65,247.65,248.0,231.65,232.8,237.81,22786450,188518.0,9228289,40.5
2024-10-21,BHEL,253.85,255.5,257.95,245.0,247.65,248.45,12966258,112138.0,5297890,40.86
