Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2014-12-04,BOSCHLTD,20522.35,85.15,1.57,-16.590000000000003
2015-02-19,BOSCHLTD,26201.85,136.31,2.79,29.75999999999999
2015-02-27,BOSCHLTD,26589.3,166.8,31.98,83.63
2015-03-11,BOSCHLTD,26438.4,71.43,1.35,49.11
2015-03-16,BOSCHLTD,26223.1,103.7,1.04,88.89
2015-11-24,BOSCHLTD,18435.75,140.58,1.31,49.28
2020-05-29,BOSCHLTD,9721.15,166.22,5.32,13.509999999999993
2020-06-03,BOSCHLTD,11043.35,113.1,1.26,-26.19999999999999
2020-09-17,BOSCHLTD,12963.25,203.19,1.75,-17.02000000000001
2020-09-30,BOSCHLTD,13730.05,503.85,1.6,111.52999999999996
2020-11-27,BOSCHLTD,12816.1,235.35,25.51,56.53
2020-12-03,BOSCHLTD,13006.7,137.85,4.06,-25.69999999999999
2020-12-07,BOSCHLTD,13436.4,160.88,3.61,-47.0
2020-12-08,BOSCHLTD,13246.35,163.26,2.52,-46.05
2021-05-21,BOSCHLTD,15288.15,105.37,2.29,-65.68
2021-11-10,BOSCHLTD,18784.7,83.33,2.46,-54.04
2021-11-11,BOSCHLTD,18249.9,112.11,1.31,-53.37
2022-08-24,BOSCHLTD,17260.95,160.0,1.22,27.69
2022-11-01,BOSCHLTD,16599.3,205.26,1.24,121.06
2022-11-23,BOSCHLTD,16647.65,357.69,1.04,42.31
2022-12-08,BOSCHLTD,17454.8,626.67,1.52,386.6600000000001
2023-03-20,BOSCHLTD,18139.3,93.06,1.01,47.22
2023-08-02,BOSCHLTD,18262.25,60.78,1.25,0.490000000000002
2023-12-05,BOSCHLTD,21652.95,221.1,4.39,181.65
2024-01-29,BOSCHLTD,23248.8,230.43,1.95,193.48
2024-04-09,BOSCHLTD,30067.9,229.73,5.37,133.11
2024-05-15,BOSCHLTD,30935.4,66.89,1.97,-2.299999999999997
2024-05-31,BOSCHLTD,30393.75,178.62,33.66,93.93
2024-09-10,BOSCHLTD,33534.0,121.38,2.38,42.75999999999999
2024-09-20,BOSCHLTD,35686.75,61.11,1.23,-4.170000000000002
2025-02-11,BOSCHLTD,27223.45,240.0,1.11,315.0
