DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,529.4357142857148,Bearish,21,21
High,High,Medium,529.8833333333329,Bearish,6,6
High,High,Very Low,497.67307692307713,Bearish,52,52
High,Low,Low,265.00681818181795,Bullish,22,22
High,Low,Medium,425.6954545454546,Bearish,44,44
High,Medium,Low,469.3065217391304,Bearish,23,23
High,Medium,Medium,455.12272727272716,Bullish,11,11
High,Medium,Very Low,734.0357142857148,Bearish,7,7
High,Very High,High,453.2225000000004,Bullish,20,20
High,Very High,Low,377.8333333333333,Bearish,3,3
High,Very High,Medium,439.94166666666734,Bullish,12,12
High,Very High,Very High,414.6749999999999,Bearish,20,20
High,Very Low,Medium,463.6677966101698,Bearish,59,59
High,Very Low,Very Low,503.0499999999993,Bullish,3,3
Low,High,High,484.4214285714287,Bearish,7,7
Low,High,Medium,279.9500000000007,Bullish,1,1
Low,High,Very High,489.42999999999995,Bearish,10,10
Low,Low,Low,411.9480000000003,Bearish,25,25
Low,Low,Medium,670.0,Bullish,1,1
Low,Low,Very Low,478.5947761194032,Bearish,67,67
Low,Medium,High,419.7999999999993,Bullish,1,1
Low,Medium,Low,608.5666666666665,Bearish,9,9
Low,Medium,Medium,383.7777777777774,Bullish,9,9
Low,Medium,Very Low,574.9749999999999,Bullish,8,8
Low,Very High,Very High,453.6375000000003,Bullish,8,8
Low,Very Low,Low,409.9548780487806,Bearish,82,82
Low,Very Low,Medium,461.916901408451,Bullish,71,71
Low,Very Low,Very Low,503.75000000000017,Bearish,10,10
Medium,High,High,376.2214285714282,Bullish,7,7
Medium,High,Low,583.483333333333,Bearish,6,6
Medium,High,Medium,719.4785714285715,Bullish,7,7
Medium,High,Very Low,395.68000000000063,Bearish,5,5
Medium,Low,Low,252.9000000000001,Bearish,101,101
Medium,Low,Medium,277.05000000000047,Bearish,3,3
Medium,Low,Very Low,554.326190476191,Bearish,21,21
Medium,Medium,Low,592.7624999999998,Bearish,4,4
Medium,Medium,Very Low,493.6319672131149,Bearish,61,61
Medium,Very High,Very High,455.4333333333343,Bullish,3,3
Medium,Very Low,Low,362.28333333333325,Bullish,15,15
Medium,Very Low,Medium,447.6358333333337,Bearish,60,60
Medium,Very Low,Very Low,301.1750000000002,Bullish,2,2
Very High,High,Low,622.5562500000002,Bearish,24,24
Very High,High,Medium,522.7621212121214,Bearish,33,33
Very High,High,Very Low,483.40833333333313,Bearish,6,6
Very High,Low,Medium,429.30108695652194,Bearish,46,46
Very High,Medium,Medium,434.24142857142857,Bearish,35,35
Very High,Very High,High,428.11428571428615,Bullish,7,7
Very High,Very High,Low,519.1722222222229,Bullish,18,18
Very High,Very High,Medium,561.3722222222225,Bullish,18,18
Very High,Very High,Very High,538.8928571428575,Bullish,7,7
Very High,Very High,Very Low,468.08000000000027,Bearish,20,20
Very High,Very Low,Medium,503.09147727272733,Bearish,88,88
Very High,Very Low,Very Low,527.5500000000002,Bullish,2,2
Very Low,High,Very High,552.3999999999996,Bearish,10,10
Very Low,Low,High,625.689285714286,Bearish,14,14
Very Low,Low,Low,387.35999999999996,Bearish,15,15
Very Low,Low,Medium,421.5074999999999,Bearish,20,20
Very Low,Low,Very High,394.87307692307695,Bearish,13,13
Very Low,Low,Very Low,548.3500000000004,Bearish,4,4
Very Low,Medium,High,568.8699999999997,Bullish,5,5
Very Low,Medium,Very High,521.8000000000005,Bullish,7,7
Very Low,Very High,Very High,652.9625000000005,Bullish,4,4
Very Low,Very Low,High,424.69833333333355,Bearish,30,30
Very Low,Very Low,Low,442.41857142857174,Bearish,70,70
Very Low,Very Low,Medium,440.6169811320757,Bullish,53,53
Very Low,Very Low,Very High,576.0452380952383,Bearish,21,21
Very Low,Very Low,Very Low,449.7825000000004,Bearish,40,40
