Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2018-11-30,BPCL,324.4,447.06,0.99,135.29000000000002
2019-01-31,BPCL,345.45,183.33,1.0,149.99999999999997
2019-03-15,BPCL,396.3,618.18,1.01,300.0
2019-10-07,BPCL,490.65,93.61,1.94,-43.99
2020-02-06,BPCL,495.05,109.0,0.95,-14.0
2021-03-09,BPCL,445.9,434.41,38.66,108.57
2021-03-15,BPCL,460.55,113.07,1.6,-22.16
2021-03-16,BPCL,453.85,190.22,2.0,27.169999999999987
2021-04-23,BPCL,423.05,259.66,3.46,31.09999999999997
2021-09-14,BPCL,493.1,92.48,1.51,21.05
2021-10-21,BPCL,451.05,139.68,1.15,42.85999999999999
2023-05-31,BPCL,363.5,2300.0,2.23,2160.0
2023-09-12,BPCL,348.4,187.5,1.04,72.5
2023-12-06,BPCL,472.85,152.04,1.6,11.230000000000018
2024-02-09,BPCL,614.3,50.77,0.93,-22.15
2024-07-23,BPCL,306.0,126.91,2.53,-25.3
2024-07-24,BPCL,314.95,142.86,1.79,-15.000000000000014
2024-07-31,BPCL,350.05,118.6,1.78,-15.11
2024-08-01,BPCL,349.1,134.23,2.02,1.3400000000000034
2024-08-12,BPCL,333.4,273.91,1.4,30.44
2024-09-20,BPCL,331.2,313.46,1.75,23.08000000000004
2024-09-30,BPCL,369.95,147.14,2.27,-39.03999999999999
2024-10-09,BPCL,338.85,109.77,0.91,-41.35
2024-10-16,BPCL,350.75,180.36,1.71,-27.680000000000007
2024-10-28,BPCL,310.4,173.17,1.24,-21.94999999999999
2024-11-25,BPCL,296.55,173.04,1.44,-47.81999999999999
2024-12-09,BPCL,303.45,163.38,1.45,40.85
2024-12-20,BPCL,289.05,138.46,1.02,18.45999999999998
2025-01-13,BPCL,265.3,87.5,1.03,4.459999999999994
2025-02-03,BPCL,249.55,131.4,2.94,10.629999999999995
2025-02-28,BPCL,237.3,183.33,2.16,73.80999999999997
2025-03-27,BPCL,276.06,666.53,24.44,331.02
