Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Market Structure,Liquidity,MarketMove,Swing,Trend,Swing%
2010-01-04,BRITANNIA,1869,,1291,37.14,28.0,24.61,Low,,,,-0.7,-0.75,-0.96,72.92,78.12,-5.200000000000003,High,,Neutral,Medium,Medium,Medium,,1668.55,,,,,-0.64,,,-0.0,1680.4,1669.0,1695.0,1661.05,1675.49,,,,,,,33.95,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,7.533158807455563,,,,,,,False,LL,HH Sweep,BoS,,Downtrend,
2010-01-05,BRITANNIA,2281,,1442,37.14,28.0,24.61,Low,,,,-0.7,-0.75,-0.96,72.92,78.12,-5.200000000000003,High,2.5,Neutral,Medium,Medium,Medium,,1671.05,,,,,-0.63,,,-0.0,1668.55,1670.0,1694.2,1660.0,1676.57,,,,,11.05,23.15,34.2,True,0.06,CandleLowSwipe,Bullish,0.0014971855713215,2.5,Neutral,,,,,,,,,0.04,,Buy,0.0500000000001819,0.01,11.05,11.05,False,23.15,23.15,False,2.5,7.732369222284388,19.33092305571097,,0.001096010521701,,,,False,,,,,,
2010-01-06,BRITANNIA,2150,,1837,37.14,28.0,24.61,Low,,,,-0.7,-0.75,-0.96,72.92,78.12,-5.200000000000003,High,-15.2,Neutral,Medium,Medium,Medium,,1655.85,,,,,-0.52,,,-0.0,1671.05,1685.0,1685.0,1645.0,1661.33,,,,,10.85,29.15,40.0,False,0.0,NoSwipe,Bearish,-0.0091376992175371,-15.200000000000044,Neutral,,,,,,,,,-0.33,,Sell,-0.3999999999998636,-0.07,10.92,10.95,False,27.15,26.38,True,-15.200000000000044,7.673223121121708,-116.63299144105032,,-0.0070697674418604,,,,False,,,,,,
2010-01-07,BRITANNIA,82199,,81814,231.03,84.62,63.37,Medium,Medium,,,-0.29,-0.52,-0.96,30.21,54.17,-23.96,Medium,-6.8,Neutral,Very High,High,High,,1649.05,,,,,-0.8,,,-0.0,1655.85,1655.85,1665.0,1640.0,1640.27,,,,,9.05,15.95,25.0,True,0.3,CandleLowSwipe,Bearish,-0.0041151076256431,-6.7999999999999545,Neutral,,,,,,,,,-0.61,,Sell,-0.8400000000001455,-0.23,9.85,10.25,False,20.75,22.36,False,-6.7999999999999545,11.31689841552015,-76.95490922553651,,-8.272606722709467e-05,,,,False,,,,,,
2010-01-08,BRITANNIA,14514,,13641,50.0,35.21,29.58,Low,Low,,,-0.64,-0.71,-0.96,66.67,73.96,-7.289999999999992,Medium,3.65,Neutral,Medium,Medium,Medium,,1652.7,,,,,-0.73,,,-0.0,1649.05,1641.0,1669.85,1641.0,1659.54,,,,,11.7,17.15,28.85,True,0.29,CandleHighSwipe,Bullish,0.0022109496399531,3.650000000000091,Neutral,,,,,,,,,-0.56,,Sell,-0.9199999999998454,-0.36,10.84,10.67,True,18.83,20.74,False,3.650000000000091,9.582868979838082,34.97747177640987,,0.0002514813283726,,,,False,,,,,,
2010-01-11,BRITANNIA,111507,,109800,585.71,123.26,78.96,High,Medium,,,-0.14,-0.43,-0.96,14.58,44.79,-30.21,Low,-0.4,Neutral,Very High,Very High,High,,1652.3,,,,,-0.84,,,-0.0,1652.7,1673.0,1673.0,1650.0,1655.0,,,,,2.3,20.7,23.0,True,0.19,CandleOpenHighSwipe,Bearish,-0.0002420574898351,-0.4000000000000909,Neutral,,,,,,,,,-0.48,,Sell,-0.9699999999998,-0.49,6.43,8.66,False,19.8,20.73,False,-0.4000000000000909,11.62184264818077,-4.648737059273365,,-3.587218739631512e-06,,,,False,,,,,Downtrend,
2010-01-12,BRITANNIA,53495,,52616,118.18,60.0,49.23,Medium,Low,,,-0.44,-0.6,-0.96,45.83,62.5,-16.67,Medium,14.1,Neutral,High,High,High,,1666.4,,,,,-0.34,,,-0.0,1652.3,1675.0,1695.0,1645.25,1653.4,,,,,21.15,28.6,49.75,True,1.32,CandleOpenHighSwipe,Bearish,0.0084973542898163,14.100000000000136,Neutral,,,,,,,,,0.12,,Buy,-0.3400000000001455,-0.46,13.91,11.27,True,24.27,22.59,True,14.100000000000136,10.887343470572707,153.51154293507665,,0.0002635760351434,,,,False,LL,LL Sweep,,,Downtrend,
2010-01-13,BRITANNIA,1084,,665,37.14,28.0,24.61,Low,,,,-0.7,-0.75,-0.96,72.92,78.12,-5.200000000000003,High,-6.05,Neutral,Medium,Medium,Medium,,1660.35,,,,,-0.8,,,-0.0,1666.4,1678.0,1678.0,1652.6,1661.9,,,,,7.75,17.65,25.4,False,0.0,,Bearish,-0.0036371874470191,-6.050000000000182,Neutral,,,,,,,,,0.2,,Buy,-0.2100000000000363,-0.41,10.8,10.61,True,20.93,21.52,False,-6.050000000000182,6.988413181999592,-42.2798997510988,,-0.0055811808118082,,,,False,,,,,Downtrend,
2010-01-14,BRITANNIA,3687,,2290,39.13,29.73,24.02,Low,Low,,,-0.69,-0.74,-0.96,71.88,77.08,-5.200000000000003,High,19.9,Neutral,Medium,Medium,Medium,,1680.25,,,,,-0.68,,,-0.0,1660.35,1674.0,1692.0,1660.35,1678.27,,,,,19.9,11.75,31.65,False,0.0,NoSwipe,Bullish,0.0119141683503327,19.90000000000009,Neutral,,,,,,,,,1.03,,Buy,0.8800000000001091,-0.15,15.37,12.19,True,16.32,19.55,False,19.90000000000009,8.212568398234145,163.43011112486025,,0.0053973420124762,,,,False,,,,,Downtrend,
2010-01-15,BRITANNIA,2294,,1611,37.14,28.0,24.61,Low,,,,-0.7,-0.75,-0.96,72.92,78.12,-5.200000000000003,High,13.45,Neutral,Medium,Medium,Medium,,1693.7,,,,,-0.82,,,-0.0,1680.25,1672.25,1696.0,1672.0,1693.36,,,,,21.7,2.3,24.0,False,0.0,NoSwipe,Bullish,0.0079728930470004,13.450000000000044,Neutral,,,,,,,,,1.98,,Buy,2.3299999999999272,0.35,18.54,13.69,True,9.3,16.27,False,13.450000000000044,7.738052297689316,104.07680340392164,,0.0058631211857018,,,,False,,HH Sweep,,,Downtrend,
