Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,CANBK,2024-12-26,108.89,109.09,107.55,107.86,107.86,20229750,2997.0,252099000,-2497500
2024-12-11,CANBK,2024-12-26,109.89,110.36,108.77,108.99,108.99,24367500,3610.0,254596500,438750
2024-12-10,CANBK,2024-12-26,109.52,110.6,108.9,110.18,110.18,32258250,4779.0,254157750,-2389500
2024-12-09,CANBK,2024-12-26,109.1,110.56,108.25,109.25,109.25,29308500,4342.0,256547250,-1255500
2024-12-06,CANBK,2024-12-26,109.5,111.14,107.9,109.83,109.83,121749750,18037.0,257802750,-10840500
2024-12-05,CANBK,2024-12-26,109.0,109.7,107.53,108.36,108.36,65765250,9743.0,268643250,-12035250
2024-12-04,CANBK,2024-12-26,106.0,109.68,105.89,108.81,108.81,89748000,13296.0,280678500,-7074000
2024-12-03,CANBK,2024-12-26,102.63,105.95,102.44,105.51,105.51,61789500,9154.0,287752500,4495500
2024-12-02,CANBK,2024-12-26,102.59,103.0,101.76,102.38,102.38,25542000,3784.0,283257000,1100250
2024-11-29,CANBK,2024-12-26,104.15,104.35,101.35,102.66,102.66,42943500,6362.0,282156750,310500
2024-11-28,CANBK,2024-11-28,102.24,105.0,101.7,102.83,102.9,107055000,15860.0,12528000,-60777000
2024-11-27,CANBK,2024-11-28,101.81,102.58,100.66,101.53,101.53,82971000,12292.0,73305000,-60837750
2024-11-26,CANBK,2024-11-28,101.61,102.6,100.5,101.79,101.79,90200250,13363.0,134142750,-61965000
2024-11-25,CANBK,2024-11-28,100.2,101.48,99.26,100.8,100.8,112272750,16633.0,196107750,-66818250
2024-11-22,CANBK,2024-11-28,95.09,97.79,94.81,96.84,96.84,61411500,9098.0,262926000,-13844250
2024-11-21,CANBK,2024-11-28,97.0,97.49,92.39,94.47,94.47,87277500,12930.0,276770250,-3564000
2024-11-19,CANBK,2024-11-28,99.09,101.45,97.33,97.8,97.8,59757750,8853.0,280334250,-14924250
2024-11-18,CANBK,2024-11-28,97.93,98.83,95.72,98.19,98.19,49970250,7403.0,295258500,-9051750
2024-11-14,CANBK,2024-11-28,99.29,100.59,97.23,97.56,97.56,47344500,7014.0,304310250,-7087500
2024-11-13,CANBK,2024-11-28,101.69,102.12,98.1,98.73,98.73,66926250,9915.0,311397750,-3327750
2024-11-12,CANBK,2024-11-28,104.06,105.17,101.37,101.7,101.7,41856750,6201.0,314725500,-999000
2024-11-11,CANBK,2024-11-28,102.2,105.5,102.0,104.26,104.26,48606750,7201.0,315819000,1795500
2024-11-08,CANBK,2024-11-28,105.21,105.45,103.43,103.81,103.81,45333000,6716.0,314023500,-850500
2024-11-07,CANBK,2024-11-28,105.54,106.96,105.15,105.6,105.6,44644500,6614.0,314874000,-3550500
2024-11-06,CANBK,2024-11-28,104.99,106.65,103.97,105.82,105.82,59771250,8855.0,318424500,4819500
2024-11-05,CANBK,2024-11-28,102.22,104.49,101.63,104.22,104.22,53568000,7936.0,313605000,391500
2024-11-04,CANBK,2024-11-28,104.36,104.66,99.76,102.52,102.52,77004000,11408.0,313213500,2349000
2024-11-01,CANBK,2024-11-28,104.0,104.88,103.69,104.46,104.46,10982250,1627.0,310864500,614250
2024-10-31,CANBK,2024-10-31,103.9,104.24,102.18,102.6,102.65,83956500,12438.0,20364750,-41640750
2024-10-30,CANBK,2024-10-31,103.72,105.08,103.05,103.43,103.43,74047500,10970.0,62005500,-45805500
2024-10-29,CANBK,2024-10-31,101.5,104.15,99.66,103.8,103.8,161264250,23891.0,107811000,-71496000
2024-10-28,CANBK,2024-10-31,96.15,101.42,94.88,100.76,100.76,147386250,21835.0,179307000,-71057250
2024-10-25,CANBK,2024-10-31,98.5,99.3,92.91,94.39,94.39,73919250,10951.0,250364250,-4900500
