Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,CANBK,388.75,390.0,399.75,386.55,398.85,394.53,400005,,164793,0.41200000000000003,,,398.75,560000.0,1179200.0,2010-01-28,-48000.0,,Undecisive
2010-01-05,CANBK,398.85,399.9,407.0,399.05,405.85,403.79,500502,,292369,0.5842,,,404.75,555200.0,1162400.0,2010-01-28,-16800.0,6.0,ShortCovering
2010-01-06,CANBK,405.85,406.0,411.7,398.4,407.85,407.73,383688,,96625,0.2518,,,407.9,756800.0,1254400.0,2010-01-28,92000.0,3.1499999999999773,LongBuildUp
2010-01-07,CANBK,407.85,406.8,412.0,405.15,411.2,409.55,395968,,172122,0.4347,,,410.5,496800.0,1264800.0,2010-01-28,10400.0,2.6000000000000227,LongBuildUp
2010-01-08,CANBK,411.2,412.0,413.0,401.75,405.55,407.64,158933,,51469,0.32380000000000003,,,403.6,400800.0,1192800.0,2010-01-28,-72000.0,-6.899999999999977,LongUnwinding
2010-01-11,CANBK,405.55,401.25,410.0,401.25,406.6,407.75,113334,,34067,0.3006,,,406.4,261600.0,1187200.0,2010-01-28,-5600.0,2.7999999999999545,ShortCovering
2010-01-12,CANBK,406.6,406.5,410.9,398.15,398.8,402.84,250332,,117514,0.4694,,,399.75,427200.0,1188000.0,2010-01-28,800.0,-6.649999999999977,ShortBuildUp
2010-01-13,CANBK,398.8,393.9,401.8,391.65,394.9,395.87,454783,,249181,0.5479,,,396.35,544800.0,1111200.0,2010-01-28,-76800.0,-3.3999999999999773,LongUnwinding
2010-01-14,CANBK,394.9,397.0,400.65,390.7,393.1,395.77,554144,,324215,0.5851,,,394.3,645600.0,1001600.0,2010-01-28,-109600.0,-2.0500000000000114,LongUnwinding
2010-01-15,CANBK,393.1,395.0,395.95,384.0,385.15,388.74,744510,,442876,0.5949,,,386.75,617600.0,1118400.0,2010-01-28,116800.0,-7.550000000000011,ShortBuildUp
2010-01-18,CANBK,385.15,382.0,394.0,380.1,391.95,388.19,538158,,166874,0.31010000000000004,,,392.95,709600.0,1115200.0,2010-01-28,-3200.0,6.199999999999989,ShortCovering
2010-01-19,CANBK,391.95,392.6,400.0,392.6,395.9,397.07,258552,,60420,0.23370000000000002,,,396.9,536000.0,1089600.0,2010-01-28,-25600.0,3.9499999999999886,ShortCovering
2010-01-20,CANBK,395.9,396.9,404.5,396.9,402.5,401.58,465687,,199678,0.4288,,,402.55,623200.0,1025600.0,2010-01-28,-64000.0,5.650000000000034,ShortCovering
2010-01-21,CANBK,402.5,400.0,402.9,393.3,396.2,397.41,291592,,110053,0.3774,,,397.05,483200.0,968000.0,2010-01-28,-57600.0,-5.5,LongUnwinding
2010-01-22,CANBK,396.2,390.6,399.5,384.0,390.2,390.99,513813,,243902,0.4747,,,391.1,551200.0,942400.0,2010-01-28,-25600.0,-5.949999999999989,LongUnwinding
2010-01-25,CANBK,390.2,385.6,394.0,385.4,390.05,389.85,343020,,207377,0.6046,,,390.2,308000.0,888000.0,2010-01-28,-54400.0,-0.9000000000000341,LongUnwinding
2010-01-27,CANBK,390.05,388.0,394.55,365.1,372.3,377.55,543812,,286786,0.5274,,,371.75,1132800.0,486400.0,2010-01-28,-401600.0,-18.44999999999999,LongUnwinding
2010-01-28,CANBK,372.3,375.0,382.9,366.1,372.9,375.24,1395800,,536669,0.38450000000000006,,,372.65,1270400.0,455200.0,2010-01-28,-31200.0,0.8999999999999773,ShortCovering
2010-01-29,CANBK,372.9,374.0,398.95,359.8,390.4,377.9,1374778,,534650,0.3889,,,391.35,1745600.0,1100000.0,2010-02-25,158400.0,18.700000000000045,LongBuildUp
2010-02-01,CANBK,390.4,389.0,406.1,385.85,404.4,397.5,558955,,209186,0.37420000000000003,89.92727273,,404.35,888800.0,1110400.0,2010-02-25,10400.0,13.0,LongBuildUp
2010-02-02,CANBK,404.4,404.0,412.0,400.5,403.85,405.78,736646,,385247,0.523,90.32,0.39,400.85,1135200.0,1022400.0,2010-02-25,-88000.0,-3.5,LongUnwinding
2010-02-03,CANBK,403.85,409.5,409.5,400.2,401.65,404.22,334313,,114786,0.3433,90.13454545,-0.19,402.65,577600.0,1063200.0,2010-02-25,40800.0,1.7999999999999545,LongBuildUp
2010-02-04,CANBK,401.65,399.0,401.0,391.5,393.65,395.13,285328,,109932,0.38530000000000003,90.17090909,0.04,392.05,530400.0,1056000.0,2010-02-25,-7200.0,-10.599999999999966,LongUnwinding
2010-02-05,CANBK,393.65,385.05,388.45,378.1,381.2,383.68,230780,,66644,0.2888,90.4,0.23,379.8,500000.0,1004800.0,2010-02-25,-51200.0,-12.25,LongUnwinding
2010-02-06,CANBK,381.2,385.0,387.95,381.1,382.5,382.83,38518,,12383,0.3215,,,381.75,57600.0,999200.0,2010-02-25,-5600.0,1.9499999999999886,ShortCovering
2010-02-08,CANBK,382.5,381.0,391.45,378.9,388.65,385.97,319809,,117721,0.36810000000000004,90.45818182,0.06,389.5,584000.0,990400.0,2010-02-25,-8800.0,7.75,ShortCovering
2010-02-09,CANBK,388.65,385.35,390.0,384.9,387.45,387.26,211350,,85525,0.4047,90.58181818,0.12,388.85,298400.0,962400.0,2010-02-25,-28000.0,-0.6499999999999773,LongUnwinding
2010-02-10,CANBK,387.45,393.0,393.0,380.3,382.2,386.77,295062,,130310,0.4416,90.69454545,0.11,382.9,375200.0,937600.0,2010-02-25,-24800.0,-5.9500000000000455,LongUnwinding
2010-02-11,CANBK,382.2,386.0,387.0,382.25,384.9,385.03,184361,,73213,0.3971,90.74181818,0.05,386.4,313600.0,926400.0,2010-02-25,-11200.0,3.5,ShortCovering
2010-02-15,CANBK,384.9,390.0,392.4,380.1,382.05,384.08,140932,,59634,0.42310000000000003,90.69454545,-0.05,381.65,253600.0,936800.0,2010-02-25,10400.0,-4.75,ShortBuildUp
