Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,CANFINHOME,791.85,795.0,795.3,780.5,782.85,788.59,149421,14270,74444,49.82,-0.7
2025-06-02,CANFINHOME,788.15,788.2,794.0,776.05,791.85,784.82,280101,20788,145351,51.89,-0.45
2025-05-30,CANFINHOME,779.55,784.0,790.8,768.0,788.15,782.45,235390,11811,120824,51.33,-0.53
2025-05-29,CANFINHOME,767.8,767.2,785.2,765.55,779.55,776.4,218848,14687,107877,49.29,-0.58
2025-05-28,CANFINHOME,775.05,778.0,779.5,762.2,767.8,767.84,124298,8309,60174,48.41,-0.75
2025-05-27,CANFINHOME,755.65,760.0,779.9,758.0,775.05,769.99,482834,22114,238239,49.34,-0.12
2025-05-26,CANFINHOME,738.7,743.8,759.0,742.1,755.65,751.6,212863,8620,127305,59.81,-0.51
2025-05-23,CANFINHOME,745.0,746.1,747.9,735.0,738.7,738.47,296136,20903,177455,59.92,-0.33
2025-05-22,CANFINHOME,751.05,748.0,753.55,738.6,745.0,746.27,90754,6044,50439,55.58,-0.78
2025-05-21,CANFINHOME,743.3,743.8,754.95,735.0,751.05,747.14,151115,9186,73121,48.39,-0.7
2025-05-20,CANFINHOME,743.65,748.7,749.45,736.95,743.3,743.66,140331,6485,73900,52.66,-0.7
2025-05-19,CANFINHOME,754.2,754.2,758.25,736.0,743.65,747.21,247043,14883,126237,51.1,-0.51
2025-05-16,CANFINHOME,743.4,750.0,756.0,741.05,754.2,749.39,271095,27768,167516,61.79,-0.37
2025-05-15,CANFINHOME,741.3,745.0,749.8,740.0,743.4,744.47,299495,16895,141307,47.18,-0.46
2025-05-14,CANFINHOME,720.55,728.0,743.75,722.4,741.3,736.83,454479,20886,277376,61.03,0.02
2025-05-13,CANFINHOME,728.35,729.95,734.2,718.0,720.55,725.93,204768,10009,105999,51.77,-0.59
2025-05-12,CANFINHOME,707.7,734.0,734.0,715.95,728.35,724.45,307989,13601,162405,52.73,-0.39
2025-05-09,CANFINHOME,712.85,691.55,712.0,691.55,707.7,705.79,247892,14424,118467,47.79,-0.54
2025-05-08,CANFINHOME,718.1,719.0,735.0,701.1,712.85,726.56,606965,35783,201481,33.19,-0.25
2025-05-07,CANFINHOME,703.35,695.0,721.45,695.0,718.1,711.42,208281,13073,92513,44.42,-0.63
2025-05-06,CANFINHOME,715.2,715.2,720.25,699.95,703.35,709.87,246890,15613,152795,61.89,-0.42
2025-05-05,CANFINHOME,718.75,724.3,724.3,708.8,715.2,713.99,539007,24945,269133,49.93,-0.01
2025-05-02,CANFINHOME,715.15,722.0,730.0,710.55,718.75,723.92,305716,17497,154107,50.41,-0.41
2025-04-30,CANFINHOME,708.65,705.05,718.7,698.05,715.15,711.46,664251,30531,385321,58.01,0.41
2025-04-29,CANFINHOME,726.95,730.0,730.5,706.1,708.65,718.74,598251,23947,320140,53.51,0.18
2025-04-28,CANFINHOME,723.15,727.0,731.9,716.85,726.95,726.62,292218,21345,149898,51.3,-0.43
2025-04-25,CANFINHOME,708.65,711.95,729.0,700.0,723.15,714.7,1109864,43421,493029,44.42,0.79
2025-04-24,CANFINHOME,744.9,750.0,750.0,704.4,708.65,721.01,1235577,41894,580630,46.99,1.1
2025-04-23,CANFINHOME,739.8,746.0,749.0,728.0,744.9,741.09,490362,30448,260757,53.18,-0.04
2025-04-22,CANFINHOME,739.95,749.0,749.0,731.0,739.8,739.16,262679,16120,112095,42.67,-0.56
2025-04-21,CANFINHOME,711.55,718.0,746.15,716.5,739.95,730.33,528465,25636,254133,48.09,-0.06
2025-04-17,CANFINHOME,697.4,703.45,720.0,690.3,711.55,707.01,774073,48574,382881,49.46,0.4
2025-04-16,CANFINHOME,666.5,667.6,705.0,665.45,697.4,688.58,1005234,58485,524194,52.15,0.9
2025-04-15,CANFINHOME,652.0,665.0,669.7,651.2,666.5,664.66,408789,39644,271279,66.36,0.0
2025-04-11,CANFINHOME,656.85,664.0,667.4,646.65,652.0,653.19,427585,35012,236414,55.29,-0.12
2025-04-09,CANFINHOME,660.1,659.4,663.5,650.2,656.85,658.19,239240,29353,139418,58.28,-0.47
2025-04-08,CANFINHOME,647.35,654.8,677.05,654.8,660.1,664.27,252153,17430,141782,56.23,-0.46
2025-04-07,CANFINHOME,664.1,615.0,655.75,615.0,647.35,640.82,652588,31416,328651,50.36,0.21
2025-04-04,CANFINHOME,679.9,678.5,683.1,663.0,664.1,670.13,244072,17327,129647,53.12,-0.5
2025-04-03,CANFINHOME,670.9,661.0,688.15,661.0,679.9,679.78,341888,20623,165152,48.31,-0.38
2025-04-02,CANFINHOME,663.35,663.0,676.4,653.8,670.9,667.01,206213,19084,129145,62.63,-0.5
2025-04-01,CANFINHOME,669.45,666.8,674.1,660.2,663.35,664.96,169914,16115,97624,57.45,-0.62
2025-03-28,CANFINHOME,666.9,667.55,678.0,664.7,669.45,669.8,193798,11638,105543,54.46,-0.59
2025-03-27,CANFINHOME,670.65,670.0,674.9,661.85,666.9,669.13,266519,27581,132049,49.55,-0.49
2025-03-26,CANFINHOME,680.1,694.7,694.7,666.55,670.65,674.81,220885,17521,101228,45.83,-0.6
2025-03-25,CANFINHOME,685.3,695.0,695.0,670.7,680.1,678.9,311666,17672,153442,49.23,-0.42
2025-03-24,CANFINHOME,675.65,675.65,696.75,675.65,685.3,687.71,358866,18022,189825,52.9,-0.29
2025-03-21,CANFINHOME,676.5,676.95,681.9,667.25,675.65,675.71,412119,31237,227709,55.25,-0.15
2025-03-20,CANFINHOME,660.05,661.2,679.0,659.5,676.5,671.06,482798,28865,260653,53.99,-0.04
2025-03-19,CANFINHOME,643.55,645.1,661.75,641.8,660.05,654.63,337633,15615,197109,58.38,-0.26
2025-03-18,CANFINHOME,625.5,629.95,647.95,622.55,643.55,636.83,480521,20656,290455,60.45,0.07
2025-03-17,CANFINHOME,601.75,603.0,630.0,600.0,625.5,618.64,512839,35399,197737,38.56,-0.26
2025-03-13,CANFINHOME,602.4,604.8,610.55,598.05,601.75,602.65,154831,12136,71538,46.2,-0.71
2025-03-12,CANFINHOME,612.8,612.8,622.3,595.5,602.4,605.34,201070,15474,97191,48.34,-0.62
2025-03-11,CANFINHOME,622.65,621.5,625.15,606.0,612.8,613.07,266841,16917,139145,52.15,-0.47
2025-03-10,CANFINHOME,629.6,634.55,644.9,620.0,622.65,631.72,607679,30687,320004,52.66,0.18
2025-03-07,CANFINHOME,606.2,607.95,632.05,607.95,629.6,625.11,608823,26546,248438,40.81,-0.08
2025-03-06,CANFINHOME,603.05,614.8,619.65,601.25,606.2,608.47,377503,19167,173879,46.06,-0.34
2025-03-05,CANFINHOME,592.6,588.0,609.0,568.95,603.05,585.67,939034,43929,343449,36.57,0.26
2025-03-04,CANFINHOME,578.7,576.6,595.8,573.3,592.6,584.6,425196,18001,181514,42.69,-0.32
2025-03-03,CANFINHOME,577.65,580.05,582.0,563.85,578.7,573.03,362970,22299,194224,53.51,-0.27
2025-02-28,CANFINHOME,574.8,565.55,585.1,565.0,577.65,577.51,492841,21056,221548,44.95,-0.17
2025-02-27,CANFINHOME,577.85,577.0,592.0,568.55,574.8,580.95,2214435,36059,1548635,69.93,4.55
2025-02-25,CANFINHOME,605.2,605.95,608.95,558.5,577.85,576.83,2623068,52220,1429695,54.5,4.13
2025-02-24,CANFINHOME,598.55,594.0,607.65,588.4,605.2,600.87,593713,18308,337513,56.85,0.24
2025-02-21,CANFINHOME,605.05,607.9,621.25,594.35,598.55,602.02,743811,20100,414820,55.77,0.51
2025-02-20,CANFINHOME,600.8,599.05,612.35,595.2,605.05,605.7,309864,11710,125612,40.54,-0.52
2025-02-19,CANFINHOME,598.6,592.2,607.9,590.85,600.8,600.97,190817,14454,56742,29.74,-0.76
2025-02-18,CANFINHOME,608.85,602.5,608.0,595.65,598.6,600.24,165183,8735,58764,35.58,-0.75
2025-02-17,CANFINHOME,607.3,599.0,610.95,591.8,608.85,604.2,755324,23322,325947,43.15,0.2
2025-02-14,CANFINHOME,611.4,610.0,614.15,599.15,607.3,606.58,415632,14585,201325,48.44,-0.25
2025-02-13,CANFINHOME,616.45,612.2,621.2,605.85,611.4,613.39,363701,16526,158401,43.55,-0.4
2025-02-12,CANFINHOME,620.65,615.2,620.65,596.0,616.45,608.71,580938,22546,220659,37.98,-0.18
2025-02-11,CANFINHOME,649.3,647.55,648.0,618.5,620.65,626.11,520336,24199,193092,37.11,-0.28
2025-02-10,CANFINHOME,669.3,665.1,671.95,645.25,649.3,652.6,319444,20307,128078,40.09,-0.51
2025-02-07,CANFINHOME,667.05,661.0,679.45,655.0,669.3,668.37,428131,22948,129566,30.26,-0.5
2025-02-06,CANFINHOME,673.45,673.45,677.2,662.0,667.05,669.55,218332,11132,69477,31.82,-0.72
2025-02-05,CANFINHOME,663.6,669.0,682.0,665.05,673.45,676.77,348081,19689,113069,32.48,-0.56
2025-02-04,CANFINHOME,648.3,650.0,665.0,649.3,663.6,659.64,769295,21330,499419,64.92,0.81
2025-02-03,CANFINHOME,660.7,655.0,657.45,638.05,648.3,644.73,715089,28091,360546,50.42,0.32
2025-02-01,CANFINHOME,667.7,675.0,695.0,658.45,660.7,677.4,709385,29440,139642,19.68,-0.47
2025-01-31,CANFINHOME,653.7,653.85,671.5,648.85,667.7,664.4,548361,20579,256220,46.72,-0.05
2025-01-30,CANFINHOME,667.45,674.8,674.8,651.3,653.7,658.66,701511,39732,320545,45.69,0.18
2025-01-29,CANFINHOME,662.95,665.0,678.0,658.8,667.45,666.99,868154,34626,515596,59.39,0.87
2025-01-28,CANFINHOME,674.05,679.9,684.0,658.55,662.95,667.75,1315871,66017,600151,45.61,1.17
2025-01-27,CANFINHOME,682.7,680.1,681.0,668.1,674.05,674.2,645450,19479,266414,41.28,-0.01
2025-01-24,CANFINHOME,690.95,689.9,693.75,680.0,682.7,686.44,254312,7673,74751,29.39,-0.7
2025-01-23,CANFINHOME,686.0,681.9,694.75,681.1,690.95,689.4,367970,9138,123257,33.5,-0.52
2025-01-22,CANFINHOME,691.8,690.5,692.0,676.35,686.0,681.49,572090,22684,314317,54.94,0.16
2025-01-21,CANFINHOME,708.0,710.15,711.85,688.25,691.8,695.72,825903,15072,219243,26.55,-0.18
2025-01-20,CANFINHOME,691.5,700.0,722.0,697.0,708.0,711.64,1534764,35504,285291,18.59,0.05
2025-01-17,CANFINHOME,687.6,687.6,695.1,670.8,691.5,683.86,1041143,47497,371036,35.64,0.36
2025-01-16,CANFINHOME,673.15,676.0,693.45,676.0,687.6,689.36,738353,24655,378798,51.3,0.39
2025-01-15,CANFINHOME,670.8,676.0,679.65,666.6,673.15,672.5,599629,28738,307556,51.29,0.13
2025-01-14,CANFINHOME,651.75,655.0,689.1,654.45,670.8,663.67,1028887,53969,485962,47.23,0.77
2025-01-13,CANFINHOME,679.35,677.95,677.95,650.2,651.75,662.59,646336,32561,279440,43.23,0.03
2025-01-10,CANFINHOME,693.1,697.0,697.0,676.5,679.35,683.48,457544,22516,178723,39.06,-0.33
2025-01-09,CANFINHOME,705.4,705.4,708.35,692.05,693.1,696.98,243903,14283,114442,46.92,-0.56
2025-01-08,CANFINHOME,714.8,716.0,716.45,692.0,705.4,702.73,648590,33951,238067,36.71,-0.12
2025-01-07,CANFINHOME,697.75,698.25,721.6,698.25,714.8,711.42,550218,35219,272647,49.55,0.01
2025-01-06,CANFINHOME,721.15,726.0,728.65,695.25,697.75,708.16,776227,42138,328859,42.37,0.21
2025-01-03,CANFINHOME,729.45,731.0,733.9,718.0,721.15,723.22,1327182,47009,777997,58.62,1.81
2025-01-02,CANFINHOME,730.35,728.55,736.0,716.9,729.45,724.89,1595191,75269,848459,53.19,2.06
2025-01-01,CANFINHOME,759.3,752.05,758.0,727.1,730.35,738.9,1241318,55528,688104,55.43,1.49
2024-12-31,CANFINHOME,754.3,746.0,761.95,746.0,759.3,757.61,482066,34494,279050,57.89,0.03
2024-12-30,CANFINHOME,750.55,751.25,763.9,746.55,754.3,756.15,645351,39812,219818,34.06,-0.18
2024-12-27,CANFINHOME,723.95,730.0,754.25,725.95,750.55,747.7,1034470,43480,183715,17.76,-0.31
2024-12-26,CANFINHOME,726.2,726.2,729.7,716.7,723.95,721.61,523582,29954,258007,49.28,-0.04
2024-12-24,CANFINHOME,726.55,728.95,732.8,717.85,726.2,724.29,792904,37362,414772,52.31,0.51
2024-12-23,CANFINHOME,747.7,747.55,756.0,723.55,726.55,739.23,940565,39377,440905,46.88,0.61
2024-12-20,CANFINHOME,770.55,771.9,772.85,745.5,747.7,755.43,517033,28710,218602,42.28,-0.19
2024-12-19,CANFINHOME,772.95,760.0,772.55,758.1,770.55,765.31,435621,29013,170890,39.23,-0.36
2024-12-18,CANFINHOME,781.45,778.0,781.5,764.3,772.95,771.76,665418,33235,275398,41.39,0.02
2024-12-17,CANFINHOME,801.95,802.3,804.55,775.1,781.45,787.23,653676,23650,338536,51.79,0.24
2024-12-16,CANFINHOME,803.1,801.0,809.5,800.0,801.95,803.96,198073,14432,67947,34.3,-0.72
2024-12-13,CANFINHOME,810.85,811.0,811.75,789.1,803.1,798.12,451723,21947,149812,33.16,-0.43
2024-12-12,CANFINHOME,819.95,820.05,822.8,809.5,810.85,815.18,167677,10798,71032,42.36,-0.71
2024-12-11,CANFINHOME,818.85,824.0,827.7,818.0,819.95,823.7,366800,18536,154644,42.16,-0.41
2024-12-10,CANFINHOME,804.5,807.3,826.0,807.25,818.85,819.63,1076619,45021,418434,38.87,0.53
2024-12-09,CANFINHOME,802.95,803.0,807.65,795.0,804.5,802.49,849391,32297,462410,54.44,0.68
2024-12-06,CANFINHOME,835.55,836.0,836.0,801.0,802.95,811.07,1565730,51215,702737,44.88,1.54
2024-12-05,CANFINHOME,844.15,840.0,849.85,832.4,835.55,840.12,423591,27073,205599,48.54,-0.23
2024-12-04,CANFINHOME,834.6,834.0,847.7,828.3,844.15,839.9,1229540,50234,464302,37.76,0.69
2024-12-03,CANFINHOME,814.55,820.0,837.0,816.65,834.6,829.33,652530,27919,334736,51.3,0.23
2024-12-02,CANFINHOME,823.95,828.0,834.2,813.5,814.55,824.94,3653242,59374,1692956,46.34,5.06
2024-11-29,CANFINHOME,821.85,828.0,829.1,817.6,823.95,823.07,296879,12660,165881,55.87,-0.37
2024-11-28,CANFINHOME,826.25,829.9,835.0,818.05,821.85,825.61,529131,25763,202530,38.28,-0.24
2024-11-27,CANFINHOME,821.05,825.0,833.5,815.6,826.25,825.52,977644,29554,574125,58.73,1.08
2024-11-26,CANFINHOME,844.25,844.25,844.35,819.4,821.05,826.11,716832,34727,339796,47.4,0.25
2024-11-25,CANFINHOME,842.8,855.0,873.65,840.0,844.25,852.84,541970,23571,278781,51.44,0.03
