Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,CHOLAFIN,2024-12-26,1339.5,1357.0,1335.15,1346.0,1346.0,1370625,2193.0,13463750,-223750
2024-12-11,CHOLAFIN,2024-12-26,1347.0,1366.35,1334.55,1352.7,1352.7,3148125,5037.0,13687500,-328750
2024-12-10,CHOLAFIN,2024-12-26,1297.85,1341.45,1284.15,1338.15,1338.15,5951875,9523.0,14016250,-444375
2024-12-09,CHOLAFIN,2024-12-26,1277.6,1295.9,1277.55,1284.4,1284.4,1889375,3023.0,14460625,-421250
2024-12-06,CHOLAFIN,2024-12-26,1298.95,1298.95,1271.0,1278.85,1278.85,2703125,4325.0,14881875,28125
2024-12-05,CHOLAFIN,2024-12-26,1301.05,1304.95,1283.2,1294.25,1294.25,2179375,3487.0,14853750,-4375
2024-12-04,CHOLAFIN,2024-12-26,1263.95,1301.35,1262.2,1295.85,1295.85,3517500,5628.0,14858125,342500
2024-12-03,CHOLAFIN,2024-12-26,1270.55,1293.45,1255.1,1261.25,1261.25,5748125,9197.0,14515625,2022500
2024-12-02,CHOLAFIN,2024-12-26,1241.0,1268.9,1240.95,1258.1,1258.1,3091250,4946.0,12493125,344375
2024-11-29,CHOLAFIN,2024-12-26,1275.4,1275.4,1236.6,1242.6,1242.6,2687500,4300.0,12148750,845000
2024-11-28,CHOLAFIN,2024-11-28,1276.45,1285.0,1259.55,1270.35,1268.35,1445000,2312.0,326250,-596250
2024-11-27,CHOLAFIN,2024-11-28,1269.4,1290.0,1259.4,1277.5,1277.5,3424375,5479.0,922500,-2456875
2024-11-26,CHOLAFIN,2024-11-28,1238.25,1277.9,1234.8,1266.1,1266.1,4594375,7351.0,3379375,-2996875
2024-11-25,CHOLAFIN,2024-11-28,1239.2,1263.9,1230.6,1242.95,1242.95,5804375,9287.0,6376250,-3300000
2024-11-22,CHOLAFIN,2024-11-28,1207.85,1221.6,1188.55,1211.65,1211.65,2511250,4018.0,9676250,-622500
2024-11-21,CHOLAFIN,2024-11-28,1232.1,1232.1,1204.1,1206.95,1206.95,1356875,2171.0,10298750,-18125
2024-11-19,CHOLAFIN,2024-11-28,1233.05,1256.05,1223.45,1237.85,1237.85,2891875,4627.0,10316875,-122500
