Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,CHOLADBS,68.4,68.45,68.5,66.0,67.8,67.44,19103,,10840,0.5675,,,,,,,,,
2010-01-05,CHOLADBS,67.8,68.5,69.3,67.75,68.2,68.41,22478,,17114,0.7614000000000001,,,,,,,,,
2010-01-06,CHOLADBS,68.2,68.8,69.45,68.15,68.2,68.65,6274,,4586,0.731,,,,,,,,,
2010-01-07,CHOLADBS,68.2,68.25,68.4,67.65,68.05,68.01,10872,,8398,0.7724,,,,,,,,,
2010-01-08,CHOLADBS,68.05,68.0,73.8,67.85,72.45,72.37,86174,,40259,0.4672,,,,,,,,,
2010-01-11,CHOLADBS,72.45,71.9,79.7,71.6,76.1,78.17,151272,,75605,0.49979999999999997,,,,,,,,,
2010-01-12,CHOLADBS,76.1,76.95,77.8,70.0,70.65,73.32,62724,,31920,0.5089,,,,,,,,,
2010-01-13,CHOLADBS,70.65,71.0,73.0,70.6,72.4,71.88,33016,,24454,0.7406999999999999,,,,,,,,,
2010-01-14,CHOLADBS,72.4,73.0,78.8,72.9,75.8,76.06,90313,,52043,0.5763,,,,,,,,,
2010-01-15,CHOLADBS,75.8,76.9,78.45,72.05,73.25,75.44,39113,,23492,0.6006,,,,,,,,,
2010-01-18,CHOLADBS,73.25,74.0,75.0,72.2,74.6,73.97,20004,,14719,0.7358,,,,,,,,,
2010-01-19,CHOLADBS,74.6,73.55,74.9,71.0,71.5,73.13,27651,,20409,0.7381000000000001,,,,,,,,,
2010-01-20,CHOLADBS,71.5,72.15,73.85,71.2,71.55,71.85,17708,,12988,0.7334999999999999,,,,,,,,,
2010-01-21,CHOLADBS,71.55,70.55,71.95,67.2,68.1,69.0,23107,,16364,0.7081999999999999,,,,,,,,,
2010-01-22,CHOLADBS,68.1,68.0,70.45,64.85,69.05,68.1,22672,,11503,0.5074000000000001,,,,,,,,,
2010-01-25,CHOLADBS,69.05,68.0,68.4,66.55,66.95,67.34,7696,,5291,0.6875,,,,,,,,,
2010-01-27,CHOLADBS,66.95,66.0,67.9,60.95,61.35,63.13,24846,,16870,0.679,,,,,,,,,
2010-01-28,CHOLADBS,61.35,63.95,66.0,61.25,61.95,63.84,36586,,23460,0.6412000000000001,,,,,,,,,
2010-01-29,CHOLADBS,61.95,62.8,63.45,57.0,62.35,59.47,49042,,19043,0.3883,,,,,,,,,
2010-02-01,CHOLADBS,62.35,60.1,64.15,60.1,63.15,62.79,12672,,5965,0.4707,,,,,,,,,
2010-02-02,CHOLADBS,63.15,64.25,65.0,62.1,62.4,63.68,12651,,8213,0.6492,,,,,,,,,
2010-02-03,CHOLADBS,62.4,63.45,65.9,62.55,64.6,64.2,12622,,5235,0.4148,,,,,,,,,
2010-02-04,CHOLADBS,64.6,65.0,65.0,62.55,62.95,63.59,10559,,5086,0.4817,,,,,,,,,
