Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2011-11-15,CIPLA,306.85,162.07,4.83,254.31
2012-02-14,CIPLA,321.2,421.43,3.15,703.5699999999999
2012-02-15,CIPLA,318.4,728.57,2.07,2228.57
2012-05-04,CIPLA,326.0,172.55,2.8,376.47
2012-05-07,CIPLA,327.55,184.21,1.7,710.53
2012-09-10,CIPLA,387.15,357.14,1.41,1657.15
2013-02-28,CIPLA,359.85,1233.33,1.3,3100.0
2014-02-13,CIPLA,380.3,214.79,5.28,157.04
2014-09-23,CIPLA,584.3,145.68,3.34,266.67
2014-12-24,CIPLA,625.1,900.0,1.14,4800.0
2015-02-12,CIPLA,660.65,300.0,1.36,291.29999999999995
2015-08-17,CIPLA,703.15,116.29,3.96,106.18
2016-03-30,CIPLA,512.35,518.75,3.34,1568.75
2016-03-31,CIPLA,511.95,825.0,1.42,2725.0
2016-04-20,CIPLA,527.2,371.43,1.28,1457.14
2016-04-28,CIPLA,528.25,173.68,1.94,847.3699999999999
2017-05-25,CIPLA,504.0,218.42,1.42,155.26000000000002
2019-02-05,CIPLA,508.0,512.5,2.16,837.5
2019-08-09,CIPLA,484.5,253.33,1.67,117.78
2019-08-27,CIPLA,465.35,115.38,1.03,280.77
2019-11-07,CIPLA,471.85,243.1,1.87,79.31000000000003
2019-11-15,CIPLA,463.25,164.32,3.82,27.64000000000001
2020-03-04,CIPLA,447.65,168.52,2.28,-27.78
2020-03-05,CIPLA,440.6,210.29,3.08,16.180000000000007
2020-03-12,CIPLA,394.75,132.0,2.46,114.0
2020-03-24,CIPLA,377.45,65.77,2.31,23.08
2020-03-27,CIPLA,407.65,87.7,1.29,-18.72
2020-04-09,CIPLA,579.6,129.09,6.24,-45.44
2020-05-22,CIPLA,639.35,154.63,1.59,-81.02
2020-05-26,CIPLA,627.7,159.01,1.51,-65.21999999999998
2020-07-29,CIPLA,681.25,278.57,1.41,-77.13999999999999
2020-09-15,CIPLA,742.45,164.36,1.34,-117.99
2020-11-27,CIPLA,745.6,246.67,9.43,324.85
2021-03-05,CIPLA,805.15,131.91,1.48,182.98
2021-04-26,CIPLA,905.4,126.02,3.43,13.41000000000001
2021-05-20,CIPLA,924.2,126.86,3.81,-3.5600000000000023
2021-05-27,CIPLA,942.35,178.16,4.34,320.69000000000005
2021-06-10,CIPLA,974.2,112.64,1.14,18.39
2021-07-29,CIPLA,883.1,78.2,2.31,95.48
2022-03-08,CIPLA,969.55,101.46,2.89,109.49
2022-05-31,CIPLA,992.95,132.47,3.47,318.17999999999995
2023-03-06,CIPLA,880.9,20.81,2.25,44.22
2023-03-08,CIPLA,877.25,22.69,1.47,100.84
2023-03-09,CIPLA,881.75,83.98,4.61,170.71999999999997
2023-04-21,CIPLA,915.05,800.0,2.22,2900.0
2023-08-31,CIPLA,1257.6,50.75,1.18,125.37
2024-04-24,CIPLA,1398.2,39.07,2.29,67.44
2024-05-13,CIPLA,1414.65,77.66,3.37,41.84
2024-05-31,CIPLA,1447.2,32.0,1.9,120.0
2024-07-24,CIPLA,1503.5,8.0,1.11,436.0
2024-08-08,CIPLA,1569.95,19.25,1.38,32.83
2024-08-30,CIPLA,1654.9,29.71,1.44,74.63999999999999
2024-09-27,CIPLA,1672.5,23.6,1.74,41.57
2024-10-30,CIPLA,1418.25,44.9,2.45,55.1
2024-11-12,CIPLA,1525.15,16.54,1.43,90.98
2024-12-06,CIPLA,1477.4,51.28,2.47,159.83
2024-12-11,CIPLA,1454.1,81.82,1.28,1081.8200000000002
