DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,19.399999999999977,Bullish,1,1
High,High,Low,7.821428571428574,Bearish,28,28
High,High,Medium,6.528571428571423,Bullish,7,7
High,High,Very Low,9.070779220779217,Bearish,154,154
High,Low,Low,7.600000000000004,Bearish,6,6
High,Low,Medium,7.002173913043474,Bearish,23,23
High,Medium,Low,6.571698113207548,Bearish,53,53
High,Medium,Medium,6.9999999999999885,Bearish,5,5
High,Medium,Very Low,6.998148148148148,Bullish,27,27
High,Very High,High,9.084883720930234,Bearish,43,43
High,Very High,Low,7.135714285714288,Bearish,7,7
High,Very High,Medium,7.2250000000000085,Bearish,18,18
High,Very High,Very High,7.057142857142856,Bearish,28,28
High,Very High,Very Low,9.292857142857128,Bullish,7,7
High,Very Low,Medium,6.83048780487805,Bullish,41,41
High,Very Low,Very Low,4.708333333333333,Bearish,6,6
Low,High,High,8.4375,Bearish,12,12
Low,High,Very High,6.0833333333333375,Bearish,15,15
Low,Low,Low,6.862500000000001,Bearish,32,32
Low,Low,Medium,3.2899999999999863,Bullish,5,5
Low,Low,Very Low,7.571202531645568,Bearish,158,158
Low,Medium,High,4.750000000000004,Bearish,3,3
Low,Medium,Low,7.067567567567565,Bearish,37,37
Low,Medium,Medium,7.144827586206898,Bullish,29,29
Low,Medium,Very Low,7.126666666666668,Bullish,30,30
Low,Very High,Very High,5.256521739130426,Bearish,23,23
Low,Very Low,Low,7.120833333333331,Bullish,48,48
Low,Very Low,Medium,7.079761904761902,Bearish,42,42
Low,Very Low,Very Low,9.038235294117646,Bearish,17,17
Medium,High,High,5.51923076923078,Bullish,13,13
Medium,High,Low,7.092857142857135,Bearish,7,7
Medium,High,Medium,7.48260869565217,Bearish,23,23
Medium,High,Very Low,6.810000000000002,Bullish,10,10
Medium,Low,Low,7.039795918367345,Bearish,49,49
Medium,Low,Medium,4.199999999999989,Bullish,1,1
Medium,Low,Very Low,7.210975609756094,Bullish,41,41
Medium,Medium,Low,7.492307692307686,Bullish,13,13
Medium,Medium,Medium,6.399999999999984,Bearish,2,2
Medium,Medium,Very Low,6.363013698630133,Bearish,219,219
Medium,Very High,High,16.891666666666655,Bullish,6,6
Medium,Very High,Very High,7.849999999999998,Bearish,27,27
Medium,Very Low,Low,7.456249999999997,Bearish,8,8
Medium,Very Low,Medium,6.048484848484853,Bearish,33,33
Medium,Very Low,Very Low,4.349999999999994,Bearish,2,2
Very High,High,Low,9.299038461538458,Bearish,52,52
Very High,High,Medium,6.422222222222221,Bearish,45,45
Very High,High,Very Low,8.212500000000006,Bearish,8,8
Very High,Low,Medium,6.575,Bearish,32,32
Very High,Medium,Low,14.950000000000017,Bearish,3,3
Very High,Medium,Medium,5.6585714285714275,Bearish,35,35
Very High,Very High,High,9.512499999999992,Bullish,28,28
Very High,Very High,Low,10.238805970149247,Bearish,67,67
Very High,Very High,Medium,8.675490196078435,Bullish,51,51
Very High,Very High,Very High,9.931999999999999,Bullish,25,25
Very High,Very High,Very Low,10.506944444444441,Bearish,72,72
Very High,Very Low,Medium,7.394827586206894,Bearish,29,29
Very High,Very Low,Very Low,11.318750000000005,Bullish,8,8
Very Low,High,Very High,6.424999999999998,Bearish,30,30
Very Low,Low,High,5.963888888888888,Bullish,18,18
Very Low,Low,Low,6.440740740740738,Bearish,27,27
Very Low,Low,Medium,6.863414634146341,Bearish,41,41
Very Low,Low,Very High,5.036111111111105,Bullish,18,18
Very Low,Low,Very Low,6.863333333333327,Bearish,15,15
Very Low,Medium,High,5.875,Bearish,10,10
Very Low,Medium,Medium,6.4750000000000085,Bearish,2,2
Very Low,Medium,Very High,8.36153846153846,Bullish,13,13
Very Low,Very High,Very High,6.094000000000001,Bullish,25,25
Very Low,Very Low,High,9.431999999999999,Bearish,25,25
Very Low,Very Low,Low,6.925396825396821,Bearish,63,63
Very Low,Very Low,Medium,7.854615384615384,Bullish,65,65
Very Low,Very Low,Very High,6.567499999999997,Bearish,20,20
Very Low,Very Low,Very Low,7.939534883720924,Bearish,86,86
