Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,COLPAL,659.0,668.0,692.5,662.0,686.55,677.3,113252,,68434,0.6043000000000001,,,689.75,,256300.0,2010-01-28,-17600.0,,Undecisive
2010-01-05,COLPAL,686.55,692.0,698.0,680.0,685.45,684.55,137293,,109754,0.7994,,,688.35,,257400.0,2010-01-28,1100.0,-1.3999999999999773,ShortBuildUp
2010-01-06,COLPAL,685.45,672.35,697.0,672.35,687.3,683.51,98476,,84114,0.8542000000000001,,,692.3,,266750.0,2010-01-28,9350.0,3.949999999999932,LongBuildUp
2010-01-07,COLPAL,687.3,690.0,698.2,683.0,693.55,692.35,83590,,55797,0.6675,,,694.45,,258500.0,2010-01-28,-8250.0,2.150000000000091,ShortCovering
2010-01-08,COLPAL,693.55,695.0,706.5,680.3,682.95,695.54,76584,,39456,0.5152,,,687.15,,260150.0,2010-01-28,1650.0,-7.300000000000068,ShortBuildUp
2010-01-11,COLPAL,682.95,685.05,694.0,684.05,690.0,688.37,103349,,89208,0.8632,,,692.7,,257950.0,2010-01-28,-2200.0,5.550000000000068,ShortCovering
2010-01-12,COLPAL,690.0,675.0,693.7,671.1,682.75,685.76,58726,,43565,0.7418000000000001,,,682.85,,246950.0,2010-01-28,-11000.0,-9.850000000000023,LongUnwinding
2010-01-13,COLPAL,682.75,682.0,699.7,676.0,695.8,692.61,87010,,38104,0.4379,,,697.2,,259050.0,2010-01-28,12100.0,14.350000000000023,LongBuildUp
2010-01-14,COLPAL,695.8,690.0,702.8,680.5,682.45,687.94,109702,,85820,0.7823000000000001,,,686.55,,269500.0,2010-01-28,10450.0,-10.650000000000091,ShortBuildUp
2010-01-15,COLPAL,682.45,690.0,690.0,679.05,682.5,681.16,83132,,68282,0.8214,,,688.0,,277200.0,2010-01-28,7700.0,1.4500000000000455,LongBuildUp
2010-01-18,COLPAL,682.5,689.7,709.95,685.0,706.55,700.72,166742,,98779,0.5924,,,710.5,,345950.0,2010-01-28,68750.0,22.5,LongBuildUp
2010-01-19,COLPAL,706.55,708.0,720.65,702.0,705.45,713.76,154367,,65718,0.4257,,,708.0,,342100.0,2010-01-28,-3850.0,-2.5,LongUnwinding
2010-01-20,COLPAL,705.45,686.1,710.0,632.7,705.3,704.74,45491,,26854,0.5903,,,707.3,,341550.0,2010-01-28,-550.0,-0.7000000000000455,LongUnwinding
2010-01-21,COLPAL,705.3,703.0,713.0,690.0,692.4,701.96,43451,,19627,0.45170000000000005,,,693.4,,347600.0,2010-01-28,6050.0,-13.899999999999977,ShortBuildUp
2010-01-22,COLPAL,692.4,690.5,693.0,676.1,688.3,686.46,40659,,26133,0.6426999999999999,,,690.45,,302500.0,2010-01-28,-45100.0,-2.949999999999932,LongUnwinding
2010-01-25,COLPAL,688.3,681.0,689.9,679.0,682.6,684.22,17772,,9564,0.5381,,,683.85,,282150.0,2010-01-28,-20350.0,-6.600000000000023,LongUnwinding
2010-01-27,COLPAL,682.6,677.1,682.0,665.2,670.1,671.29,73142,,50074,0.6846,,,670.15,,221650.0,2010-01-28,-60500.0,-13.700000000000045,LongUnwinding
2010-01-28,COLPAL,670.1,673.0,675.0,650.0,656.8,661.24,128525,,89904,0.6995,,,656.2,,111650.0,2010-01-28,-110000.0,-13.949999999999932,LongUnwinding
2010-01-29,COLPAL,656.8,651.0,689.25,651.0,679.05,674.07,150070,,93882,0.6256,,,,,,,,,
2010-02-01,COLPAL,679.05,688.9,727.8,678.1,723.45,710.92,192783,,120994,0.6276,93.22544498,,722.35,,236500.0,2010-02-25,-39050.0,66.14999999999998,ShortCovering
2010-02-02,COLPAL,723.45,725.0,743.9,708.1,711.8,731.59,118437,,46446,0.3922,93.39877346,0.17,714.1,,213400.0,2010-02-25,-23100.0,-8.25,LongUnwinding
2010-02-03,COLPAL,711.8,713.25,722.0,708.5,709.95,714.5,28017,,13136,0.46890000000000004,93.35337791,-0.05,712.6,,219450.0,2010-02-25,6050.0,-1.5,ShortBuildUp
2010-02-04,COLPAL,709.95,719.0,719.0,697.9,702.35,706.51,28272,,14798,0.5234000000000001,93.29972862,-0.05,707.05,,225500.0,2010-02-25,6050.0,-5.550000000000068,ShortBuildUp
2010-02-05,COLPAL,702.35,690.0,708.0,685.0,693.45,697.39,48863,,26698,0.5464,93.35337791,0.05,694.95,,218350.0,2010-02-25,-7150.0,-12.099999999999909,LongUnwinding
2010-02-06,COLPAL,693.45,710.0,714.0,692.0,703.2,704.96,14702,,3943,0.2682,,,701.4,,216700.0,2010-02-25,-1650.0,6.449999999999932,ShortCovering
2010-02-08,COLPAL,703.2,710.0,714.9,691.0,694.8,699.9,45562,,30743,0.6748000000000001,93.36575852,0.01,697.7,,216700.0,2010-02-25,0.0,-3.699999999999932,Undecisive
2010-02-09,COLPAL,694.8,696.0,698.9,690.2,694.9,694.94,14490,,8721,0.6019,93.41115407,0.05,696.0,,210650.0,2010-02-25,-6050.0,-1.7000000000000455,LongUnwinding
