Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2015-05-29,CONCOR,1826.0,104.84,9.49,150.27
2018-10-25,CONCOR,550.15,154.17,5.29,213.19000000000003
2019-01-31,CONCOR,655.5,131.82,1.67,247.73
2019-03-11,CONCOR,493.5,785.71,2.6,1071.43
2019-05-23,CONCOR,492.1,880.0,2.44,1560.0
2019-07-25,CONCOR,528.0,115.09,1.46,160.38000000000002
2019-09-26,CONCOR,618.55,81.65,3.53,12.22999999999999
2019-10-15,CONCOR,595.0,92.18,2.13,26.809999999999988
2019-10-17,CONCOR,599.4,288.89,2.41,246.67
2019-10-24,CONCOR,586.95,238.89,1.71,77.78000000000003
2020-02-05,CONCOR,594.5,196.05,1.5,1.3199999999999932
2020-03-16,CONCOR,354.85,104.23,1.2,64.77999999999999
2020-04-17,CONCOR,376.9,91.95,1.17,42.52999999999999
2020-06-04,CONCOR,390.4,212.77,1.6,127.66
2020-06-19,CONCOR,409.05,217.78,1.34,79.99999999999997
2020-07-10,CONCOR,430.15,400.0,1.57,472.22
2020-08-14,CONCOR,379.6,151.25,2.51,5.629999999999996
2020-08-18,CONCOR,392.6,230.67,1.43,-40.0
2020-08-19,CONCOR,393.3,295.12,1.21,0.0
2020-08-25,CONCOR,393.3,2366.67,1.15,1466.66
2020-09-14,CONCOR,384.2,192.45,1.04,3.780000000000001
2020-09-17,CONCOR,388.85,878.57,2.31,771.43
2020-09-30,CONCOR,364.95,213.95,1.37,104.65000000000003
2020-10-05,CONCOR,352.55,440.62,1.56,46.88
2020-11-19,CONCOR,408.25,657.14,1.29,264.29
2020-11-27,CONCOR,406.05,209.32,7.88,280.12
2020-12-07,CONCOR,410.35,666.67,2.11,505.55000000000007
2021-01-27,CONCOR,432.95,163.4,3.05,-6.180000000000007
2021-02-04,CONCOR,479.0,183.64,2.17,13.630000000000024
2021-02-25,CONCOR,575.2,155.33,1.57,-50.66000000000001
2021-03-09,CONCOR,583.85,127.54,2.15,28.260000000000005
2021-03-17,CONCOR,539.1,166.67,1.0,-7.939999999999998
2021-06-02,CONCOR,691.5,210.08,2.3,-16.80000000000001
2021-07-14,CONCOR,676.3,324.39,1.78,109.76
2021-08-02,CONCOR,691.3,130.98,1.79,-60.77999999999999
2021-11-10,CONCOR,704.5,147.17,1.51,137.74000000000004
2021-11-23,CONCOR,637.7,182.93,1.8,256.09
2021-12-08,CONCOR,629.25,400.0,1.61,447.37
2022-02-22,CONCOR,574.65,78.81,1.82,75.43
2022-07-06,CONCOR,650.45,128.3,1.41,-94.49
2022-07-13,CONCOR,673.35,200.0,1.33,50.94
2022-07-18,CONCOR,671.0,94.44,2.17,77.78
2022-08-17,CONCOR,705.9,200.0,1.09,189.29
2022-09-05,CONCOR,669.15,328.57,2.24,471.43
2022-09-14,CONCOR,768.25,465.79,2.77,263.16
2022-10-25,CONCOR,759.35,86.23,1.5,22.47
2022-11-11,CONCOR,767.8,143.75,1.4,-18.75
2023-01-24,CONCOR,680.35,75.98,2.58,36.67999999999999
2023-02-22,CONCOR,586.9,310.98,5.72,386.5799999999999
2023-03-08,CONCOR,606.25,933.33,1.44,1466.67
2023-05-03,CONCOR,623.6,2250.0,1.18,3650.0
2023-07-17,CONCOR,684.7,317.65,1.4,505.88
2023-08-14,CONCOR,665.05,259.38,1.63,250.0
2023-12-05,CONCOR,798.1,65.0,1.57,92.0
2023-12-13,CONCOR,862.75,155.56,3.09,130.55
2024-01-03,CONCOR,882.15,91.67,1.12,41.66000000000001
2024-01-29,CONCOR,860.35,62.2,5.05,24.569999999999997
2024-01-30,CONCOR,865.45,93.98,6.45,67.67
2024-02-02,CONCOR,920.05,92.71,2.03,13.02000000000001
2024-02-22,CONCOR,1013.7,110.16,1.84,33.59
2024-03-04,CONCOR,986.15,93.75,1.28,66.25
2024-03-14,CONCOR,867.95,65.04,1.46,53.66
2024-03-27,CONCOR,866.2,37.16,1.17,41.89
2024-03-28,CONCOR,882.1,57.14,1.04,48.98
2024-05-13,CONCOR,1013.2,61.54,1.1,3.5500000000000043
2024-05-28,CONCOR,1080.7,102.15,1.46,54.84
2024-05-29,CONCOR,1084.8,120.0,1.3,96.67
2024-06-20,CONCOR,1095.95,91.43,1.08,62.85999999999999
2024-07-23,CONCOR,1030.25,106.83,2.63,21.459999999999997
2024-08-30,CONCOR,965.1,70.79,1.65,114.59999999999998
2024-09-05,CONCOR,960.3,109.38,2.46,146.87
2024-09-19,CONCOR,913.1,69.78,2.02,41.21
2024-10-28,CONCOR,780.75,40.13,1.22,37.57999999999999
2024-11-19,CONCOR,785.75,72.57,1.04,19.470000000000013
2025-01-17,CONCOR,772.45,113.95,2.06,125.58
