Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,CONCOR,2024-12-26,847.35,848.55,819.5,827.15,827.15,5478000.0,5478.0,17612000,259000
2024-12-11,CONCOR,2024-12-26,852.5,861.3,852.5,857.7,857.7,1451000.0,1451.0,17353000,91000
2024-12-10,CONCOR,2024-12-26,865.0,865.0,850.75,853.9,853.9,2551000.0,2551.0,17262000,-61000
2024-12-09,CONCOR,2024-12-26,845.4,867.5,843.2,861.8,861.8,3558000.0,3558.0,17323000,-55000
2024-12-06,CONCOR,2024-12-26,852.75,853.1,844.35,847.5,847.5,1744000.0,1744.0,17378000,100000
2024-12-05,CONCOR,2024-12-26,848.5,853.45,841.1,848.85,848.85,2278000.0,2278.0,17278000,-188000
2024-12-04,CONCOR,2024-12-26,841.15,852.9,838.15,847.4,847.4,2796000.0,2796.0,17466000,-359000
2024-12-03,CONCOR,2024-12-26,843.95,848.0,839.4,842.45,842.45,2344000.0,2344.0,17825000,-333000
2024-12-02,CONCOR,2024-12-26,834.0,839.8,825.3,839.15,839.15,3096000.0,3096.0,18158000,24000
2024-11-29,CONCOR,2024-12-26,829.1,834.3,824.25,831.75,831.75,3257000.0,3257.0,18134000,-27000
2024-11-28,CONCOR,2024-11-28,811.95,824.35,808.5,818.85,821.2,8991000.0,8991.0,1268000,-5377000
2024-11-27,CONCOR,2024-11-28,802.1,814.75,798.0,809.6,809.6,6993000.0,6993.0,6645000,-4834000
2024-11-26,CONCOR,2024-11-28,806.3,811.7,798.5,800.0,800.0,4002000.0,4002.0,11479000,-2307000
2024-11-25,CONCOR,2024-11-28,800.05,816.95,798.3,806.25,806.25,6137000.0,6137.0,13786000,-2943000
2024-11-22,CONCOR,2024-11-28,767.15,793.15,767.15,788.8,788.8,3404000.0,3404.0,16729000,-802000
2024-11-21,CONCOR,2024-11-28,780.05,780.05,757.05,769.65,769.65,4283000.0,4283.0,17531000,-337000
2024-11-19,CONCOR,2024-11-28,794.95,810.7,780.15,786.75,786.75,5695000.0,5695.0,17868000,-227000
2024-11-18,CONCOR,2024-11-28,790.0,794.5,783.0,787.25,787.25,2519000.0,2519.0,18095000,-80000
2024-11-14,CONCOR,2024-11-28,787.2,797.2,777.7,788.05,788.05,2966000.0,2966.0,18175000,-218000
2024-11-13,CONCOR,2024-11-28,806.5,812.5,785.45,790.6,790.6,3678000.0,3678.0,18393000,-434000
2024-11-12,CONCOR,2024-11-28,834.25,834.7,805.9,809.35,809.35,2994000.0,2994.0,18827000,17000
2024-11-11,CONCOR,2024-11-28,828.95,829.75,813.0,828.25,828.25,2906000.0,2906.0,18829000,-138000
2024-11-08,CONCOR,2024-11-28,851.05,851.3,820.65,826.6,826.6,3972000.0,3972.0,18967000,247000
2024-11-07,CONCOR,2024-11-28,861.4,868.0,846.5,849.1,849.1,3468000.0,3468.0,18720000,314000
2024-11-06,CONCOR,2024-11-28,837.4,861.9,833.65,860.3,860.3,3752000.0,3752.0,18406000,-52000
2024-11-05,CONCOR,2024-11-28,834.35,839.7,811.35,837.45,837.45,4635000.0,4635.0,18458000,92000
2024-11-04,CONCOR,2024-11-28,844.85,845.95,830.0,841.05,841.05,4876000.0,4876.0,18366000,-449000
2024-11-01,CONCOR,2024-11-28,839.15,850.0,838.0,845.4,845.4,541000.0,541.0,18815000,-12000
2024-10-31,CONCOR,2024-10-31,840.0,853.5,837.25,847.15,847.1,7085000.0,7085.0,1655000,-2929000
2024-10-30,CONCOR,2024-10-31,803.05,845.0,803.05,837.1,837.1,8727000.0,8727.0,4584000,-4024000
2024-10-29,CONCOR,2024-10-31,790.0,811.15,781.7,808.45,808.45,6865000.0,6865.0,8608000,-3414000
2024-10-28,CONCOR,2024-10-31,800.0,800.25,780.7,782.8,782.8,6456000.0,6456.0,12022000,-3058000
2024-10-25,CONCOR,2024-10-31,817.35,819.1,780.6,795.15,795.15,5739000.0,5739.0,15080000,-1378000
2024-10-24,CONCOR,2024-10-31,810.3,833.85,810.3,816.45,816.45,4057000.0,4057.0,16458000,-1508000
2024-10-23,CONCOR,2024-10-31,844.15,852.0,818.3,821.25,821.25,5862000.0,5862.0,17966000,-722000
2024-10-22,CONCOR,2024-10-31,855.0,855.0,838.4,844.45,844.45,4170000.0,4170.0,18688000,-1174000
2024-10-21,CONCOR,2024-10-31,876.75,879.0,846.8,850.95,850.95,5217000.0,5217.0,19862000,-155000
2024-10-18,CONCOR,2024-10-31,869.7,880.6,856.9,876.1,876.1,3318000.0,3318.0,20017000,-491000
2024-10-17,CONCOR,2024-10-31,891.4,891.4,869.8,871.5,871.5,2591000.0,2591.0,20508000,-65000
2024-10-16,CONCOR,2024-10-31,885.65,892.9,883.0,888.45,888.45,1501000.0,1501.0,20573000,-157000
2024-10-15,CONCOR,2024-10-31,885.55,893.5,879.2,892.05,892.05,1949000.0,1949.0,20730000,-238000
2024-10-14,CONCOR,2024-10-31,888.45,893.5,873.0,882.7,882.7,4963000.0,4963.0,20968000,215000
2024-10-11,CONCOR,2024-10-31,887.15,903.0,885.95,896.8,896.8,3374000.0,3374.0,20753000,-16000
2024-10-10,CONCOR,2024-10-31,903.6,913.15,891.1,893.5,893.5,2716000.0,2716.0,20769000,346000
2024-10-09,CONCOR,2024-10-31,899.05,910.0,892.0,899.45,899.45,3304000.0,3304.0,20423000,-446000
2024-10-08,CONCOR,2024-10-31,875.0,898.45,872.0,896.05,896.05,3844000.0,3844.0,20869000,-602000
2024-10-07,CONCOR,2024-10-31,889.95,893.05,861.9,872.5,872.5,6843000.0,6843.0,21471000,-637000
2024-10-04,CONCOR,2024-10-31,894.55,899.45,877.6,884.8,884.8,6851000.0,6851.0,22108000,-872000
2024-10-03,CONCOR,2024-10-31,913.25,922.6,890.4,896.25,896.25,5372000.0,5372.0,22980000,-331000
2024-10-01,CONCOR,2024-10-31,927.9,931.85,921.3,926.85,926.85,2714000.0,2714.0,23311000,-589000
2024-09-30,CONCOR,2024-10-31,915.35,929.0,911.0,923.6,923.6,6255000.0,6255.0,23900000,-645000
2024-09-27,CONCOR,2024-10-31,900.0,922.0,900.0,917.3,917.3,8081000.0,8081.0,24545000,-545000
2024-09-26,CONCOR,2024-09-26,889.95,896.65,884.0,891.0,891.95,10790000.0,10790.0,922000,-7598000
2024-09-25,CONCOR,2024-09-26,889.5,893.3,885.35,889.7,889.7,5900000.0,5900.0,8520000,-4087000
2024-09-24,CONCOR,2024-09-26,888.5,900.4,884.0,894.4,894.4,6041000.0,6041.0,12607000,-3209000
2024-09-23,CONCOR,2024-09-26,897.8,899.0,876.15,887.05,887.05,13077000.0,13077.0,15816000,-5655000
2024-09-20,CONCOR,2024-09-26,905.0,907.0,881.1,894.65,894.65,11701000.0,11701.0,21471000,-1354000
2024-09-19,CONCOR,2024-09-26,928.6,936.9,900.85,916.2,916.2,8452000.0,8452.0,22825000,-978000
2024-09-18,CONCOR,2024-09-26,946.85,948.0,923.6,929.15,929.15,3993000.0,3993.0,23803000,308000
2024-09-17,CONCOR,2024-09-26,954.3,954.55,940.25,945.05,945.05,1912000.0,1912.0,23495000,-233000
2024-09-16,CONCOR,2024-09-26,961.35,962.35,951.3,952.2,952.2,3347000.0,3347.0,23728000,-178000
2024-09-13,CONCOR,2024-09-26,951.25,964.2,951.25,959.55,959.55,4197000.0,4197.0,23906000,384000
2024-09-12,CONCOR,2024-09-26,941.1,952.8,937.9,949.7,949.7,2744000.0,2744.0,23522000,-553000
2024-09-11,CONCOR,2024-09-26,942.4,948.0,929.0,934.9,934.9,2988000.0,2988.0,24075000,-73000
2024-09-10,CONCOR,2024-09-26,951.15,952.4,937.4,940.55,940.55,2495000.0,2495.0,24148000,601000
2024-09-09,CONCOR,2024-09-26,947.55,951.7,932.65,948.3,948.3,4554000.0,4554.0,23547000,-363000
2024-09-06,CONCOR,2024-09-26,960.7,962.85,938.5,941.6,941.6,4445000.0,4445.0,23910000,-64000
2024-09-05,CONCOR,2024-09-26,969.05,971.85,960.1,962.8,962.8,2305000.0,2305.0,23974000,354000
2024-09-04,CONCOR,2024-09-26,969.5,976.25,958.2,966.4,966.4,3534000.0,3534.0,23620000,44000
2024-09-03,CONCOR,2024-09-26,962.5,982.8,962.5,978.1,978.1,3233000.0,3233.0,23576000,-333000
2024-09-02,CONCOR,2024-09-26,971.1,975.6,961.55,965.05,965.05,3384000.0,3384.0,23909000,565000
2024-08-30,CONCOR,2024-09-26,970.2,978.8,967.85,969.8,969.8,3637000.0,3637.0,23344000,50000
2024-08-29,CONCOR,2024-09-26,975.8,975.8,955.25,967.55,967.55,13211000.0,13211.0,23294000,7016000
2024-08-28,CONCOR,2024-08-29,985.6,986.9,966.25,973.0,973.0,6010000.0,6010.0,7044000,-3735000
2024-08-27,CONCOR,2024-08-29,994.15,995.6,984.35,986.25,986.25,5317000.0,5317.0,10779000,-3434000
2024-08-26,CONCOR,2024-08-29,994.6,1000.4,989.4,994.25,994.25,7365000.0,7365.0,14213000,-4125000
2024-08-23,CONCOR,2024-08-29,990.5,998.4,985.0,990.15,990.15,4522000.0,4522.0,18338000,-1268000
2024-08-22,CONCOR,2024-08-29,991.0,996.6,984.5,989.05,989.05,3842000.0,3842.0,19606000,-715000
2024-08-21,CONCOR,2024-08-29,977.8,992.0,976.0,989.2,989.2,4244000.0,4244.0,20321000,-801000
2024-08-20,CONCOR,2024-08-29,975.15,985.55,965.8,981.7,981.7,3319000.0,3319.0,21122000,-155000
2024-08-19,CONCOR,2024-08-29,984.95,987.65,962.25,971.5,971.5,5686000.0,5686.0,21277000,-404000
2024-08-16,CONCOR,2024-08-29,955.05,983.8,955.05,982.3,982.3,4624000.0,4624.0,21681000,-630000
2024-08-14,CONCOR,2024-08-29,959.35,961.9,942.45,952.2,952.2,3232000.0,3232.0,22311000,78000
2024-08-13,CONCOR,2024-08-29,983.45,987.3,954.7,956.95,956.95,3672000.0,3672.0,22233000,15000
2024-08-12,CONCOR,2024-08-29,978.0,986.5,957.6,981.65,981.65,7827000.0,7827.0,22218000,-253000
2024-08-09,CONCOR,2024-08-29,1003.8,1006.35,971.0,982.8,982.8,10135000.0,10135.0,22471000,1404000
2024-08-08,CONCOR,2024-08-29,1008.95,1015.85,995.0,999.8,999.8,5420000.0,5420.0,21067000,464000
2024-08-07,CONCOR,2024-08-29,995.85,1011.0,993.45,1007.85,1007.85,4327000.0,4327.0,20603000,118000
2024-08-06,CONCOR,2024-08-29,990.05,1009.8,977.0,981.85,981.85,5711000.0,5711.0,20485000,-185000
2024-08-05,CONCOR,2024-08-29,1013.85,1014.35,974.0,980.4,980.4,8670000.0,8670.0,20670000,267000
2024-08-02,CONCOR,2024-08-29,1027.4,1042.55,1020.0,1029.55,1029.55,4202000.0,4202.0,20403000,-54000
2024-08-01,CONCOR,2024-08-29,1044.0,1047.45,1032.0,1039.45,1039.45,3227000.0,3227.0,20457000,-182000
2024-07-31,CONCOR,2024-08-29,1057.9,1059.0,1040.55,1042.3,1042.3,3385000.0,3385.0,20639000,265000
2024-07-30,CONCOR,2024-08-29,1047.7,1059.0,1041.7,1050.3,1050.3,4764000.0,4764.0,20374000,309000
2024-07-29,CONCOR,2024-08-29,1051.95,1060.6,1041.6,1045.25,1045.25,7818000.0,7818.0,20065000,213000
2024-07-26,CONCOR,2024-08-29,1021.75,1047.7,1020.25,1044.25,1044.25,7062000.0,7062.0,19852000,-49000
2024-07-25,CONCOR,2024-08-29,1019.0,1030.3,1012.05,1020.2,1020.2,13324000.0,13324.0,19901000,6535000
2024-07-24,CONCOR,2024-07-25,1025.0,1037.0,1018.7,1023.7,1023.7,5679000.0,5679.0,6326000,-3429000
2024-07-23,CONCOR,2024-07-25,1048.4,1053.4,985.45,1028.75,1028.75,11288000.0,11288.0,9755000,-3436000
2024-07-22,CONCOR,2024-07-25,1001.65,1045.2,992.0,1039.65,1039.65,11901000.0,11901.0,13191000,-3489000
2024-07-19,CONCOR,2024-07-25,1043.7,1043.7,1007.55,1011.35,1011.35,5932000.0,5932.0,16680000,-1146000
2024-07-18,CONCOR,2024-07-25,1062.5,1062.95,1034.45,1043.7,1043.7,6945000.0,6945.0,17826000,275000
2024-07-16,CONCOR,2024-07-25,1066.4,1074.0,1049.2,1051.7,1051.7,7814000.0,7814.0,17551000,1359000
2024-07-15,CONCOR,2024-07-25,1060.05,1064.1,1047.05,1059.55,1059.55,4744000.0,4744.0,16192000,-58000
2024-07-12,CONCOR,2024-07-25,1060.05,1069.0,1043.0,1057.8,1057.8,7452000.0,7452.0,16250000,444000
2024-07-11,CONCOR,2024-07-25,1046.0,1068.8,1042.9,1060.25,1060.25,7405000.0,7405.0,15806000,273000
2024-07-10,CONCOR,2024-07-25,1043.25,1050.0,1016.55,1045.55,1045.55,5774000.0,5774.0,15533000,-368000
2024-07-09,CONCOR,2024-07-25,1039.5,1058.0,1021.9,1044.1,1044.1,6724000.0,6724.0,15901000,465000
2024-07-08,CONCOR,2024-07-25,1065.45,1068.9,1039.3,1048.45,1048.45,7994000.0,7994.0,15436000,1263000
2024-07-05,CONCOR,2024-07-25,1039.45,1076.0,1034.2,1063.85,1063.85,8870000.0,8870.0,14173000,160000
2024-07-04,CONCOR,2024-07-25,1031.5,1049.95,1029.25,1038.3,1038.3,6497000.0,6497.0,14013000,537000
2024-07-03,CONCOR,2024-07-25,1041.9,1041.9,1021.5,1029.35,1029.35,3975000.0,3975.0,13476000,573000
2024-07-02,CONCOR,2024-07-25,1046.05,1047.5,1020.95,1030.95,1030.95,5628000.0,5628.0,12903000,452000
2024-07-01,CONCOR,2024-07-25,1048.05,1053.1,1037.7,1043.75,1043.75,2646000.0,2646.0,12451000,551000
2024-06-28,CONCOR,2024-07-25,1054.1,1062.3,1041.65,1047.95,1047.95,3472000.0,3472.0,11900000,107000
2024-06-27,CONCOR,2024-07-25,1051.3,1066.2,1036.25,1055.95,1055.95,7861000.0,7861.0,11793000,2245000
2024-06-26,CONCOR,2024-06-27,1048.3,1063.5,1044.35,1048.5,1048.5,3685000.0,3685.0,3062000,-1953000
2024-06-25,CONCOR,2024-06-27,1054.85,1058.7,1048.85,1053.55,1053.55,4204000.0,4204.0,5015000,-2238000
2024-06-24,CONCOR,2024-06-27,1080.15,1080.35,1038.8,1051.1,1051.1,9490000.0,9490.0,7253000,-1446000
2024-06-21,CONCOR,2024-06-27,1103.1,1116.5,1090.0,1092.65,1092.65,3709000.0,3709.0,8699000,-52000
2024-06-20,CONCOR,2024-06-27,1101.15,1116.4,1089.2,1099.15,1099.15,3701000.0,3701.0,8751000,172000
2024-06-19,CONCOR,2024-06-27,1145.5,1145.5,1103.3,1105.35,1105.35,5298000.0,5298.0,8579000,105000
2024-06-18,CONCOR,2024-06-27,1130.0,1146.95,1130.0,1143.5,1143.5,2264000.0,2264.0,8474000,103000
2024-06-14,CONCOR,2024-06-27,1144.5,1149.4,1128.2,1138.6,1138.6,4113000.0,4113.0,8371000,336000
2024-06-13,CONCOR,2024-06-27,1147.4,1150.0,1131.0,1144.45,1144.45,4590000.0,4590.0,8035000,-9000
2024-06-12,CONCOR,2024-06-27,1090.1,1152.9,1088.9,1139.8,1139.8,11823000.0,11823.0,8044000,-1515000
2024-06-11,CONCOR,2024-06-27,1062.65,1098.2,1058.65,1088.95,1088.95,9589000.0,9589.0,9559000,-390000
2024-06-10,CONCOR,2024-06-27,1060.85,1075.0,1046.15,1055.4,1055.4,6249000.0,6249.0,9949000,500000
2024-06-07,CONCOR,2024-06-27,1060.6,1065.0,1042.75,1056.85,1056.85,5075000.0,5075.0,9449000,523000
