Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,CONCOR,1308.35,1312.9,1339.0,1281.55,1284.25,1302.8,26853,,16786,0.6251,,,1291.4,,13500.0,2010-01-28,6500.0,,Undecisive
2010-01-05,CONCOR,1284.25,1300.0,1300.0,1263.0,1269.1,1281.61,10798,,6857,0.635,,,1275.6,,15500.0,2010-01-28,2000.0,-15.800000000000182,ShortBuildUp
2010-01-06,CONCOR,1269.1,1271.0,1319.0,1263.0,1313.2,1297.48,23392,,15083,0.6448,,,1315.7,,15000.0,2010-01-28,-500.0,40.100000000000136,ShortCovering
2010-01-07,CONCOR,1313.2,1316.1,1325.0,1271.35,1275.9,1303.24,30635,,25468,0.8312999999999999,,,1283.55,,16250.0,2010-01-28,1250.0,-32.15000000000009,ShortBuildUp
2010-01-08,CONCOR,1275.9,1280.5,1300.0,1280.0,1294.1,1294.84,344803,,341362,0.99,,,1297.0,,17250.0,2010-01-28,1000.0,13.450000000000045,LongBuildUp
2010-01-11,CONCOR,1294.1,1300.0,1310.0,1284.0,1295.55,1294.22,12602,,7676,0.6091,,,1298.6,,16500.0,2010-01-28,-750.0,1.599999999999909,ShortCovering
2010-01-12,CONCOR,1295.55,1295.0,1303.95,1275.0,1289.1,1287.34,9726,,5740,0.5902000000000001,,,1293.0,,15500.0,2010-01-28,-1000.0,-5.599999999999909,LongUnwinding
2010-01-13,CONCOR,1289.1,1288.0,1309.95,1280.0,1299.35,1294.54,7092,,4776,0.6734,,,1302.65,,14750.0,2010-01-28,-750.0,9.650000000000091,ShortCovering
2010-01-14,CONCOR,1299.35,1305.0,1314.0,1285.25,1298.75,1299.86,33341,,30516,0.9153,,,1303.3,,15750.0,2010-01-28,1000.0,0.6499999999998636,LongBuildUp
2010-01-15,CONCOR,1298.75,1300.0,1487.8,1291.0,1322.65,1368.79,530602,,203119,0.38280000000000003,,,1328.05,,87000.0,2010-01-28,71250.0,24.75,LongBuildUp
2010-01-18,CONCOR,1322.65,1321.0,1345.0,1301.1,1312.3,1328.6,188110,,137485,0.7309,,,1319.4,,93500.0,2010-01-28,6500.0,-8.649999999999864,ShortBuildUp
2010-01-19,CONCOR,1312.3,1312.2,1379.0,1300.2,1305.3,1338.57,134353,,47142,0.35090000000000005,,,1312.25,,106000.0,2010-01-28,12500.0,-7.150000000000091,ShortBuildUp
2010-01-20,CONCOR,1305.3,1329.0,1330.0,1285.0,1291.9,1309.25,33171,,10738,0.3237,,,1299.15,,105000.0,2010-01-28,-1000.0,-13.099999999999909,LongUnwinding
2010-01-21,CONCOR,1291.9,1291.25,1332.9,1265.0,1284.35,1298.47,66727,,29408,0.44070000000000004,,,1286.9,,91750.0,2010-01-28,-13250.0,-12.25,LongUnwinding
2010-01-22,CONCOR,1284.35,1261.0,1277.0,1245.0,1260.1,1260.25,29098,,11483,0.3946,,,1266.6,,87000.0,2010-01-28,-4750.0,-20.300000000000182,LongUnwinding
2010-01-25,CONCOR,1260.1,1255.0,1263.0,1227.0,1232.4,1235.66,132034,,122924,0.9309999999999999,,,1245.65,,74000.0,2010-01-28,-13000.0,-20.949999999999818,LongUnwinding
2010-01-27,CONCOR,1232.4,1227.0,1259.95,1175.0,1217.75,1224.39,101176,,88072,0.8704999999999999,,,1210.05,,44250.0,2010-01-28,-29750.0,-35.600000000000136,LongUnwinding
2010-01-28,CONCOR,1217.75,1209.65,1225.2,1191.2,1209.65,1210.17,47297,,30233,0.6392,,,1208.95,,18250.0,2010-01-28,-26000.0,-1.099999999999909,LongUnwinding
2010-01-29,CONCOR,1209.65,1205.0,1244.0,1171.0,1221.75,1214.51,44247,,29887,0.6755,,,,,,,,,
2010-02-01,CONCOR,1221.75,1215.0,1244.9,1203.05,1229.7,1227.83,9451,,4534,0.4797,94.39040793,,1228.4,,58250.0,2010-02-25,1000.0,19.450000000000045,LongBuildUp
2010-02-02,CONCOR,1229.7,1235.0,1246.85,1182.1,1188.5,1209.72,15196,,10344,0.6807,94.38519775,-0.01,1200.2,,58750.0,2010-02-25,500.0,-28.200000000000045,ShortBuildUp
2010-02-03,CONCOR,1188.5,1208.0,1221.0,1199.0,1213.0,1211.54,10681,,8673,0.812,94.39040793,0.01,1213.1,,58250.0,2010-02-25,-500.0,12.899999999999864,ShortCovering
2010-02-04,CONCOR,1213.0,1212.95,1221.85,1206.1,1210.85,1212.09,13917,,10098,0.7256,94.4242741,0.03,1215.15,,55000.0,2010-02-25,-3250.0,2.050000000000182,ShortCovering
2010-02-05,CONCOR,1210.85,1190.0,1234.9,1180.0,1219.8,1219.22,85775,,75135,0.876,94.47116572,0.05,1223.8,,50500.0,2010-02-25,-4500.0,8.649999999999864,ShortCovering
2010-02-06,CONCOR,1219.8,1212.15,1240.0,1212.15,1220.95,1222.02,647,,389,0.6012,,,1229.9,,50500.0,2010-02-25,0.0,6.100000000000136,Undecisive
2010-02-08,CONCOR,1220.95,1230.0,1263.0,1220.0,1246.45,1246.33,89909,,81285,0.9041,94.48419117,0.01,1251.25,,49250.0,2010-02-25,-1250.0,21.34999999999991,ShortCovering
2010-02-09,CONCOR,1246.45,1259.0,1259.0,1231.15,1241.45,1246.48,12016,,7025,0.5846,94.48158608,-0.0,1245.1,,49500.0,2010-02-25,250.0,-6.150000000000091,ShortBuildUp
2010-02-10,CONCOR,1241.45,1250.0,1259.9,1230.5,1243.6,1250.39,17312,,10598,0.6122,94.48679626,0.01,1247.75,,49000.0,2010-02-25,-500.0,2.650000000000091,ShortCovering
2010-02-11,CONCOR,1243.6,1248.0,1295.9,1235.45,1261.0,1270.96,84335,,34014,0.4033,94.24973308,-0.24,1268.15,,71750.0,2010-02-25,22750.0,20.40000000000009,LongBuildUp
2010-02-15,CONCOR,1261.0,1273.0,1284.0,1235.0,1249.6,1250.84,269122,,245261,0.9113,94.1950262,-0.05,1255.4,,77000.0,2010-02-25,5250.0,-12.75,ShortBuildUp
2010-02-16,CONCOR,1249.6,1260.0,1270.5,1235.0,1239.6,1242.15,35930,,26355,0.7334999999999999,94.16376512,-0.03,1245.95,,78750.0,2010-02-25,1750.0,-9.450000000000045,ShortBuildUp
2010-02-17,CONCOR,1239.6,1256.7,1259.0,1232.1,1237.45,1244.84,22221,,12925,0.5817,94.09863787,-0.07,1244.1,,84000.0,2010-02-25,5250.0,-1.8500000000001364,ShortBuildUp
2010-02-18,CONCOR,1237.45,1243.6,1248.5,1212.25,1217.3,1230.18,50633,,45341,0.8955,94.0908226,-0.01,1221.05,,83000.0,2010-02-25,-1000.0,-23.049999999999955,LongUnwinding
2010-02-19,CONCOR,1217.3,1212.2,1234.9,1208.0,1217.1,1219.55,16626,,10640,0.64,94.12729386,0.04,1219.6,,78000.0,2010-02-25,-5000.0,-1.4500000000000455,LongUnwinding
2010-02-22,CONCOR,1217.1,1229.9,1245.0,1191.1,1210.8,1220.43,35395,,17670,0.49920000000000003,94.17939566,0.05,1210.5,,69250.0,2010-02-25,-8750.0,-9.099999999999909,LongUnwinding
2010-02-23,CONCOR,1210.8,1198.0,1225.0,1177.0,1183.8,1194.58,150033,,140320,0.9353,94.14031931,-0.04,1191.15,,62750.0,2010-02-25,-6500.0,-19.34999999999991,LongUnwinding
2010-02-24,CONCOR,1183.8,1200.0,1219.15,1180.7,1199.3,1197.46,85881,,49207,0.573,94.19763129,0.06,1196.7,,52000.0,2010-02-25,-10750.0,5.5499999999999545,ShortCovering
2010-02-25,CONCOR,1199.3,1186.05,1204.0,1164.0,1177.65,1178.89,67400,,50424,0.7481,94.45814027,0.26,1178.0,,19500.0,2010-02-25,-32500.0,-18.700000000000045,LongUnwinding
2010-02-26,CONCOR,1177.65,1170.0,1215.0,1170.0,1205.9,1199.93,24611,,15253,0.6198,94.48679626,0.03,,,,,,,
2010-03-02,CONCOR,1205.9,1190.0,1219.3,1185.0,1189.7,1198.08,11481,,7999,0.6967,94.47377081,-0.01,1197.3,,50500.0,2010-03-25,1250.0,19.299999999999955,LongBuildUp
2010-03-03,CONCOR,1189.7,1195.0,1229.1,1191.0,1199.35,1214.49,51431,,43121,0.8384,94.48419117,0.01,1206.5,,49500.0,2010-03-25,-1000.0,9.200000000000045,ShortCovering
2010-03-04,CONCOR,1199.35,1195.0,1215.0,1191.0,1195.95,1201.44,10754,,7495,0.6969,94.47377081,-0.01,1202.05,,50500.0,2010-03-25,1000.0,-4.4500000000000455,ShortBuildUp
2010-03-05,CONCOR,1195.95,1200.0,1237.45,1197.0,1202.6,1209.79,139949,,107717,0.7697,94.29922979,-0.17,1210.75,,67250.0,2010-03-25,16750.0,8.700000000000045,LongBuildUp
2010-03-08,CONCOR,1202.6,1218.0,1225.75,1205.0,1216.5,1217.61,99940,,92942,0.93,94.33309596,0.03,1221.05,,64000.0,2010-03-25,-3250.0,10.299999999999955,ShortCovering
2010-03-09,CONCOR,1216.5,1220.0,1228.7,1210.0,1214.55,1217.93,52161,,48679,0.9331999999999999,94.38780284,0.05,1215.15,,58750.0,2010-03-25,-5250.0,-5.899999999999864,LongUnwinding
2010-03-10,CONCOR,1214.55,1215.6,1234.9,1211.2,1230.35,1223.6,23139,,17461,0.7545999999999999,94.41385374,0.03,1228.95,,56250.0,2010-03-25,-2500.0,13.799999999999955,ShortCovering
2010-03-11,CONCOR,1230.35,1235.0,1248.0,1210.0,1224.6,1228.96,68477,,63420,0.9262,94.43729955,0.02,1218.35,,54000.0,2010-03-25,-2250.0,-10.600000000000136,LongUnwinding
2010-03-12,CONCOR,1224.6,1217.0,1234.4,1217.0,1228.05,1229.75,140001,,136174,0.9727,94.51805734,0.08,1223.95,,46250.0,2010-03-25,-7750.0,5.600000000000136,ShortCovering
2010-03-15,CONCOR,1228.05,1227.0,1238.9,1214.05,1231.15,1229.78,92820,,87883,0.9468000000000001,94.53629297,0.02,1224.7,,44500.0,2010-03-25,-1750.0,0.75,ShortCovering
2010-03-16,CONCOR,1231.15,1230.0,1239.85,1215.45,1230.25,1230.93,18870,,13103,0.6944,94.53368788,-0.0,1231.35,,44500.0,2010-03-25,0.0,6.649999999999864,Undecisive
2010-03-17,CONCOR,1230.25,1230.0,1289.5,1230.0,1266.1,1268.04,107935,,84211,0.7802,94.61184057,0.08,1267.0,,36750.0,2010-03-25,-7750.0,35.65000000000009,ShortCovering
2010-03-18,CONCOR,1266.1,1270.0,1289.85,1257.6,1269.25,1272.68,21008,,15513,0.7384000000000001,94.62486602,0.01,1274.0,,35250.0,2010-03-25,-1500.0,7.0,ShortCovering
2010-03-19,CONCOR,1269.25,1265.0,1315.0,1265.0,1275.6,1274.02,31377,,27935,0.8903,94.6300762,0.01,1273.9,,34500.0,2010-03-25,-750.0,-0.09999999999990905,LongUnwinding
2010-03-22,CONCOR,1275.6,1282.0,1318.9,1265.0,1266.2,1283.12,43988,,26607,0.6049,94.6300762,0.0,1266.55,,31500.0,2010-03-25,-3000.0,-7.350000000000136,LongUnwinding
2010-03-23,CONCOR,1266.2,1275.0,1285.0,1265.0,1273.9,1274.32,38692,,31037,0.8022,94.61705075,-0.01,1270.35,,27750.0,2010-03-25,-3750.0,3.7999999999999545,ShortCovering
2010-03-25,CONCOR,1273.9,1279.7,1280.0,1255.2,1266.4,1267.91,54303,,41239,0.7594,94.76814596,0.15,1265.65,,16750.0,2010-03-25,-11000.0,-4.699999999999818,LongUnwinding
2010-03-26,CONCOR,1266.4,1265.1,1298.75,1265.0,1282.1,1283.85,46108,,38860,0.8428,94.76814596,0.0,,,,,,,
2010-03-29,CONCOR,1282.1,1270.1,1333.9,1270.1,1322.55,1305.83,36240,,24616,0.6792,94.78898668,0.02,,,,,,,
2010-03-30,CONCOR,1322.55,1323.0,1345.0,1310.0,1318.8,1323.76,22473,,13288,0.5913,94.79159177,0.0,,,,,,,
2010-03-31,CONCOR,1318.8,1325.0,1344.95,1285.0,1318.05,1322.51,86418,,64615,0.7477,94.81243249,0.02,,,,,,,
2010-04-01,CONCOR,1318.05,1326.8,1350.0,1307.05,1347.75,1337.2,19483,,10383,0.5329,94.81764267,0.01,1349.95,,17500.0,2010-04-29,-500.0,84.29999999999995,ShortCovering
2010-04-05,CONCOR,1347.75,1350.0,1392.95,1333.1,1387.05,1371.78,22896,,12425,0.5427000000000001,94.8358783,0.02,1387.15,,15750.0,2010-04-29,-1750.0,37.200000000000045,ShortCovering
2010-04-06,CONCOR,1387.05,1355.2,1410.0,1352.85,1393.65,1379.23,19996,,15394,0.7698999999999999,94.83848339,0.0,1392.5,,15500.0,2010-04-29,-250.0,5.349999999999909,ShortCovering
2010-04-07,CONCOR,1393.65,1397.1,1429.0,1383.0,1413.8,1410.81,23051,,13862,0.6014,94.85150884,0.01,1410.45,,14250.0,2010-04-29,-1250.0,17.950000000000045,ShortCovering
2010-04-08,CONCOR,1413.8,1392.0,1423.95,1367.2,1405.55,1407.2,40099,,33812,0.8432,94.85411393,0.0,1399.35,,14000.0,2010-04-29,-250.0,-11.100000000000136,LongUnwinding
2010-04-09,CONCOR,1405.55,1416.75,1427.9,1400.0,1409.15,1414.47,11507,,7380,0.6413,94.85411393,0.0,1410.95,,14000.0,2010-04-29,0.0,11.600000000000136,Undecisive
2010-04-12,CONCOR,1409.15,1390.0,1400.0,1380.0,1383.5,1383.18,7784,,4360,0.5601,94.85150884,-0.0,1385.7,,14250.0,2010-04-29,250.0,-25.25,ShortBuildUp
2010-04-13,CONCOR,1383.5,1392.9,1420.0,1386.8,1400.2,1395.95,41623,,37698,0.9057,94.85671902,0.01,1402.05,,13750.0,2010-04-29,-500.0,16.34999999999991,ShortCovering
2010-04-15,CONCOR,1400.2,1416.4,1425.0,1380.6,1396.1,1412.69,12742,,9114,0.7153,94.86453429,0.01,1396.55,,13000.0,2010-04-29,-750.0,-5.5,LongUnwinding
2010-04-16,CONCOR,1396.1,1409.0,1409.0,1375.9,1387.95,1397.66,3894,,2511,0.6448,94.86713938,0.0,1385.25,,12750.0,2010-04-29,-250.0,-11.299999999999955,LongUnwinding
2010-04-19,CONCOR,1387.95,1378.0,1398.7,1333.05,1346.95,1354.38,11200,,7682,0.6859000000000001,94.85932411,-0.01,1342.1,,13500.0,2010-04-29,750.0,-43.15000000000009,ShortBuildUp
2010-04-20,CONCOR,1346.95,1346.0,1414.9,1330.0,1401.95,1380.78,24755,,14960,0.6043000000000001,94.84629866,-0.01,1393.5,,13750.0,2010-04-29,250.0,51.40000000000009,LongBuildUp
2010-04-21,CONCOR,1401.95,1399.95,1470.0,1399.95,1452.95,1428.1,53959,,40342,0.7476,94.80201213,-0.04,1457.5,,18000.0,2010-04-29,4250.0,64.0,LongBuildUp
2010-04-22,CONCOR,1452.95,1460.0,1500.0,1424.05,1437.55,1470.86,52899,,24485,0.4629,94.74470015,-0.06,1441.45,,22250.0,2010-04-29,4250.0,-16.049999999999955,ShortBuildUp
2010-04-23,CONCOR,1437.55,1445.0,1466.0,1438.05,1444.75,1452.15,24337,,16307,0.67,94.76814596,0.02,1450.05,,18750.0,2010-04-29,-3500.0,8.599999999999909,ShortCovering
2010-04-26,CONCOR,1444.75,1450.0,1459.7,1437.65,1438.45,1442.46,5847,,2989,0.5112,94.78638159,0.02,1438.05,,17000.0,2010-04-29,-1750.0,-12.0,LongUnwinding
2010-04-27,CONCOR,1438.45,1436.15,1459.0,1371.3,1394.3,1437.53,267695,,221099,0.8259000000000001,94.66394237,-0.12,1396.3,,25750.0,2010-04-29,8750.0,-41.75,ShortBuildUp
