Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2015-01-01,COROMANDEL,16445,463,8346,7.87,12.94,64.42,Low,Low,Low,,-0.89,-0.85,-0.96,92.71,88.54,4.1699999999999875,High,,Neutral,Low,Low,High,307.37,307.25,,,,,-0.85,,,0.0,308.55,308.45,310.5,304.35,307.29,,,,,,,6.15,,,,,,,Neutral,,,,5.78,,,,,0.0,,,0.0,0.0,,,False,,,False,,9.707776758623158,,35.518358531317496,,,5.78,5.78,False
2015-01-02,COROMANDEL,339757,2318,319713,239.34,1600.0,568.51,Very High,High,Low,,0.61,-0.05,-0.85,-71.76,5.88,-77.64,Low,-5.7,Neutral,Very High,Very High,Very High,303.4,301.55,,,,,-0.62,,,0.0,307.25,306.5,309.75,298.9,306.17,,,,,2.65,8.2,10.85,False,0.0,NoSwipe,Bearish,-0.018725908549148684,-5.699999999999989,Neutral,,,,13.51,133.74,,,,-0.1,,Sell,-0.12999999999999545,-0.03,2.65,2.65,False,8.2,8.2,False,-5.699999999999989,12.735985935185985,-72.59511983055997,146.57333908541847,-1.677669628587487e-05,-0.031317998201276946,10.42,9.97,True
2015-01-05,COROMANDEL,27915,929,16466,10.59,14.63,38.15,Low,Low,Low,,-0.85,-0.82,-0.94,90.43,87.23,3.200000000000003,High,1.65,Neutral,Low,Low,Medium,303.78,303.2,,,,,-0.9,,,0.0,301.55,301.5,306.65,301.5,303.74,,,,,1.7,3.45,5.15,False,0.0,,Bullish,0.005456813871220767,1.6499999999999773,Neutral,,,,5.83,-56.85,,,,-0.07,,Sell,-0.1099999999999568,-0.04,2.02,2.15,False,5.03,5.64,False,1.6499999999999773,10.236919457744461,16.890917105278128,30.048439181916038,5.9108006448145346e-05,0.018181826808695508,8.24,8.35,False
2015-01-06,COROMANDEL,102491,3844,64442,22.58,18.75,16.96,Low,Low,Low,,-0.62,-0.64,-0.76,81.58,84.21,-2.6299999999999955,High,0.3,Neutral,Low,Low,Medium,304.43,303.5,,,,,-0.68,,,0.0,303.2,301.0,309.7,300.1,305.17,,,,,3.4,6.2,9.6,True,1.0,CandleHighSwipe,Bullish,0.0009889567313363656,0.30000000000001137,Neutral,,,,2.78,-52.32,,,,-0.04,,Sell,-0.09000000000003183,-0.05,2.81,2.61,True,5.7,5.86,False,0.30000000000001137,11.537530268827478,3.4612590806483747,26.662591050988553,2.927086280746713e-06,0.0009004316026660704,5.97,6.59,False
2015-01-07,COROMANDEL,64535,2040,43152,20.83,19.18,7.92,Low,Low,Low,,-0.72,-0.73,-0.87,82.76,83.91,-1.1499999999999915,High,-0.5,Neutral,Low,Medium,Low,304.02,303.0,,,,,-0.81,,,0.0,303.5,301.4,308.0,301.05,303.19,,,,,1.95,5.0,6.95,False,0.0,,Bullish,-0.0016488049901841606,-0.5,Neutral,,,,4.55,63.67,,,,-0.03,,Sell,-0.09000000000003183,-0.06,2.35,2.42,False,5.33,5.59,False,-0.5,11.074962991269288,-5.537481495634644,31.63480392156863,-7.74773378786705e-06,-0.0027144517135463944,5.43,6.04,False
2015-01-08,COROMANDEL,158401,515,151260,380.0,92.0,75.79,High,Medium,Low,,-0.2,-0.5,-0.96,20.83,52.08,-31.25,Medium,0.15,Neutral,Very High,High,High,303.37,303.15,,,,,-1.0,,,0.0,303.0,304.0,305.0,301.95,303.52,,,,,1.2,1.85,3.05,False,0.0,,Bearish,0.000494927008371171,0.14999999999997726,Neutral,,,,100.84,2116.26,,,,-0.02,,Sell,-0.08999999999997499,-0.07,1.76,2.13,False,3.53,4.6,False,0.14999999999997726,11.972885071473847,1.7959327607208049,307.5747572815534,9.469637186632487e-07,0.003487248079069524,40.29,29.08,True
2015-01-09,COROMANDEL,524959,991,507493,161.18,326.83,102.77,Very High,Very High,Low,,1.52,0.41,-0.93,-163.44,-44.09,-119.35,Low,0.65,Neutral,High,Very High,Very High,303.03,303.8,,,,,-0.89,,,0.0,303.15,302.0,305.25,300.05,303.03,,,,,3.75,1.45,5.2,True,0.08,BothHighLowSwipe,Bullish,0.0021418576439327097,0.6500000000000341,Neutral,,,,101.87,1.02,,,,0.01,,Buy,-0.05000000000001137,-0.06,2.77,2.47,True,2.47,3.85,False,0.6500000000000341,13.171075443286073,8.561199038136397,529.7265388496468,1.2381919349892737e-06,0.00863894958439596,62.09,45.32,True
2015-01-12,COROMANDEL,37950,565,32181,23.08,20.0,13.34,Low,Low,Low,,-0.78,-0.8,-0.96,81.25,83.33,-2.0799999999999983,High,-4.4,Neutral,Medium,Medium,Low,300.83,299.4,,,,,-0.81,,,0.0,303.8,304.05,305.0,298.1,300.99,,,,,1.3,5.6,6.9,False,0.0,NoSwipe,Bearish,-0.014589118176144389,-4.400000000000034,Neutral,,,,9.73,-90.45,,,,-0.14,,Sell,-0.2400000000000091,-0.1,2.03,2.25,False,4.05,4.23,False,-4.400000000000034,10.544024782823776,-46.39370904442497,67.16814159292035,-0.00011594202898550815,-0.08211275937066366,43.93,37.9,True
2015-01-13,COROMANDEL,22819,717,13544,9.2,13.1,42.39,Low,Low,Low,,-0.87,-0.84,-0.95,91.58,88.42,3.1599999999999966,High,-2.25,Neutral,Low,Low,High,298.45,297.15,,,,,-0.78,,,0.0,299.4,299.7,302.85,295.35,299.11,,,,,1.8,5.7,7.5,False,0.0,NoSwipe,Bearish,-0.007543410172858422,-2.25,Neutral,,,,4.24,-56.42,,,,-0.31,,Sell,-0.4800000000000182,-0.17,1.91,2.17,False,4.88,4.53,True,-2.25,10.035348801246425,-22.579534802804456,31.825662482566248,-9.860204215785092e-05,-0.03149168033863941,30.35,31.24,False
2015-01-14,COROMANDEL,32213,919,24247,14.63,16.05,9.71,Low,Low,Low,,-0.82,-0.81,-0.94,87.23,86.17,1.0600000000000023,High,-0.25,Neutral,Low,Low,Low,297.48,296.9,,,,,-0.88,,,0.0,297.15,295.8,300.55,295.0,297.95,,,,,1.9,3.65,5.55,True,0.12,CandleLowSwipe,Bullish,-0.0008416800429555948,-0.25,Neutral,,,,6.32,49.06,,,,-0.38,,Sell,-0.6499999999999773,-0.27,1.91,2.13,False,4.26,4.36,False,-0.25,10.380125376764875,-2.5950313441912187,35.052230685527746,-7.760841896128892e-06,-0.0028237555431895743,22.2,26.52,False
