DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,63.96888888888888,Bearish,45,45
High,High,Medium,37.32999999999997,Bearish,10,10
High,High,Very Low,68.37887323943661,Bullish,71,71
High,Low,Medium,27.572580645161285,Bearish,31,31
High,Medium,Low,27.63064516129032,Bullish,31,31
High,Medium,Medium,27.35434782608695,Bullish,23,23
High,Medium,Very Low,28.592857142857124,Bearish,7,7
High,Very High,High,48.04999999999997,Bearish,40,40
High,Very High,Low,62.63333333333334,Bearish,9,9
High,Very High,Medium,65.24666666666668,Bearish,15,15
High,Very High,Very High,60.453448275862044,Bearish,29,29
High,Very High,Very Low,127.17499999999984,Bullish,4,4
High,Very Low,Medium,25.977272727272716,Bullish,11,11
High,Very Low,Very Low,27.224999999999984,Bearish,6,6
Low,High,High,26.799999999999994,Bullish,10,10
Low,High,Very High,33.27368421052629,Bullish,19,19
Low,Low,Low,24.93703703703703,Bullish,54,54
Low,Low,Medium,25.33333333333334,Bullish,12,12
Low,Low,Very Low,24.52833333333334,Bearish,60,60
Low,Medium,High,33.19583333333333,Bearish,24,24
Low,Medium,Low,25.191666666666674,Bearish,12,12
Low,Medium,Medium,32.510869565217405,Bearish,23,23
Low,Medium,Very High,21.98333333333335,Bearish,3,3
Low,Medium,Very Low,32.099999999999966,Bullish,2,2
Low,Very High,Very High,29.502499999999976,Bearish,20,20
Low,Very Low,Low,23.7485294117647,Bullish,34,34
Low,Very Low,Medium,28.213888888888885,Bearish,54,54
Low,Very Low,Very Low,31.62142857142856,Bullish,7,7
Medium,High,High,42.32666666666669,Bearish,15,15
Medium,High,Low,27.595454545454558,Bearish,11,11
Medium,High,Medium,76.67250000000001,Bullish,20,20
Medium,High,Very High,42.375,Bullish,2,2
Medium,High,Very Low,29.687500000000014,Bearish,12,12
Medium,Low,Low,27.835849056603763,Bullish,53,53
Medium,Low,Medium,27.309374999999996,Bearish,16,16
Medium,Low,Very Low,24.066666666666677,Bearish,9,9
Medium,Medium,Low,23.243750000000006,Bearish,24,24
Medium,Medium,Medium,13.549999999999997,Bullish,4,4
Medium,Medium,Very Low,27.260431654676264,Bearish,139,139
Medium,Very High,High,48.50714285714292,Bullish,7,7
Medium,Very High,Very High,49.708333333333314,Bearish,12,12
Medium,Very Low,Medium,27.441666666666674,Bullish,12,12
Very High,High,Low,39.18846153846153,Bullish,13,13
Very High,High,Medium,26.18461538461539,Bearish,39,39
Very High,High,Very Low,127.31000000000009,Bullish,5,5
Very High,Low,Medium,27.698076923076936,Bearish,26,26
Very High,Medium,Medium,25.515217391304354,Bearish,46,46
Very High,Very High,High,67.88749999999997,Bullish,20,20
Very High,Very High,Low,72.82881355932204,Bullish,59,59
Very High,Very High,Medium,80.97711864406774,Bearish,59,59
Very High,Very High,Very High,67.67391304347824,Bearish,23,23
Very High,Very High,Very Low,77.28378378378373,Bearish,37,37
Very High,Very Low,Medium,23.450000000000006,Bullish,6,6
Very High,Very Low,Very Low,144.0250000000001,Bullish,2,2
Very Low,High,Very High,45.264583333333356,Bullish,24,24
Very Low,Low,High,21.186206896551727,Bearish,29,29
Very Low,Low,Low,18.37499999999999,Bullish,6,6
Very Low,Low,Medium,23.512499999999996,Bullish,20,20
Very Low,Low,Very High,24.816250000000007,Bearish,40,40
Very Low,Medium,High,31.495454545454546,Bearish,11,11
Very Low,Medium,Very High,22.751282051282068,Bullish,39,39
Very Low,Very High,Very High,27.22812500000002,Bullish,16,16
Very Low,Very Low,High,19.586666666666666,Bearish,15,15
Very Low,Very Low,Low,24.220588235294112,Bearish,34,34
Very Low,Very Low,Medium,23.49444444444445,Bearish,54,54
Very Low,Very Low,Very High,19.920370370370378,Bearish,27,27
Very Low,Very Low,Very Low,24.727499999999985,Bullish,20,20
