Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2010-01-04,CUMMINSIND,48542,,24854,15.07,37.7,150.17,Low,Low,,Medium,-0.73,-0.61,-0.84,86.9,72.62,14.280000000000001,High,,Neutral,Low,Medium,Very High,,426.95,,427.6,,0.6500000000000341,-0.72,,13300.0,-0.0,430.7,429.0,433.7,425.0,427.9,111150.0,2010-01-28,,Undecisive,,,8.7,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,10.790184681563204,,,,,,,False
2010-01-05,CUMMINSIND,28378,,14804,10.53,31.25,196.77,Low,Low,,Low,-0.76,-0.64,-0.84,90.48,76.19,14.290000000000006,High,-2.55,Low Demand,Low,Medium,Very High,,424.4,-4.900000000000034,422.7,-0.5499999999999999,-1.6999999999999886,-0.64,,-4750.0,-0.0,426.95,430.0,432.0,420.7,427.21,106400.0,2010-01-28,,LongUnwinding,3.7,7.6,11.3,False,0.0,NoSwipe,Bearish,-0.005990503613787723,-2.5500000000000114,Low Demand,,,,,,,,,-0.05,,Sell,-0.060000000000002274,-0.01,3.7,3.7,False,7.6,7.6,False,-2.5500000000000114,10.253369476067258,-26.146092163971623,,-8.985834096835618e-05,,,,False
2010-01-06,CUMMINSIND,107246,,56019,35.48,55.56,56.6,Low,Low,,Medium,-0.62,-0.54,-0.84,73.81,64.29,9.519999999999996,High,12.25,Low Supply,Medium,Medium,Medium,,436.65,14.949999999999989,437.65,0.6499999999999999,1.0,-0.47,,16150.0,-0.0,424.4,426.0,440.0,423.0,432.63,122550.0,2010-01-28,,LongBuildUp,13.65,3.35,17.0,False,0.0,NoSwipe,Bullish,0.02845555211991435,12.25,Low Supply,,,,,,,,,0.25,,Buy,0.30000000000001137,0.05,10.33,8.91,True,4.77,5.31,False,12.25,11.582880540057452,141.8902866157038,,0.00011422337429834212,,,,False
2010-01-07,CUMMINSIND,113145,,62565,40.0,58.49,46.23,Low,Low,,High,-0.6,-0.53,-0.84,71.43,63.1,8.330000000000005,High,-7.55,Low Demand,Medium,Medium,Medium,,429.1,-6.2999999999999545,431.35,0.29000000000000004,2.25,-0.57,,36100.0,-0.0,436.65,435.25,440.05,426.5,432.44,158650.0,2010-01-28,,ShortBuildUp,2.6,10.95,13.55,True,0.01,CandleHighSwipe,Bearish,-0.01744196686226296,-7.5499999999999545,Low Demand,,,,,,,,,0.11,,Buy,0.18999999999999773,0.08,5.91,6.6,False,8.3,7.49,True,-7.5499999999999545,11.636425460955842,-87.85501223021608,,-6.672853418180171e-05,,,,False
2010-01-08,CUMMINSIND,574107,,464402,210.53,1300.0,517.49,Very High,High,,High,0.76,0.07,-0.84,-90.48,-8.33,-82.15,Low,15.8,Strong Demand,Very High,Very High,Very High,,444.9,15.599999999999966,446.95,-0.06000000000000005,2.0500000000000114,-0.3,,52250.0,-0.0,429.1,434.0,449.7,427.05,432.1,210900.0,2010-01-28,,LongBuildUp,17.85,4.8,22.65,False,0.0,NoSwipe,Bullish,0.03615954581451675,15.799999999999955,Strong Demand,,,,,,,,,0.55,,Buy,0.7600000000000477,0.21,12.28,9.83,True,6.43,6.65,False,15.799999999999955,13.26057106907913,209.51702289144967,,2.7521002182519905e-05,,,,False
2010-01-11,CUMMINSIND,241465,,156646,200.0,133.33,33.33,Medium,Medium,,High,-0.28,-0.36,-0.84,33.33,42.86,-9.530000000000001,Medium,-4.45,Low Demand,High,High,Medium,,440.45,-4.849999999999966,442.1,-0.09000000000000008,1.650000000000034,-0.61,,10450.0,-0.0,444.9,448.25,448.25,436.0,440.74,221350.0,2010-01-28,,ShortBuildUp,4.45,7.8,12.25,False,0.0,,Bearish,-0.010052606256190977,-4.449999999999989,Low Demand,,,,,,,,,0.54,,Buy,0.8900000000000432,0.35,8.24,8.54,False,7.14,6.96,True,-4.449999999999989,12.394479814035522,-55.155435172457935,,-1.8429171929679202e-05,,,,False
2010-01-12,CUMMINSIND,128383,,73311,50.0,64.71,29.42,Low,Low,,High,-0.56,-0.51,-0.84,66.67,60.71,5.960000000000001,High,-4.6,Low Demand,Medium,Medium,Medium,,435.85,-4.75,437.35,-0.030000000000000027,1.5,-0.54,,-12350.0,-0.0,440.45,440.0,446.75,432.1,439.51,209000.0,2010-01-28,,LongUnwinding,3.75,10.9,14.65,False,0.0,NoSwipe,Bearish,-0.010498784098220248,-4.599999999999966,Low Demand,,,,,,,,,0.32,,Buy,0.75,0.43,5.96,7.54,False,9.05,7.89,True,-4.599999999999966,11.762773262718616,-54.10875700850523,,-3.58302890569621e-05,,,,False
2010-01-13,CUMMINSIND,198411,,137319,140.0,100.0,28.57,Medium,Medium,,Medium,-0.35,-0.42,-0.84,41.67,50.0,-8.329999999999998,Medium,3.15,Low Supply,High,High,Medium,,439.0,2.8999999999999773,440.25,-0.05999999999999994,1.25,-0.5,,14250.0,-0.0,435.85,435.0,442.9,427.1,434.99,223250.0,2010-01-28,,LongBuildUp,11.9,3.9,15.8,True,1.14,CandleLowSwipe,Bullish,0.007201265617586827,3.1499999999999773,Low Supply,,,,,,,,,0.3,,Buy,0.8000000000000114,0.5,8.95,8.35,True,6.45,7.03,False,3.1499999999999773,12.19809591584436,38.42400213490946,,1.587613589972319e-05,,,,False
2010-01-14,CUMMINSIND,213707,,192151,425.0,110.0,74.12,High,Medium,,Medium,-0.16,-0.4,-0.84,19.05,47.62,-28.569999999999997,Medium,7.7,Low Supply,Very High,High,High,,446.7,6.550000000000011,446.8,-0.26,0.10000000000002274,-0.53,,-35150.0,-0.0,439.0,440.0,450.0,435.15,442.79,188100.0,2010-01-28,,ShortCovering,11.55,3.3,14.85,False,0.0,NoSwipe,Bullish,0.017387815282901897,7.699999999999989,Low Supply,,,,,,,,,0.56,,Buy,1.1999999999999886,0.64,10.26,8.9,True,4.87,6.28,False,7.699999999999989,12.272361196971048,94.49718121667692,,3.6030640081981354e-05,,,,False
2010-01-15,CUMMINSIND,439949,,349630,327.03,740.0,126.28,Very High,High,,High,0.37,-0.1,-0.84,-44.05,11.9,-55.949999999999996,Low,-6.7,Low Demand,Very High,Very High,Very High,,440.0,-4.800000000000011,442.0,0.42999999999999994,2.0,-0.47,,19950.0,-0.0,446.7,445.3,454.0,437.1,442.14,208050.0,2010-01-28,,ShortBuildUp,2.9,14.0,16.9,True,0.91,CandleHighSwipe,Bearish,-0.015112501445766924,-6.699999999999989,Low Demand,,,,,,,,,0.38,,Buy,1.1200000000000045,0.74,6.57,7.95,False,9.44,7.75,True,-6.699999999999989,12.994414090085558,-87.0625744035731,,-1.522903791121241e-05,,,,False
