Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2013-08-22,DABUR,145.95,364.1,1.99,146.15999999999997
2013-11-25,DABUR,167.4,156.6,1.06,43.400000000000006
2013-11-26,DABUR,165.15,405.0,10.82,196.11
2014-01-23,DABUR,161.75,496.88,4.55,214.0600000000001
2014-01-24,DABUR,163.95,3750.0,1.07,1600.0
2014-08-28,DABUR,232.6,618.38,15.8,235.67
2014-11-25,DABUR,242.9,284.85,1.09,45.44999999999999
2015-01-29,DABUR,258.4,400.0,1.0,188.24
2016-03-16,DABUR,247.25,-79.63,1.35,-170.37
2016-08-16,DABUR,298.75,367.21,3.97,283.61000000000007
2017-03-30,DABUR,274.15,237.5,1.02,187.5
2017-05-25,DABUR,269.0,1071.43,1.2,642.8599999999999
2017-11-01,DABUR,349.55,295.05,1.87,-109.9
2018-03-16,DABUR,321.25,51.52,1.12,61.60999999999999
2018-05-31,DABUR,383.3,83.67,1.2,38.78
2018-07-11,DABUR,378.7,388.89,2.36,266.67
2018-07-17,DABUR,377.85,293.94,1.45,145.45
2018-07-18,DABUR,374.25,850.0,1.35,275.0
2018-08-09,DABUR,445.9,189.13,1.37,108.7
2018-09-19,DABUR,466.85,600.0,1.41,-12.5
2018-11-05,DABUR,366.85,126.89,1.47,-3.3599999999999994
2018-11-13,DABUR,369.55,148.65,1.18,10.810000000000002
2018-11-30,DABUR,409.1,101.28,2.28,44.870000000000005
2019-01-31,DABUR,443.65,142.86,1.47,-104.68
2019-05-24,DABUR,399.05,182.44,2.47,6.110000000000014
2020-03-20,DABUR,444.35,63.73,1.03,-13.239999999999997
2020-04-07,DABUR,477.55,74.88,1.06,-25.58
2020-06-17,DABUR,440.5,161.26,1.43,-32.42999999999998
2021-04-15,DABUR,572.05,91.3,2.28,7.829999999999998
2021-08-02,DABUR,599.05,338.57,2.9,75.72000000000003
2021-08-13,DABUR,588.3,95.87,1.85,-11.010000000000003
2021-10-05,DABUR,616.2,36.97,1.21,20.380000000000003
2022-03-23,DABUR,522.85,104.72,1.4,27.360000000000014
2022-11-30,DABUR,588.35,197.35,2.94,-2.6500000000000057
2023-01-13,DABUR,543.7,128.33,1.17,66.66999999999999
2023-03-15,DABUR,521.85,2175.0,1.65,1950.0
2023-10-20,DABUR,524.8,189.62,5.34,102.18
2023-12-18,DABUR,540.5,102.0,1.11,120.0
2023-12-21,DABUR,530.25,190.44,4.12,112.5
2024-07-02,DABUR,602.8,83.22,2.01,51.68000000000001
2024-07-24,DABUR,634.15,101.3,3.79,-3.1099999999999994
2024-09-25,DABUR,627.0,57.66,2.76,-7.299999999999997
2024-10-08,DABUR,567.35,51.22,1.21,22.56
2024-10-09,DABUR,565.05,67.97,1.5,30.070000000000007
2024-10-29,DABUR,535.85,91.98,2.22,12.739999999999997
2024-11-18,DABUR,508.5,64.49,1.03,10.150000000000006
2024-12-10,DABUR,506.95,77.05,1.13,15.570000000000007
2024-12-11,DABUR,508.35,92.92,1.27,19.47
2024-12-12,DABUR,506.65,134.25,1.46,65.75
2025-04-04,DABUR,461.75,218.18,1.51,56.370000000000005
2025-05-14,DABUR,468.95,127.85,1.62,77.21000000000001
