Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,DABUR,2024-12-26,514.05,514.05,506.15,507.35,507.35,3910000.0,3128.0,21322500,-400000
2024-12-11,DABUR,2024-12-26,508.65,513.1,507.25,510.0,510.0,4375000.0,3500.0,21722500,-561250
2024-12-10,DABUR,2024-12-26,508.1,513.45,506.3,508.65,508.65,3237500.0,2590.0,22283750,133750
2024-12-09,DABUR,2024-12-26,520.15,521.5,503.9,508.9,508.9,10907500.0,8726.0,22150000,2586250
2024-12-06,DABUR,2024-12-26,526.85,526.85,522.45,524.95,524.95,1786250.0,1429.0,19563750,238750
2024-12-05,DABUR,2024-12-26,525.4,526.3,519.5,524.95,524.95,2647500.0,2118.0,19325000,221250
2024-12-04,DABUR,2024-12-26,527.65,529.2,521.25,523.75,523.75,2205000.0,1764.0,19103750,-122500
2024-12-03,DABUR,2024-12-26,528.5,530.85,523.7,525.5,525.5,3228750.0,2583.0,19226250,373750
2024-12-02,DABUR,2024-12-26,528.0,528.95,523.0,526.3,526.3,2250000.0,1800.0,18852500,-116250
2024-11-29,DABUR,2024-12-26,532.05,532.05,525.85,529.1,529.1,2413750.0,1931.0,18968750,27500
2024-11-28,DABUR,2024-11-28,527.7,533.5,523.9,525.0,526.0,7218750.0,5775.0,1372500,-4553750
2024-11-27,DABUR,2024-11-28,523.4,528.7,521.0,526.95,526.95,5193750.0,4155.0,5926250,-3778750
2024-11-26,DABUR,2024-11-28,522.1,530.2,519.45,525.75,525.75,5866250.0,4693.0,9705000,-4322500
2024-11-25,DABUR,2024-11-28,516.8,527.25,514.75,522.5,522.5,7875000.0,6300.0,14027500,-4705000
2024-11-22,DABUR,2024-11-28,506.8,514.15,504.55,513.3,513.3,2651250.0,2121.0,18732500,-563750
2024-11-21,DABUR,2024-11-28,507.85,509.2,502.5,505.65,505.65,2156250.0,1725.0,19296250,-343750
2024-11-19,DABUR,2024-11-28,511.1,515.35,507.55,508.95,508.95,2535000.0,2028.0,19640000,-113750
2024-11-18,DABUR,2024-11-28,509.05,510.3,500.2,509.3,509.3,5301250.0,4241.0,19753750,151250
2024-11-14,DABUR,2024-11-28,513.2,515.5,504.0,508.55,508.55,2692500.0,2154.0,19602500,191250
2024-11-13,DABUR,2024-11-28,511.15,515.6,508.65,512.75,512.75,2450000.0,1960.0,19411250,-48750
2024-11-12,DABUR,2024-11-28,523.55,524.4,511.2,512.55,512.55,3927500.0,3142.0,19460000,561250
2024-11-11,DABUR,2024-11-28,530.1,531.35,521.15,523.7,523.7,2840000.0,2272.0,18900000,411250
2024-11-08,DABUR,2024-11-28,535.85,535.85,530.8,532.5,532.5,1485000.0,1188.0,18488750,12500
2024-11-07,DABUR,2024-11-28,535.85,542.0,531.75,533.6,533.6,2083750.0,1667.0,18476250,-50000
2024-11-06,DABUR,2024-11-28,534.1,542.75,534.1,539.45,539.45,3605000.0,2884.0,18526250,-242500
2024-11-05,DABUR,2024-11-28,535.7,536.85,528.75,534.1,534.1,2382500.0,1906.0,18768750,183750
2024-11-04,DABUR,2024-11-28,543.25,543.25,531.45,535.25,535.25,3036250.0,2429.0,18585000,285000
2024-11-01,DABUR,2024-11-28,540.85,543.7,539.0,540.75,540.75,312500.0,250.0,18300000,-48750
2024-10-31,DABUR,2024-10-31,540.85,549.1,534.0,540.1,540.0,4523750.0,3619.0,1533750,-1417500
2024-10-30,DABUR,2024-10-31,541.1,553.45,536.75,547.75,547.75,6506250.0,5205.0,2951250,-1912500
2024-10-29,DABUR,2024-10-31,551.25,553.2,534.0,537.05,537.05,7647500.0,6118.0,4863750,-4957500
2024-10-28,DABUR,2024-10-31,539.05,557.7,538.1,553.1,553.1,7760000.0,6208.0,9821250,-5085000
2024-10-25,DABUR,2024-10-31,546.95,546.95,537.25,539.55,539.55,3363750.0,2691.0,14906250,-763750
2024-10-24,DABUR,2024-10-31,559.0,559.0,536.4,542.15,542.15,6778750.0,5423.0,15670000,-1906250
2024-10-23,DABUR,2024-10-31,567.7,567.7,555.35,558.7,558.7,1885000.0,1508.0,17576250,-347500
2024-10-22,DABUR,2024-10-31,571.95,571.95,556.8,559.2,559.2,2947500.0,2358.0,17923750,-495000
2024-10-21,DABUR,2024-10-31,574.7,575.75,567.0,568.1,568.1,2532500.0,2026.0,18418750,-22500
2024-10-18,DABUR,2024-10-31,570.4,573.0,567.5,572.5,572.5,2428750.0,1943.0,18441250,-86250
2024-10-17,DABUR,2024-10-31,579.95,581.35,573.0,573.9,573.9,2611250.0,2089.0,18527500,-412500
2024-10-16,DABUR,2024-10-31,572.25,580.2,571.9,579.6,579.6,3125000.0,2500.0,18940000,-795000
2024-10-15,DABUR,2024-10-31,572.7,574.45,569.5,572.3,572.3,2763750.0,2211.0,19735000,98750
2024-10-14,DABUR,2024-10-31,574.9,576.95,568.6,569.5,569.5,2166250.0,1733.0,19636250,323750
2024-10-11,DABUR,2024-10-31,575.1,577.15,572.4,573.7,573.7,1956250.0,1565.0,19312500,-100000
2024-10-10,DABUR,2024-10-31,570.0,579.4,566.7,575.0,575.0,4773750.0,3819.0,19412500,-12500
2024-10-09,DABUR,2024-10-31,575.75,575.75,566.35,568.15,568.15,3546250.0,2837.0,19425000,311250
2024-10-08,DABUR,2024-10-31,575.0,575.95,568.4,571.2,571.2,3021250.0,2417.0,19113750,52500
2024-10-07,DABUR,2024-10-31,577.9,582.5,565.65,573.7,573.7,6937500.0,5550.0,19061250,20000
2024-10-04,DABUR,2024-10-31,585.2,587.75,573.7,575.6,575.6,5176250.0,4141.0,19041250,-263750
2024-10-03,DABUR,2024-10-31,591.55,599.0,575.1,583.75,583.75,18906250.0,15125.0,19305000,2276250
2024-10-01,DABUR,2024-10-31,630.3,630.4,616.55,623.75,623.75,3333750.0,2667.0,17028750,261250
2024-09-30,DABUR,2024-10-31,636.4,638.7,628.45,629.7,629.7,4147500.0,3318.0,16767500,17500
2024-09-27,DABUR,2024-10-31,629.8,636.9,626.1,635.5,635.5,5430000.0,4344.0,16750000,897500
2024-09-26,DABUR,2024-09-26,625.9,629.25,621.8,627.5,625.75,2123750.0,1699.0,1672500,-606250
2024-09-25,DABUR,2024-09-26,649.6,649.6,622.55,626.3,626.3,7043750.0,5635.0,2278750,-2096250
2024-09-24,DABUR,2024-09-26,660.75,664.9,652.5,656.25,656.25,5635000.0,4508.0,4375000,-3200000
2024-09-23,DABUR,2024-09-26,667.9,672.3,657.5,661.05,661.05,8148750.0,6519.0,7575000,-3937500
2024-09-20,DABUR,2024-09-26,666.05,670.0,661.7,668.25,668.25,4627500.0,3702.0,11512500,-455000
2024-09-19,DABUR,2024-09-26,657.2,665.85,655.45,664.8,664.8,3926250.0,3141.0,11967500,-142500
2024-09-18,DABUR,2024-09-26,660.65,663.25,649.65,654.45,654.45,2890000.0,2312.0,12110000,-160000
2024-09-17,DABUR,2024-09-26,663.0,672.85,656.2,659.85,659.85,4290000.0,3432.0,12270000,-148750
2024-09-16,DABUR,2024-09-26,663.05,668.0,660.0,663.55,663.55,2777500.0,2222.0,12418750,-240000
2024-09-13,DABUR,2024-09-26,668.7,669.15,651.7,660.65,660.65,6445000.0,5156.0,12658750,471250
2024-09-12,DABUR,2024-09-26,663.3,669.5,663.25,666.45,666.45,2890000.0,2312.0,12187500,21250
2024-09-11,DABUR,2024-09-26,670.0,671.85,662.0,663.95,663.95,4081250.0,3265.0,12166250,-523750
2024-09-10,DABUR,2024-09-26,668.0,670.65,662.5,665.5,665.5,5048750.0,4039.0,12690000,-887500
2024-09-09,DABUR,2024-09-26,647.95,665.4,645.3,663.15,663.15,8797500.0,7038.0,13577500,-93750
2024-09-06,DABUR,2024-09-26,646.55,656.5,644.5,645.8,645.8,3465000.0,2772.0,13671250,-270000
