Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,DALBHARAT,1935.25,1930.25,1935.25,1848.15,1921.6,1889.3,389729,38692,125559,32.22
2024-12-12,DALBHARAT,1966.6,1973.8,1974.6,1924.95,1935.25,1945.82,363340,30807,143423,39.47
2024-12-11,DALBHARAT,1898.7,1909.95,1972.9,1909.0,1966.6,1953.24,1009273,62113,416708,41.29
2024-12-10,DALBHARAT,1897.75,1898.05,1908.35,1876.0,1898.7,1896.13,333088,16524,208612,62.63
2024-12-09,DALBHARAT,1926.05,1931.95,1931.95,1890.0,1897.75,1898.41,238734,19570,129071,54.06
2024-12-06,DALBHARAT,1913.8,1916.85,1928.55,1903.55,1926.05,1920.49,327447,20734,219381,67.0
2024-12-05,DALBHARAT,1936.7,1938.0,1953.6,1889.45,1913.8,1925.82,307371,22857,154961,50.41
2024-12-04,DALBHARAT,1930.8,1929.0,1945.35,1903.85,1936.7,1926.36,410592,24175,216773,52.8
2024-12-03,DALBHARAT,1879.75,1879.75,1946.65,1879.75,1930.8,1921.12,447294,36485,223842,50.04
2024-12-02,DALBHARAT,1820.35,1850.0,1894.05,1835.1,1879.75,1865.65,1149388,61103,660730,57.49
2024-11-29,DALBHARAT,1819.3,1819.3,1836.45,1812.3,1820.35,1820.91,420858,29395,300985,71.52
2024-11-28,DALBHARAT,1836.45,1836.5,1845.15,1809.0,1819.3,1823.63,184962,16193,84081,45.46
2024-11-27,DALBHARAT,1826.2,1822.85,1847.45,1802.3,1836.45,1831.87,207146,16532,98776,47.68
2024-11-26,DALBHARAT,1826.8,1826.8,1850.0,1804.35,1826.2,1818.94,73786,8206,23420,31.74
2024-11-25,DALBHARAT,1808.25,1813.0,1865.0,1812.6,1826.8,1840.55,412507,23825,263984,64.0
2024-11-22,DALBHARAT,1771.6,1778.0,1823.0,1764.55,1808.25,1804.44,225572,20037,102053,45.24
2024-11-21,DALBHARAT,1745.25,1725.0,1782.75,1705.05,1771.6,1752.07,156031,17763,44491,28.51
2024-11-19,DALBHARAT,1686.35,1700.65,1770.0,1698.55,1745.25,1735.5,400400,25552,217221,54.25
2024-11-18,DALBHARAT,1713.8,1709.95,1730.0,1680.2,1686.35,1700.38,208120,13624,121439,58.35
2024-11-14,DALBHARAT,1737.6,1736.1,1746.05,1676.55,1713.8,1705.35,491072,22729,217499,44.29
2024-11-13,DALBHARAT,1786.7,1782.0,1788.25,1734.7,1737.6,1763.6,195661,24055,96061,49.1
2024-11-12,DALBHARAT,1755.35,1760.0,1793.9,1752.0,1786.7,1777.25,79048,12026,29991,37.94
2024-11-11,DALBHARAT,1768.05,1762.0,1782.1,1742.85,1755.35,1759.79,182117,14877,92142,50.59
2024-11-08,DALBHARAT,1798.25,1800.0,1804.45,1759.85,1768.05,1778.94,63085,6814,21858,34.65
2024-11-07,DALBHARAT,1817.55,1818.0,1823.55,1790.1,1798.25,1799.49,125279,9727,78472,62.64
