Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-09-29,DEEPAKNTR,182.35,184.9,184.9,176.2,177.3,180.16,2314,,1200,0.5186,,,,,,,,,
2010-09-30,DEEPAKNTR,177.3,174.15,183.0,174.15,179.6,177.9,1058,,664,0.6276,,,,,,,,,
2010-10-01,DEEPAKNTR,179.6,176.15,180.0,176.15,178.05,178.25,236,,235,0.9958,,,,,,,,,
2010-10-04,DEEPAKNTR,178.05,190.0,199.0,178.9,179.85,184.54,480,,65,0.1354,,,,,,,,,
2010-10-05,DEEPAKNTR,179.85,190.0,190.0,171.5,180.45,180.74,1035,,935,0.9034000000000001,,,,,,,,,
2010-10-06,DEEPAKNTR,180.45,186.0,186.0,178.55,183.2,181.56,1248,,937,0.7508,,,,,,,,,
2010-10-07,DEEPAKNTR,183.2,183.2,184.75,179.5,179.55,181.41,237,,212,0.8945000000000001,,,,,,,,,
2010-10-08,DEEPAKNTR,179.55,175.05,184.0,175.05,184.0,177.12,130,,130,1.0,,,,,,,,,
2010-10-11,DEEPAKNTR,184.0,184.0,184.75,181.1,184.75,184.21,422,,422,1.0,,,,,,,,,
2010-10-12,DEEPAKNTR,184.75,182.0,182.0,182.0,182.0,182.0,25,,25,1.0,,,,,,,,,
2010-10-13,DEEPAKNTR,182.0,183.0,184.0,183.0,184.0,183.86,7,,7,1.0,,,,,,,,,
2010-10-14,DEEPAKNTR,184.0,180.25,185.75,180.15,180.15,182.75,150,,0,0.0,,,,,,,,,
2010-10-15,DEEPAKNTR,180.15,183.0,192.0,180.15,190.85,189.42,4067,,2967,0.7295,,,,,,,,,
2010-10-18,DEEPAKNTR,190.85,186.95,192.75,186.95,191.55,191.02,2366,,2035,0.8601000000000001,,,,,,,,,
2010-10-19,DEEPAKNTR,191.55,184.0,192.0,184.0,187.55,190.58,1679,,1427,0.8499,,,,,,,,,
2010-10-21,DEEPAKNTR,187.55,190.0,191.0,187.6,188.1,190.07,600,,500,0.8333,,,,,,,,,
