Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-02-28,DELTACORP,2024-02-29,146.4,148.0,135.9,138.7,138.7,4140000,1380.0,8502000,-1854000
2024-02-27,DELTACORP,2024-02-29,150.3,151.75,146.05,146.5,146.5,3264000,1088.0,10356000,-1830000
2024-02-26,DELTACORP,2024-02-29,147.0,152.35,145.6,149.65,149.65,11103000,3701.0,12186000,-2109000
2024-02-23,DELTACORP,2024-02-29,143.85,147.6,143.6,147.15,147.15,3489000,1163.0,14295000,-444000
2024-02-22,DELTACORP,2024-02-29,143.6,143.95,139.5,142.8,142.8,1959000,653.0,14739000,-387000
2024-02-21,DELTACORP,2024-02-29,146.0,147.4,141.5,142.7,142.7,2397000,799.0,15126000,-480000
2024-02-20,DELTACORP,2024-02-29,148.2,152.0,144.15,144.8,144.8,9693000,3231.0,15606000,-321000
2024-02-19,DELTACORP,2024-02-29,141.85,147.75,141.6,146.65,146.65,1125000,375.0,15927000,-966000
2024-02-16,DELTACORP,2024-02-29,140.9,142.45,139.9,140.9,140.9,336000,112.0,16893000,-336000
2024-02-15,DELTACORP,2024-02-29,141.45,141.45,139.2,139.45,139.45,123000,41.0,17229000,-123000
2024-02-14,DELTACORP,2024-02-29,135.9,141.25,135.25,139.5,139.5,198000,66.0,17352000,-198000
2024-02-13,DELTACORP,2024-02-29,138.0,139.85,135.2,137.3,137.3,450000,150.0,17550000,-450000
2024-02-12,DELTACORP,2024-02-29,140.45,143.25,137.85,138.05,138.05,372000,124.0,18000000,-372000
2024-02-09,DELTACORP,2024-02-29,145.3,145.3,137.0,141.4,141.4,951000,317.0,18372000,-948000
2024-02-08,DELTACORP,2024-02-29,152.2,152.2,144.5,145.25,145.25,2040000,680.0,19320000,-2040000
2024-02-07,DELTACORP,2024-02-29,138.25,155.0,135.55,152.2,152.2,34167000,11389.0,21360000,4440000
2024-02-06,DELTACORP,2024-02-29,132.0,138.4,132.0,137.5,137.5,3723000,1241.0,16920000,-474000
2024-02-05,DELTACORP,2024-02-29,138.5,139.4,132.0,133.9,133.9,4260000,1420.0,17394000,687000
2024-02-02,DELTACORP,2024-02-29,139.25,142.0,137.65,138.2,138.2,2544000,848.0,16707000,108000
2024-02-01,DELTACORP,2024-02-29,142.0,142.6,137.4,138.0,138.0,3270000,1090.0,16599000,-402000
2024-01-31,DELTACORP,2024-02-29,140.15,142.45,140.1,141.35,141.35,2421000,807.0,17001000,-165000
2024-01-30,DELTACORP,2024-02-29,139.6,143.2,138.9,139.7,139.7,4068000,1356.0,17166000,567000
2024-01-29,DELTACORP,2024-02-29,140.0,141.8,137.8,139.5,139.5,3147000,1049.0,16599000,489000
2024-01-25,DELTACORP,2024-02-29,139.65,141.05,137.1,139.05,139.05,7608000,2536.0,16110000,2832000
2024-01-24,DELTACORP,2024-01-25,139.95,142.6,134.05,136.95,136.95,12993000,4331.0,4377000,-8334000
2024-01-23,DELTACORP,2024-01-25,144.2,145.0,139.0,140.75,140.75,1368000,456.0,12711000,-1107000
2024-01-20,DELTACORP,2024-01-25,144.2,146.0,144.2,145.1,145.1,39000,13.0,13818000,-12000
2024-01-19,DELTACORP,2024-01-25,145.85,146.25,143.9,144.25,144.25,153000,51.0,13830000,-153000
2024-01-18,DELTACORP,2024-01-25,146.4,146.5,141.0,143.55,143.55,432000,144.0,13983000,-432000
2024-01-17,DELTACORP,2024-01-25,146.5,149.0,143.25,145.25,145.25,375000,125.0,14415000,-375000
2024-01-16,DELTACORP,2024-01-25,150.15,151.4,146.3,150.6,150.6,324000,108.0,14790000,-324000
2024-01-15,DELTACORP,2024-01-25,151.85,153.9,148.95,149.1,149.1,387000,129.0,15114000,-387000
2024-01-12,DELTACORP,2024-01-25,155.9,155.9,152.35,152.4,152.4,720000,240.0,15501000,-705000
2024-01-11,DELTACORP,2024-01-25,155.4,158.8,151.0,156.05,156.05,18690000,6230.0,16206000,111000
2024-01-10,DELTACORP,2024-01-25,146.6,156.7,143.55,155.45,155.45,2592000,864.0,16095000,-678000
2024-01-09,DELTACORP,2024-01-25,151.3,153.6,148.8,150.5,150.5,630000,210.0,16773000,-495000
2024-01-08,DELTACORP,2024-01-25,153.3,154.75,149.55,150.55,150.55,1848000,616.0,17268000,-1842000
2024-01-05,DELTACORP,2024-01-25,156.6,157.0,151.65,152.7,152.7,1827000,609.0,19110000,-1815000
2024-01-04,DELTACORP,2024-01-25,157.5,159.5,155.85,156.65,156.65,975000,325.0,20925000,-975000
2024-01-03,DELTACORP,2024-01-25,156.35,159.8,156.0,156.85,156.85,984000,328.0,21900000,-984000
2024-01-02,DELTACORP,2024-01-25,154.1,161.1,151.5,157.6,157.6,23778000,7926.0,22884000,3771000
2024-01-01,DELTACORP,2024-01-25,146.65,156.05,145.85,152.75,152.75,14859000,4953.0,19113000,3891000
2023-12-29,DELTACORP,2024-01-25,145.05,150.2,144.3,147.4,147.4,6909000,2303.0,15222000,138000
2023-12-28,DELTACORP,2024-01-25,150.6,151.5,142.7,145.25,145.25,20751000,6917.0,15084000,8802000
2023-12-27,DELTACORP,2023-12-28,146.25,149.8,145.2,147.75,147.75,3567200,1274.0,9060800,-1103200
2023-12-26,DELTACORP,2023-12-28,143.6,146.9,140.4,146.25,146.25,1576400,563.0,10164000,-1201200
2023-12-22,DELTACORP,2023-12-28,140.85,144.75,140.45,144.2,144.2,1262800,451.0,11365200,-1262800
2023-12-21,DELTACORP,2023-12-28,135.9,142.6,135.8,141.7,141.7,935200,334.0,12628000,-935200
2023-12-20,DELTACORP,2023-12-28,146.3,147.0,136.8,138.3,138.3,2310000,825.0,13563200,-2304400
2023-12-19,DELTACORP,2023-12-28,144.35,153.05,144.1,146.3,146.3,24021200,8579.0,15867600,1688400
2023-12-18,DELTACORP,2023-12-28,139.95,143.75,139.95,142.55,142.55,366800,131.0,14179200,-271600
2023-12-15,DELTACORP,2023-12-28,138.5,143.3,138.5,141.0,141.0,492800,176.0,14450800,-341600
2023-12-14,DELTACORP,2023-12-28,138.0,140.3,137.0,137.9,137.9,162400,58.0,14792400,-162400
2023-12-13,DELTACORP,2023-12-28,137.7,138.95,136.4,137.8,137.8,218400,78.0,14954800,-218400
2023-12-12,DELTACORP,2023-12-28,138.5,139.0,138.0,138.05,138.05,151200,54.0,15173200,-151200
2023-12-11,DELTACORP,2023-12-28,137.3,138.55,135.75,137.3,137.3,159600,57.0,15324400,-159600
2023-12-08,DELTACORP,2023-12-28,140.8,141.9,136.55,137.75,137.75,977200,349.0,15484000,-977200
2023-12-07,DELTACORP,2023-12-28,145.0,145.2,139.65,139.95,139.95,252000,90.0,16461200,-249200
2023-12-06,DELTACORP,2023-12-28,140.35,141.65,139.0,139.75,139.75,526400,188.0,16710400,-526400
2023-12-05,DELTACORP,2023-12-28,141.9,142.1,138.4,140.05,140.05,504000,180.0,17236800,-504000
2023-12-04,DELTACORP,2023-12-28,148.1,148.4,140.05,141.65,141.65,1733200,619.0,17740800,-1691200
2023-12-01,DELTACORP,2023-12-28,150.0,154.85,145.0,146.75,146.75,27316800,9756.0,19432000,3942400
2023-11-30,DELTACORP,2023-12-28,135.5,148.7,134.55,142.85,142.85,13848800,4946.0,15489600,3920000
2023-11-29,DELTACORP,2023-11-30,135.05,136.15,133.3,134.25,134.25,6288800,2246.0,2864400,-2982000
2023-11-28,DELTACORP,2023-11-30,137.3,137.3,133.65,134.15,134.15,5110000,1825.0,5846400,-2542400
2023-11-24,DELTACORP,2023-11-30,136.55,140.45,135.6,137.1,137.1,3992800,1426.0,8388800,-1512000
2023-11-23,DELTACORP,2023-11-30,139.6,140.15,134.85,136.6,136.6,8848000,3160.0,9900800,-2898000
2023-11-22,DELTACORP,2023-11-30,139.55,139.7,137.3,139.1,139.1,453600,162.0,12798800,-355600
2023-11-21,DELTACORP,2023-11-30,139.05,140.5,139.0,139.35,139.35,92400,33.0,13154400,-92400
2023-11-20,DELTACORP,2023-11-30,138.7,139.3,137.0,137.5,137.5,120400,43.0,13246800,-120400
2023-11-17,DELTACORP,2023-11-30,139.9,140.3,138.1,138.65,138.65,198800,71.0,13367200,-198800
2023-11-16,DELTACORP,2023-11-30,140.6,142.0,140.35,141.0,141.0,106400,38.0,13566000,-106400
2023-11-15,DELTACORP,2023-11-30,142.0,142.85,140.15,142.05,142.05,576800,206.0,13672400,-574000
2023-11-13,DELTACORP,2023-11-30,140.65,142.35,140.35,140.8,140.8,296800,106.0,14246400,-296800
2023-11-12,DELTACORP,2023-11-30,141.85,142.0,139.1,139.7,139.7,47600,17.0,14543200,-47600
2023-11-10,DELTACORP,2023-11-30,138.95,140.95,137.1,140.55,140.55,417200,149.0,14590800,-417200
2023-11-09,DELTACORP,2023-11-30,141.35,142.6,138.15,139.45,139.45,540400,193.0,15008000,-540400
2023-11-08,DELTACORP,2023-11-30,144.9,145.85,139.7,140.7,140.7,8052800,2876.0,15548400,1528800
2023-11-07,DELTACORP,2023-11-30,143.0,144.5,139.15,144.05,144.05,6221600,2222.0,14019600,123200
2023-11-06,DELTACORP,2023-11-30,142.8,147.0,141.5,142.6,142.6,8380400,2993.0,13896400,369600
2023-11-03,DELTACORP,2023-11-30,136.2,142.1,136.0,141.55,141.55,9077600,3242.0,13526800,506800
2023-11-02,DELTACORP,2023-11-30,127.35,136.8,127.0,135.6,135.6,10743600,3837.0,13020000,1565200
2023-11-01,DELTACORP,2023-11-30,128.65,129.15,125.4,125.6,125.6,4617200,1649.0,11454800,554400
2023-10-31,DELTACORP,2023-11-30,130.15,130.4,127.25,128.65,128.65,2884000,1030.0,10900400,42000
2023-10-30,DELTACORP,2023-11-30,132.6,133.0,128.7,129.3,129.3,8442000,3015.0,10858400,254800
2023-10-27,DELTACORP,2023-11-30,130.6,132.7,125.9,132.1,132.1,9937200,3549.0,10603600,1344000
2023-10-26,DELTACORP,2023-10-26,134.35,134.35,126.15,127.4,127.45,3472000,1240.0,2522800,-1752800
2023-10-25,DELTACORP,2023-10-26,138.65,140.65,131.25,135.0,135.0,9744000,3480.0,4275600,-3192000
2023-10-23,DELTACORP,2023-10-26,131.5,135.65,128.6,130.25,130.25,15377600,5492.0,7467600,-2850400
2023-10-20,DELTACORP,2023-10-26,128.5,131.05,127.15,130.6,130.6,823200,294.0,10318000,-414400
2023-10-19,DELTACORP,2023-10-26,129.55,130.15,127.15,128.75,128.75,193200,69.0,10732400,-98000
2023-10-18,DELTACORP,2023-10-26,131.0,131.0,129.2,129.95,129.95,148400,53.0,10830400,-148400
2023-10-17,DELTACORP,2023-10-26,129.5,132.25,129.15,131.7,131.7,641200,229.0,10978800,-641200
2023-10-16,DELTACORP,2023-10-26,134.5,134.85,125.05,127.6,127.6,1369200,489.0,11620000,-1369200
2023-10-13,DELTACORP,2023-10-26,141.5,142.1,139.45,140.35,140.35,445200,159.0,12989200,-445200
2023-10-12,DELTACORP,2023-10-26,144.55,149.55,141.2,141.75,141.75,13465200,4809.0,13434400,3012800
2023-10-11,DELTACORP,2023-10-26,144.65,144.9,141.75,143.3,143.3,383600,137.0,10421600,-344400
2023-10-10,DELTACORP,2023-10-26,143.4,143.9,142.2,143.15,143.15,212800,76.0,10766000,-210000
2023-10-09,DELTACORP,2023-10-26,137.0,144.95,135.55,141.95,141.95,1209600,432.0,10976000,-1209600
2023-10-06,DELTACORP,2023-10-26,138.45,138.75,137.6,138.0,138.0,291200,104.0,12185600,-288400
2023-10-05,DELTACORP,2023-10-26,138.25,138.95,135.5,136.75,136.75,616000,220.0,12474000,-610400
2023-10-04,DELTACORP,2023-10-26,137.5,139.5,134.15,136.6,136.6,9704800,3466.0,13084400,518000
2023-10-03,DELTACORP,2023-10-26,142.3,146.5,137.0,137.5,137.5,9046800,3231.0,12566400,226800
2023-09-29,DELTACORP,2023-10-26,143.8,144.85,133.85,143.45,143.45,14789600,5282.0,12339600,2055200
2023-09-28,DELTACORP,2023-09-28,141.6,144.9,138.95,140.65,140.75,4897200,1749.0,2970800,-2371600
2023-09-27,DELTACORP,2023-09-28,139.7,142.25,138.75,140.7,140.7,1024800,366.0,5342400,-1010800
2023-09-26,DELTACORP,2023-09-28,140.9,144.6,135.0,140.25,140.25,19216400,6863.0,6353200,-3900400
2023-09-25,DELTACORP,2023-09-28,158.0,158.0,140.45,143.2,143.2,4662000,1665.0,10253600,-2416400
2023-09-22,DELTACORP,2023-09-28,175.8,177.0,171.7,175.55,175.55,641200,229.0,12670000,-641200
2023-09-21,DELTACORP,2023-09-28,175.65,177.65,175.0,175.55,175.55,579600,207.0,13311200,-579600
2023-09-20,DELTACORP,2023-09-28,175.55,177.55,174.65,177.0,177.0,621600,222.0,13890800,-621600
2023-09-18,DELTACORP,2023-09-28,182.0,182.0,175.55,177.45,177.45,8041600,2872.0,14512400,1741600
2023-09-15,DELTACORP,2023-09-28,182.05,182.05,180.5,181.45,181.45,140000,50.0,12770800,-137200
2023-09-14,DELTACORP,2023-09-28,180.7,182.95,180.0,182.15,182.15,170800,61.0,12908000,-142800
2023-09-13,DELTACORP,2023-09-28,175.05,181.8,175.05,179.2,179.2,646800,231.0,13050800,-646800
2023-09-12,DELTACORP,2023-09-28,186.15,186.85,177.05,178.5,178.5,1458800,521.0,13697600,-1456000
2023-09-11,DELTACORP,2023-09-28,185.95,187.8,184.0,185.15,185.15,378000,135.0,15153600,-378000
2023-09-08,DELTACORP,2023-09-28,185.8,187.1,184.95,185.5,185.5,439600,157.0,15531600,-439600
2023-09-07,DELTACORP,2023-09-28,187.0,188.75,184.3,185.35,185.35,672000,240.0,15971200,-666400
2023-09-06,DELTACORP,2023-09-28,186.9,190.5,184.2,186.2,186.2,1545600,552.0,16637600,-1540000
2023-09-05,DELTACORP,2023-09-28,189.4,192.1,185.2,187.2,187.2,11720800,4186.0,18177600,2839200
2023-09-04,DELTACORP,2023-09-28,185.0,191.2,183.3,188.45,188.45,10449600,3732.0,15338400,2646000
2023-09-01,DELTACORP,2023-09-28,182.75,184.7,181.9,184.15,184.15,3088400,1103.0,12692400,814800
2023-08-31,DELTACORP,2023-08-31,182.5,183.1,180.0,181.1,181.0,4835600,1727.0,725200,-2396800
2023-08-30,DELTACORP,2023-08-31,182.65,184.5,181.35,182.0,182.0,4373600,1562.0,3122000,-2438800
