Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2012-11-30,DIVISLAB,1184.9,152.97,7.95,276.76
2016-10-27,DIVISLAB,1276.2,980.0,2.22,1240.0
2016-12-30,DIVISLAB,783.7,169.95,1.79,-72.13999999999999
2017-01-09,DIVISLAB,734.15,165.41,5.28,15.409999999999997
2017-01-23,DIVISLAB,687.05,140.37,3.54,79.50999999999999
2017-01-24,DIVISLAB,683.05,262.65,3.52,161.45000000000005
2017-01-25,DIVISLAB,673.3,504.08,3.87,285.72
2017-02-02,DIVISLAB,737.65,242.74,2.01,-80.64000000000001
2017-03-23,DIVISLAB,622.55,224.49,3.93,-23.980000000000015
2017-03-24,DIVISLAB,623.45,614.29,1.31,9.519999999999982
2017-04-05,DIVISLAB,631.75,315.38,2.11,225.65
2017-05-25,DIVISLAB,549.75,170.24,1.98,65.47
2017-09-20,DIVISLAB,942.8,187.13,8.12,-100.75
2018-03-28,DIVISLAB,1090.2,233.33,1.96,233.34
2018-05-31,DIVISLAB,1047.45,535.48,4.76,1000.0
2018-06-12,DIVISLAB,1064.15,175.0,1.07,68.18
2018-10-30,DIVISLAB,1485.75,103.92,2.03,-24.31
2018-11-29,DIVISLAB,1456.55,76.92,2.1,84.61999999999999
2018-11-30,DIVISLAB,1439.35,258.8,21.19,231.71
2019-03-28,DIVISLAB,1654.55,172.58,2.4,214.52
2020-03-20,DIVISLAB,1994.9,64.62,1.38,6.149999999999992
2020-03-23,DIVISLAB,1851.75,98.39,1.25,103.22
2020-07-03,DIVISLAB,2190.45,80.53,1.08,15.049999999999995
2020-11-27,DIVISLAB,3605.1,115.38,11.72,157.81
2020-12-11,DIVISLAB,3642.1,55.3,1.07,25.760000000000005
2020-12-18,DIVISLAB,3832.9,125.42,1.14,67.8
2021-02-26,DIVISLAB,3363.1,48.44,2.06,43.120000000000005
2021-03-19,DIVISLAB,3370.3,39.24,2.15,35.410000000000004
2021-09-28,DIVISLAB,4784.05,22.96,1.14,35.2
2021-12-15,DIVISLAB,4588.7,55.36,1.53,81.25000000000001
2021-12-16,DIVISLAB,4601.45,185.71,1.19,664.29
2022-01-21,DIVISLAB,4179.4,21.56,1.46,32.72
2022-05-26,DIVISLAB,3448.7,34.56,2.43,12.349999999999994
2022-08-23,DIVISLAB,3532.3,30.15,1.34,68.38
2022-11-09,DIVISLAB,3298.75,41.98,4.41,30.910000000000004
2022-11-30,DIVISLAB,3404.7,214.29,1.48,490.47
2024-06-05,DIVISLAB,4502.7,17.13,1.06,19.930000000000003
2024-08-05,DIVISLAB,4826.95,35.86,1.56,29.959999999999997
