Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,DIVISLAB,2024-12-26,5970.65,6071.2,5957.4,5976.4,5976.4,590000.0,5900.0,3854500,3300
2024-12-11,DIVISLAB,2024-12-26,5955.15,5979.75,5920.0,5957.1,5957.1,419700.0,4197.0,3851200,15400
2024-12-10,DIVISLAB,2024-12-26,6010.0,6040.95,5890.6,5943.65,5943.65,624600.0,6246.0,3835800,-25100
2024-12-09,DIVISLAB,2024-12-26,6000.0,6057.7,5952.0,5977.25,5977.25,1124700.0,11247.0,3860900,230600
2024-12-06,DIVISLAB,2024-12-26,6160.0,6177.65,6114.05,6147.35,6147.35,629100.0,6291.0,3630300,-36800
2024-12-05,DIVISLAB,2024-12-26,6215.1,6215.1,5904.0,6110.45,6110.45,2486300.0,24863.0,3667100,150600
2024-12-04,DIVISLAB,2024-12-26,6246.15,6285.0,6194.75,6273.9,6273.9,493800.0,4938.0,3516500,-21100
2024-12-03,DIVISLAB,2024-12-26,6294.75,6302.15,6221.6,6230.4,6230.4,558500.0,5585.0,3537600,1500
2024-12-02,DIVISLAB,2024-12-26,6211.45,6305.85,6191.0,6278.5,6278.5,698300.0,6983.0,3536100,21500
2024-11-29,DIVISLAB,2024-12-26,6020.6,6249.3,6020.6,6215.4,6215.4,1565100.0,15651.0,3514600,377100
2024-11-28,DIVISLAB,2024-11-28,5992.1,6016.05,5907.3,5962.1,5951.85,631300.0,6313.0,83800,-373100
2024-11-27,DIVISLAB,2024-11-28,6112.7,6113.05,6001.5,6012.6,6012.6,866400.0,8664.0,456900,-679600
2024-11-26,DIVISLAB,2024-11-28,6131.15,6157.8,6017.15,6083.9,6083.9,1241300.0,12413.0,1136500,-893800
2024-11-25,DIVISLAB,2024-11-28,6040.0,6165.0,6022.55,6135.6,6135.6,1605200.0,16052.0,2030300,-900500
2024-11-22,DIVISLAB,2024-11-28,6014.4,6049.0,5974.75,6012.0,6012.0,797900.0,7979.0,2930800,-113400
2024-11-21,DIVISLAB,2024-11-28,5864.1,5994.8,5864.1,5975.85,5975.85,714600.0,7146.0,3044200,22200
2024-11-19,DIVISLAB,2024-11-28,5763.85,5958.0,5763.85,5900.5,5900.5,897500.0,8975.0,3022000,-31700
2024-11-18,DIVISLAB,2024-11-28,5712.0,5812.85,5700.9,5764.4,5764.4,535200.0,5352.0,3053700,-83800
2024-11-14,DIVISLAB,2024-11-28,5792.0,5835.0,5725.2,5749.95,5749.95,413600.0,4136.0,3137500,-117300
2024-11-13,DIVISLAB,2024-11-28,5781.65,5836.85,5720.0,5783.1,5783.1,688100.0,6881.0,3254800,-47100
2024-11-12,DIVISLAB,2024-11-28,5925.25,5956.8,5796.0,5814.9,5814.9,738700.0,7387.0,3301900,-198900
2024-11-11,DIVISLAB,2024-11-28,6133.2,6133.2,5791.1,5901.0,5901.0,2145600.0,21456.0,3500800,-202800
2024-11-08,DIVISLAB,2024-11-28,5987.55,6083.95,5892.0,5954.4,5954.4,1597400.0,15974.0,3703600,157800
2024-11-07,DIVISLAB,2024-11-28,6007.3,6040.0,5907.75,5992.55,5992.55,982700.0,9827.0,3545800,403400
2024-11-06,DIVISLAB,2024-11-28,5840.0,6035.8,5840.0,5991.7,5991.7,914000.0,9140.0,3142400,-15000
2024-11-05,DIVISLAB,2024-11-28,5888.8,5919.1,5706.05,5835.3,5835.3,744000.0,7440.0,3157400,20300
2024-11-04,DIVISLAB,2024-11-28,5892.15,5957.35,5855.6,5925.35,5925.35,510100.0,5101.0,3137100,47500
2024-11-01,DIVISLAB,2024-11-28,5915.5,5949.0,5895.0,5930.8,5930.8,45900.0,459.0,3089600,200
2024-10-31,DIVISLAB,2024-10-31,5912.55,5922.95,5854.9,5898.3,5889.7,766200.0,3831.0,295600,-376800
2024-10-30,DIVISLAB,2024-10-31,5808.15,5930.8,5801.35,5883.1,5883.1,1126000.0,5630.0,672400,-815600
2024-10-29,DIVISLAB,2024-10-31,5843.55,5857.15,5756.6,5811.3,5811.3,1146800.0,5734.0,1488000,-746000
2024-10-28,DIVISLAB,2024-10-31,5725.0,5862.45,5720.05,5830.6,5830.6,1048400.0,5242.0,2234000,-397600
2024-10-25,DIVISLAB,2024-10-31,5750.75,5837.25,5747.25,5792.65,5792.65,693400.0,3467.0,2631600,-85200
2024-10-24,DIVISLAB,2024-10-31,5783.85,5785.0,5711.05,5757.8,5757.8,481400.0,2407.0,2716800,6800
2024-10-23,DIVISLAB,2024-10-31,5831.55,5875.4,5736.2,5746.1,5746.1,641200.0,3206.0,2710000,24400
2024-10-22,DIVISLAB,2024-10-31,5950.0,5976.45,5825.25,5837.5,5837.5,742200.0,3711.0,2685600,-23200
2024-10-21,DIVISLAB,2024-10-31,6068.4,6130.3,5930.0,5940.7,5940.7,843800.0,4219.0,2708800,-78000
2024-10-18,DIVISLAB,2024-10-31,6099.45,6115.0,6033.2,6049.35,6049.35,656800.0,3284.0,2786800,-138400
2024-10-17,DIVISLAB,2024-10-31,6159.75,6190.65,6070.05,6084.8,6084.8,801400.0,4007.0,2925200,-221000
2024-10-16,DIVISLAB,2024-10-31,6130.4,6159.7,6080.0,6141.75,6141.75,1013600.0,5068.0,3146200,-328600
2024-10-15,DIVISLAB,2024-10-31,6210.0,6291.4,6032.25,6134.15,6134.15,2952400.0,14762.0,3474800,-324000
2024-10-14,DIVISLAB,2024-10-31,6158.65,6246.0,6134.55,6225.5,6225.5,887400.0,4437.0,3798800,32800
2024-10-11,DIVISLAB,2024-10-31,5998.95,6169.35,5987.05,6150.95,6150.95,1808000.0,9040.0,3766000,116600
2024-10-10,DIVISLAB,2024-10-31,5976.05,6049.95,5947.1,5972.8,5972.8,1026800.0,5134.0,3649400,-125400
