DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,64.67241379310344,Bullish,29,29
High,High,Medium,51.42499999999998,Bullish,8,8
High,High,Very Low,91.71551724137932,Bullish,145,145
High,Low,Low,48.816666666666755,Bullish,3,3
High,Low,Medium,67.84696969696967,Bearish,33,33
High,Medium,Low,48.17717391304351,Bearish,46,46
High,Medium,Medium,36.99333333333336,Bearish,15,15
High,Medium,Very Low,65.21428571428574,Bearish,14,14
High,Very High,High,71.39767441860464,Bearish,43,43
High,Very High,Low,68.32916666666664,Bearish,12,12
High,Very High,Medium,71.96249999999998,Bullish,32,32
High,Very High,Very High,86.84999999999997,Bullish,45,45
High,Very High,Very Low,97.14999999999996,Bullish,7,7
High,Very Low,Medium,59.90714285714289,Bearish,21,21
High,Very Low,Very Low,72.62857142857148,Bullish,7,7
Low,High,High,58.727272727272755,Bullish,22,22
Low,High,Very High,75.23333333333329,Bullish,21,21
Low,Low,Low,38.19800000000001,Bearish,50,50
Low,Low,Medium,30.870000000000026,Bullish,10,10
Low,Low,Very Low,48.09827586206898,Bearish,116,116
Low,Medium,High,33.32500000000002,Bearish,12,12
Low,Medium,Low,28.620192307692314,Bullish,52,52
Low,Medium,Medium,32.19245283018868,Bearish,53,53
Low,Medium,Very Low,35.115384615384635,Bearish,26,26
Low,Very High,Very High,52.12812500000001,Bullish,16,16
Low,Very Low,Low,62.92236842105259,Bearish,38,38
Low,Very Low,Medium,47.32884615384613,Bearish,26,26
Low,Very Low,Very Low,62.71000000000003,Bearish,15,15
Medium,High,High,63.15294117647053,Bearish,17,17
Medium,High,Low,63.18461538461533,Bearish,13,13
Medium,High,Medium,59.807500000000005,Bearish,20,20
Medium,High,Very High,26.225000000000023,Bearish,2,2
Medium,High,Very Low,47.95000000000007,Bullish,10,10
Medium,Low,Low,46.37179487179485,Bearish,39,39
Medium,Low,Medium,44.16666666666659,Bullish,3,3
Medium,Low,Very Low,55.18823529411765,Bearish,34,34
Medium,Medium,Low,32.15217391304347,Bearish,23,23
Medium,Medium,Medium,63.27499999999992,Bearish,2,2
Medium,Medium,Very Low,52.716055045871556,Bullish,218,218
Medium,Very High,High,133.41666666666674,Bearish,6,6
Medium,Very High,Very High,88.90526315789471,Bearish,38,38
Medium,Very Low,Low,31.19000000000001,Bullish,5,5
Medium,Very Low,Medium,61.99761904761905,Bearish,21,21
Medium,Very Low,Very Low,89.75714285714282,Bullish,7,7
Very High,High,Low,81.39999999999998,Bearish,39,39
Very High,High,Medium,70.2333333333333,Bullish,69,69
Very High,High,Very Low,105.01874999999993,Bearish,16,16
Very High,Low,Medium,77.5,Bearish,27,27
Very High,Medium,Low,27.450000000000045,Bearish,1,1
Very High,Medium,Medium,55.26200000000003,Bearish,50,50
Very High,Very High,High,85.98125000000005,Bullish,24,24
Very High,Very High,Low,83.09313725490192,Bearish,51,51
Very High,Very High,Medium,86.52291666666666,Bearish,72,72
Very High,Very High,Very High,93.64166666666662,Bearish,18,18
Very High,Very High,Very Low,86.0623188405797,Bearish,69,69
Very High,Very Low,Medium,63.03421052631582,Bullish,19,19
Very High,Very Low,Very Low,92.9666666666667,Bullish,3,3
Very Low,High,Very High,76.87631578947367,Bearish,38,38
Very Low,Low,High,45.555882352941154,Bullish,51,51
Very Low,Low,Low,43.344230769230776,Bearish,26,26
Very Low,Low,Medium,42.56443298969073,Bearish,97,97
Very Low,Low,Very High,52.49444444444446,Bearish,18,18
Very Low,Low,Very Low,42.30000000000003,Bearish,3,3
Very Low,Medium,High,55.42499999999999,Bearish,20,20
Very Low,Medium,Medium,21.706250000000026,Bearish,8,8
Very Low,Medium,Very High,49.16666666666666,Bullish,36,36
Very Low,Very High,Very High,74.30833333333334,Bullish,30,30
Very Low,Very Low,High,45.871875000000024,Bearish,16,16
Very Low,Very Low,Low,52.03333333333334,Bullish,39,39
Very Low,Very Low,Medium,46.06607142857144,Bearish,28,28
Very Low,Very Low,Very High,72.42500000000004,Bullish,16,16
Very Low,Very Low,Very Low,52.61081081081081,Bearish,37,37
