Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2011-02-08,DLF,239.3,-31.21,1.31,-61.7
2011-06-30,DLF,210.45,575.0,1.76,1625.0
2011-08-18,DLF,182.4,58.16,1.24,29.78
2012-02-09,DLF,232.85,41.27,1.55,40.74
2013-02-21,DLF,272.45,93.67,2.49,63.92
2013-03-06,DLF,270.1,44.44,1.29,31.0
2013-06-12,DLF,189.95,52.5,1.21,48.33
2014-03-27,DLF,174.9,4950.0,1.91,4600.0
2014-05-05,DLF,139.05,322.73,1.23,236.36
2014-05-16,DLF,169.7,119.62,1.52,-46.89
2014-06-02,DLF,209.35,167.16,1.73,91.04999999999998
2014-07-31,DLF,198.25,222.03,2.42,188.14
2014-10-28,DLF,111.3,2060.0,1.29,520.0
2014-11-27,DLF,148.25,155.96,1.9,18.349999999999994
2015-05-29,DLF,117.75,412.0,5.8,748.0
2015-06-03,DLF,110.55,279.73,2.5,58.10999999999996
2015-11-19,DLF,103.3,424.14,1.58,120.69000000000004
2016-03-02,DLF,107.8,356.78,4.27,5.080000000000041
2016-06-30,DLF,149.95,818.18,1.5,-136.3599999999999
2016-11-10,DLF,125.5,438.2,4.34,49.44
2017-05-09,DLF,199.5,463.64,1.34,-57.579999999999984
2018-09-26,DLF,182.6,97.48,1.33,14.28
2019-04-05,DLF,201.6,278.57,1.03,89.29000000000002
2019-04-08,DLF,184.6,437.63,32.12,425.81000000000006
2019-04-12,DLF,181.85,155.3,2.66,46.22
2019-04-15,DLF,184.75,207.69,1.8,253.85
2019-10-01,DLF,144.2,134.92,1.03,-53.16999999999999
2019-11-26,DLF,220.05,265.82,24.38,356.12000000000006
2020-03-09,DLF,182.35,286.36,1.18,250.0
2020-11-05,DLF,165.8,592.86,1.44,435.7099999999999
2020-12-03,DLF,203.0,238.64,1.19,31.81
2021-01-12,DLF,267.55,145.09,2.06,-105.4
2021-03-05,DLF,318.1,192.06,1.55,53.97
2021-04-13,DLF,255.7,123.08,1.03,-24.039999999999992
2021-07-27,DLF,337.0,87.07,1.19,-52.86999999999999
2021-07-29,DLF,340.05,113.92,1.54,81.02
2021-08-25,DLF,307.3,140.74,1.33,351.85
2021-09-02,DLF,338.9,104.84,1.43,125.81
2021-09-23,DLF,401.85,94.67,5.26,-48.690000000000005
2022-03-08,DLF,329.6,54.64,1.55,25.260000000000005
2022-03-14,DLF,343.4,1033.33,1.82,5033.34
2023-11-30,DLF,625.85,103.88,4.38,321.36
2024-02-29,DLF,901.2,98.38,4.65,152.97
2024-05-31,DLF,815.65,31.71,3.06,117.56
2024-11-25,DLF,823.3,-2.78,1.46,104.17
