DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,4.150000000000006,Bearish,1,1
High,High,Low,12.247826086956524,Bullish,69,69
High,High,Medium,5.694444444444447,Bearish,9,9
High,High,Very Low,10.543069306930695,Bearish,101,101
High,Low,Low,9.100000000000001,Bearish,2,2
High,Low,Medium,8.28548387096774,Bearish,62,62
High,Medium,Low,9.41625,Bullish,40,40
High,Medium,Medium,8.957142857142856,Bearish,14,14
High,Medium,Very Low,9.172916666666673,Bearish,24,24
High,Very High,High,12.553571428571427,Bullish,28,28
High,Very High,Low,8.63076923076924,Bearish,13,13
High,Very High,Medium,10.847058823529414,Bearish,17,17
High,Very High,Very High,10.612857142857145,Bullish,35,35
High,Very High,Very Low,7.116666666666674,Bullish,3,3
High,Very Low,Medium,10.564130434782607,Bullish,46,46
High,Very Low,Very Low,10.0,Bearish,4,4
Low,High,High,10.738095238095235,Bearish,21,21
Low,High,Medium,5.51666666666667,Bullish,3,3
Low,High,Very High,10.190000000000001,Bullish,30,30
Low,Low,Low,7.409999999999998,Bearish,65,65
Low,Low,Medium,10.235294117647069,Bullish,17,17
Low,Low,Very Low,8.043661971830986,Bearish,71,71
Low,Medium,High,9.078571428571427,Bearish,14,14
Low,Medium,Low,14.189189189189195,Bullish,37,37
Low,Medium,Medium,11.78589743589743,Bearish,39,39
Low,Medium,Very High,9.275000000000006,Bullish,2,2
Low,Medium,Very Low,9.983333333333333,Bearish,15,15
Low,Very High,Very High,8.172340425531916,Bullish,47,47
Low,Very Low,Low,8.887142857142855,Bullish,35,35
Low,Very Low,Medium,8.284920634920633,Bearish,63,63
Low,Very Low,Very Low,9.645454545454545,Bearish,11,11
Medium,High,High,8.6875,Bearish,24,24
Medium,High,Low,7.822727272727271,Bearish,11,11
Medium,High,Medium,8.824000000000007,Bullish,25,25
Medium,High,Very Low,6.780769230769237,Bearish,13,13
Medium,Low,Low,7.691304347826086,Bullish,46,46
Medium,Low,Medium,11.033333333333331,Bearish,9,9
Medium,Low,Very Low,8.226923076923075,Bearish,13,13
Medium,Medium,Low,10.986956521739137,Bullish,23,23
Medium,Medium,Medium,5.149999999999999,Bullish,2,2
Medium,Medium,Very Low,10.453626943005183,Bearish,193,193
Medium,Very High,High,9.100000000000023,Bullish,7,7
Medium,Very High,Very High,14.96829268292683,Bearish,41,41
Medium,Very Low,Low,11.69999999999996,Bullish,2,2
Medium,Very Low,Medium,9.620689655172416,Bearish,58,58
Medium,Very Low,Very Low,8.150000000000006,Bearish,1,1
Very High,High,Low,14.909722222222221,Bearish,72,72
Very High,High,Medium,15.37635135135135,Bullish,74,74
Very High,High,Very Low,6.540000000000001,Bearish,5,5
Very High,Low,Medium,8.78203125,Bearish,64,64
Very High,Medium,Low,13.5,Bullish,1,1
Very High,Medium,Medium,8.5811320754717,Bearish,53,53
Very High,Very High,High,9.412499999999998,Bearish,8,8
Very High,Very High,Low,14.82666666666666,Bullish,45,45
Very High,Very High,Medium,17.7030303030303,Bullish,33,33
Very High,Very High,Very High,9.59117647058824,Bullish,17,17
Very High,Very High,Very Low,13.41111111111111,Bearish,27,27
Very High,Very Low,Medium,10.280147058823529,Bearish,68,68
Very High,Very Low,Very Low,6.975000000000016,Bullish,2,2
Very Low,High,Very High,7.145283018867925,Bearish,53,53
Very Low,Low,High,9.961363636363632,Bearish,44,44
Very Low,Low,Low,5.992307692307689,Bullish,13,13
Very Low,Low,Medium,8.671153846153844,Bullish,26,26
Very Low,Low,Very High,10.758163265306123,Bearish,49,49
Very Low,Low,Very Low,10.766666666666652,Bearish,3,3
Very Low,Medium,High,12.759374999999991,Bearish,16,16
Very Low,Medium,Very High,8.897142857142855,Bearish,35,35
Very Low,Very High,Very High,8.919491525423728,Bearish,59,59
Very Low,Very Low,High,7.331249999999999,Bearish,16,16
Very Low,Very Low,Low,8.299999999999999,Bullish,48,48
Very Low,Very Low,Medium,8.922826086956524,Bearish,46,46
Very Low,Very Low,Very High,7.660869565217388,Bullish,23,23
Very Low,Very Low,Very Low,7.141249999999999,Bullish,40,40
