Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,DRREDDY,2024-12-26,1242.3,1250.95,1229.55,1246.6,1246.6,1843125.0,2949.0,10403750,-16875
2024-12-11,DRREDDY,2024-12-26,1235.6,1244.55,1228.65,1240.2,1240.2,1403125.0,2245.0,10420625,206875
2024-12-10,DRREDDY,2024-12-26,1248.3,1254.55,1235.35,1240.85,1240.85,1870625.0,2993.0,10213750,-18750
2024-12-09,DRREDDY,2024-12-26,1249.1,1263.2,1245.45,1255.7,1255.7,1792500.0,2868.0,10232500,-208750
2024-12-06,DRREDDY,2024-12-26,1247.45,1256.6,1237.65,1255.3,1255.3,2181250.0,3490.0,10441250,-213125
2024-12-05,DRREDDY,2024-12-26,1220.85,1251.75,1214.4,1241.55,1241.55,5580625.0,8929.0,10654375,-530625
2024-12-04,DRREDDY,2024-12-26,1223.1,1227.45,1212.25,1219.5,1219.5,1718750.0,2750.0,11185000,138750
2024-12-03,DRREDDY,2024-12-26,1228.05,1232.7,1222.0,1227.85,1227.85,1270625.0,2033.0,11046250,-141250
2024-12-02,DRREDDY,2024-12-26,1213.2,1230.25,1209.0,1226.05,1226.05,1776875.0,2843.0,11187500,-107500
2024-11-29,DRREDDY,2024-12-26,1205.35,1223.35,1203.8,1210.5,1210.5,2809375.0,4495.0,11295000,775625
2024-11-28,DRREDDY,2024-11-28,1205.1,1206.55,1188.65,1193.8,1191.95,2421250.0,3874.0,566250,-1000000
2024-11-27,DRREDDY,2024-11-28,1210.9,1211.4,1199.0,1201.3,1201.3,3442500.0,5508.0,1566250,-2037500
2024-11-26,DRREDDY,2024-11-28,1209.0,1220.85,1202.4,1211.4,1211.4,5278750.0,8446.0,3603750,-3040000
2024-11-25,DRREDDY,2024-11-28,1232.95,1237.6,1207.4,1210.95,1210.95,3987500.0,6380.0,6643750,-1943750
2024-11-22,DRREDDY,2024-11-28,1208.9,1222.35,1189.35,1214.75,1214.75,1870000.0,2992.0,8587500,-213125
2024-11-21,DRREDDY,2024-11-28,1173.0,1208.95,1173.0,1194.7,1194.7,2651250.0,4242.0,8800625,-51875
2024-11-19,DRREDDY,2024-11-28,1200.95,1233.3,1189.3,1214.7,1214.7,1825625.0,2921.0,8852500,-370000
2024-11-18,DRREDDY,2024-11-28,1221.2,1221.2,1173.45,1196.65,1196.65,3101250.0,4962.0,9222500,118125
2024-11-14,DRREDDY,2024-11-28,1244.95,1256.0,1225.85,1229.3,1229.3,2057500.0,3292.0,9104375,-92500
2024-11-13,DRREDDY,2024-11-28,1254.4,1262.3,1242.0,1247.2,1247.2,1226250.0,1962.0,9196875,-9375
2024-11-12,DRREDDY,2024-11-28,1276.65,1289.55,1263.4,1267.35,1267.35,1241250.0,1986.0,9206250,-170625
2024-11-11,DRREDDY,2024-11-28,1283.9,1293.55,1265.35,1288.35,1288.35,1418125.0,2269.0,9377500,71875
2024-11-08,DRREDDY,2024-11-28,1285.35,1288.2,1259.75,1282.6,1282.6,2265000.0,3624.0,9305625,237500
2024-11-07,DRREDDY,2024-11-28,1300.25,1309.45,1281.35,1289.2,1289.2,2543750.0,4070.0,9068125,-83750
2024-11-06,DRREDDY,2024-11-28,1273.8,1321.65,1252.4,1304.05,1304.05,6780625.0,10849.0,9151875,-623125
2024-11-05,DRREDDY,2024-11-28,1268.85,1281.95,1242.95,1273.8,1273.8,3934375.0,6295.0,9775000,-45000
2024-11-04,DRREDDY,2024-11-28,1255.0,1278.1,1250.15,1268.85,1268.85,3297500.0,5276.0,9820000,49375
2024-11-01,DRREDDY,2024-11-28,1274.2,1288.5,1204.4,1259.1,1259.1,1066875.0,1707.0,9770625,308750
2024-10-31,DRREDDY,2024-10-31,1253.85,1282.3,1246.5,1274.45,1274.2,2160625.0,3457.0,1025000,-831875
2024-10-30,DRREDDY,2024-10-31,1264.25,1274.55,1231.4,1248.55,1248.55,3274375.0,5239.0,1856875,-1985000
2024-10-29,DRREDDY,2024-10-31,1325.0,1325.65,1262.3,1273.7,1273.7,6221250.0,9954.0,3841875,-2575625
2024-10-28,DRREDDY,2024-10-31,1310.4,1318.65,1288.5,1309.25,1309.25,5561875.0,8899.0,6417500,4582500
2024-10-25,DRREDDY,2024-10-31,6572.0,6589.0,6466.0,6506.95,6506.95,526500.0,4212.0,1835000,-74375
2024-10-24,DRREDDY,2024-10-31,6606.0,6636.55,6578.1,6602.0,6602.0,339750.0,2718.0,1909375,-46125
2024-10-23,DRREDDY,2024-10-31,6674.95,6695.15,6587.2,6605.95,6605.95,489625.0,3917.0,1955500,-70125
2024-10-22,DRREDDY,2024-10-31,6608.65,6755.35,6608.65,6661.7,6661.7,535250.0,4282.0,2025625,-67750
2024-10-21,DRREDDY,2024-10-31,6771.0,6773.15,6687.05,6696.7,6696.7,406500.0,3252.0,2093375,-63250
2024-10-18,DRREDDY,2024-10-31,6710.05,6788.2,6671.25,6770.25,6770.25,467625.0,3741.0,2156625,-26125
2024-10-17,DRREDDY,2024-10-31,6744.95,6784.7,6663.3,6712.95,6712.95,769250.0,6154.0,2182750,-64875
2024-10-16,DRREDDY,2024-10-31,6670.3,6753.15,6665.3,6728.0,6728.0,690625.0,5525.0,2247625,-92125
2024-10-15,DRREDDY,2024-10-31,6695.8,6723.45,6630.3,6637.65,6637.65,322000.0,2576.0,2339750,-2875
2024-10-14,DRREDDY,2024-10-31,6652.8,6722.95,6639.35,6692.8,6692.8,382000.0,3056.0,2342625,-4000
2024-10-11,DRREDDY,2024-10-31,6597.5,6653.0,6565.15,6628.8,6628.8,351250.0,2810.0,2346625,16500
2024-10-10,DRREDDY,2024-10-31,6710.05,6725.15,6570.75,6602.2,6602.2,612125.0,4897.0,2330125,8625
2024-10-09,DRREDDY,2024-10-31,6700.45,6780.9,6687.95,6698.25,6698.25,492875.0,3943.0,2321500,60125
2024-10-08,DRREDDY,2024-10-31,6606.1,6709.25,6606.1,6693.35,6693.35,346625.0,2773.0,2261375,59875
2024-10-07,DRREDDY,2024-10-31,6686.55,6745.95,6628.55,6655.45,6655.45,450000.0,3600.0,2201500,-42500
2024-10-04,DRREDDY,2024-10-31,6740.05,6774.1,6639.35,6660.1,6660.1,602000.0,4816.0,2244000,-39625
2024-10-03,DRREDDY,2024-10-31,6798.8,6842.0,6739.3,6777.6,6777.6,896375.0,7171.0,2283625,-63500
2024-10-01,DRREDDY,2024-10-31,6771.35,6850.85,6721.0,6788.05,6788.05,508125.0,4065.0,2347125,625
2024-09-30,DRREDDY,2024-10-31,6799.7,6834.7,6754.3,6803.05,6803.05,729000.0,5832.0,2346500,58625
2024-09-27,DRREDDY,2024-10-31,6759.0,6812.0,6701.0,6798.8,6798.8,757000.0,6056.0,2287875,-38250
2024-09-26,DRREDDY,2024-09-26,6662.15,6739.15,6662.15,6727.15,6744.4,821500.0,6572.0,353250,-319000
2024-09-25,DRREDDY,2024-09-26,6647.55,6697.3,6596.55,6683.8,6683.8,872250.0,6978.0,672250,-594375
2024-09-24,DRREDDY,2024-09-26,6674.65,6681.0,6588.75,6642.8,6642.8,996125.0,7969.0,1266625,-607750
2024-09-23,DRREDDY,2024-09-26,6573.05,6656.55,6573.05,6648.05,6648.05,1054000.0,8432.0,1874375,-566250
2024-09-20,DRREDDY,2024-09-26,6519.05,6594.35,6500.0,6562.4,6562.4,970625.0,7765.0,2440625,-341000
