Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-03-26,ESCORTS,3212.45,3223.8,3301.95,3186.35,3234.95,3237.43,275521,29749.0,86012,31.22,-0.72
2025-03-25,ESCORTS,3272.15,3280.0,3292.0,3204.0,3212.45,3243.63,97369,14949.0,19260,19.78,-0.99
2025-03-24,ESCORTS,3228.3,3235.2,3298.0,3209.05,3272.15,3258.62,96130,12930.0,22995,23.92,-0.97
2025-03-21,ESCORTS,3201.1,3198.05,3238.05,3166.0,3228.3,3213.53,169291,21051.0,67171,39.68,-0.8
2025-03-20,ESCORTS,3188.85,3205.0,3211.4,3142.1,3201.1,3182.04,109492,15032.0,26793,24.47,-0.96
2025-03-19,ESCORTS,3018.5,3037.5,3235.0,3029.95,3188.85,3168.62,390845,40809.0,80671,20.64,-0.74
2025-03-18,ESCORTS,2961.75,2971.0,3027.0,2968.5,3018.5,3011.03,95444,8742.0,52046,54.53,-0.86
2025-03-17,ESCORTS,2908.5,2908.55,2978.4,2900.05,2961.75,2951.15,60944,8111.0,19737,32.39,-0.98
2025-03-13,ESCORTS,2923.25,2947.0,2964.6,2898.3,2908.5,2922.3,81455,11309.0,33094,40.63,-0.93
2025-03-12,ESCORTS,2890.2,2901.0,2991.55,2890.2,2923.25,2927.17,186542,19034.0,66483,35.64,-0.8
2025-03-11,ESCORTS,2931.75,2921.0,2931.75,2851.0,2890.2,2886.59,391673,26088.0,244140,62.33,-0.09
2025-03-10,ESCORTS,3011.1,3010.15,3031.0,2922.3,2931.75,2968.66,231262,21886.0,109437,47.32,-0.63
2025-03-07,ESCORTS,3082.05,3082.05,3099.0,3002.2,3011.1,3039.74,107291,18106.0,43221,40.28,-0.89
2025-03-06,ESCORTS,3033.05,3040.0,3090.0,3000.0,3082.05,3069.73,176488,19231.0,69791,39.54,-0.79
2025-03-05,ESCORTS,2959.4,2979.9,3038.7,2959.4,3033.05,3004.4,75557,13371.0,23129,30.61,-0.97
2025-03-04,ESCORTS,2947.4,2940.0,2964.8,2881.25,2959.4,2939.52,54994,10259.0,10110,18.38,-1.02
2025-03-03,ESCORTS,2868.95,2909.95,2957.95,2865.15,2947.4,2915.0,121804,20776.0,18135,14.89,-0.99
2025-02-28,ESCORTS,2924.4,2900.0,2999.9,2825.2,2868.95,2866.3,136763,23610.0,49840,36.44,-0.86
2025-02-27,ESCORTS,2941.85,2923.35,2950.9,2901.0,2924.4,2917.98,163947,18303.0,71399,43.55,-0.78
2025-02-25,ESCORTS,2945.95,2950.3,2990.5,2932.65,2941.85,2955.41,176061,19008.0,80347,45.64,-0.74
2025-02-24,ESCORTS,3066.6,3050.0,3068.85,2942.0,2945.95,2967.68,253894,18393.0,162465,63.99,-0.42
2025-02-21,ESCORTS,3110.7,3124.0,3131.4,3055.0,3066.6,3083.19,90230,13026.0,36197,40.12,-0.92
2025-02-20,ESCORTS,3020.1,3020.0,3123.95,2999.4,3110.7,3086.87,101632,14600.0,19424,19.11,-0.98
2025-02-19,ESCORTS,2995.75,2985.3,3045.05,2964.1,3020.1,3016.98,58641,10183.0,11507,19.62,-1.02
2025-02-18,ESCORTS,2972.15,2951.0,3001.85,2942.05,2995.75,2976.63,203820,21067.0,101086,49.6,-0.66
2025-02-17,ESCORTS,2948.65,2948.0,3005.0,2891.5,2972.15,2965.89,98538,17692.0,24926,25.3,-0.96
2025-02-14,ESCORTS,3022.35,3027.0,3064.45,2914.0,2948.65,2971.75,76926,12007.0,13312,17.3,-1.01
2025-02-13,ESCORTS,3023.0,3027.9,3054.9,2965.0,3022.35,3026.07,245178,25534.0,101644,41.46,-0.66
2025-02-12,ESCORTS,3129.7,3145.1,3161.0,3007.55,3023.0,3041.3,469457,35301.0,230128,49.02,-0.15
2025-02-11,ESCORTS,3303.1,3200.0,3244.0,3098.55,3129.7,3157.48,826805,74178.0,268294,32.45,0.0
2025-02-10,ESCORTS,3269.7,3303.0,3349.0,3270.0,3303.1,3319.36,291371,35459.0,50242,17.24,-0.86
2025-02-07,ESCORTS,3275.4,3283.0,3324.3,3239.0,3269.7,3284.31,150501,18114.0,43954,29.21,-0.89
2025-02-06,ESCORTS,3326.05,3332.9,3354.6,3250.0,3275.4,3294.65,73180,13382.0,26969,36.85,-0.95
2025-02-05,ESCORTS,3300.85,3310.0,3385.0,3310.0,3326.05,3342.57,147784,21658.0,68129,46.1,-0.79
2025-02-04,ESCORTS,3328.65,3344.0,3380.75,3286.2,3300.85,3314.89,167952,19471.0,75178,44.76,-0.76
2025-02-03,ESCORTS,3450.15,3432.95,3437.1,3305.0,3328.65,3337.6,269358,46987.0,125827,46.71,-0.56
2025-02-01,ESCORTS,3623.45,3630.0,3676.5,3435.15,3450.15,3497.39,473087,48330.0,165286,34.94,-0.41
2025-01-31,ESCORTS,3590.95,3600.0,3656.0,3566.05,3623.45,3606.87,165511,27613.0,74690,45.13,-0.77
2025-01-30,ESCORTS,3533.95,3545.0,3603.85,3506.75,3590.95,3561.99,137480,18522.0,43209,31.43,-0.89
2025-01-29,ESCORTS,3483.6,3485.0,3541.95,3474.9,3533.95,3522.0,70231,10852.0,13991,19.92,-1.01
2025-01-28,ESCORTS,3367.2,3370.0,3515.0,3361.5,3483.6,3433.66,155973,21411.0,34824,22.33,-0.92
2025-01-27,ESCORTS,3466.3,3435.0,3443.95,3338.15,3367.2,3392.58,89489,14172.0,28095,31.39,-0.95
2025-01-24,ESCORTS,3588.4,3581.2,3610.6,3460.0,3466.3,3528.47,71203,12166.0,14083,19.78,-1.01
2025-01-23,ESCORTS,3570.75,3549.7,3628.95,3525.55,3588.4,3594.07,184128,30467.0,63705,34.6,-0.81
2025-01-22,ESCORTS,3573.65,3585.25,3613.4,3549.4,3570.75,3575.37,142630,17562.0,75128,52.67,-0.76
2025-01-21,ESCORTS,3575.4,3579.25,3611.5,3531.95,3573.65,3578.19,221433,26379.0,84591,38.2,-0.73
2025-01-20,ESCORTS,3600.7,3615.75,3624.95,3541.55,3575.4,3571.12,105561,15248.0,29290,27.75,-0.95
2025-01-17,ESCORTS,3554.25,3554.25,3617.4,3536.0,3600.7,3583.92,178487,21462.0,68752,38.52,-0.79
2025-01-16,ESCORTS,3478.75,3500.0,3591.8,3471.6,3554.25,3543.29,259736,27372.0,102084,39.3,-0.66
2025-01-15,ESCORTS,3439.0,3465.0,3500.0,3436.1,3478.75,3478.09,274614,29877.0,117147,42.66,-0.6
2025-01-14,ESCORTS,3298.1,3302.2,3459.45,3295.75,3439.0,3421.56,261047,27430.0,131705,50.45,-0.54
2025-01-13,ESCORTS,3405.9,3384.5,3397.9,3272.35,3298.1,3312.76,163058,19166.0,62973,38.62,-0.81
2025-01-10,ESCORTS,3389.6,3396.0,3431.85,3327.7,3405.9,3395.75,243845,26313.0,116039,47.59,-0.6
2025-01-09,ESCORTS,3340.55,3364.0,3422.0,3316.7,3389.6,3382.54,241518,28612.0,80317,33.26,-0.74
2025-01-08,ESCORTS,3337.95,3335.0,3363.0,3263.15,3340.55,3317.49,109521,18223.0,38514,35.17,-0.91
2025-01-07,ESCORTS,3335.9,3330.0,3368.95,3321.25,3337.95,3341.56,73195,11732.0,15096,20.62,-1.0
2025-01-06,ESCORTS,3371.9,3381.15,3381.15,3310.0,3335.9,3340.7,141279,13865.0,63186,44.72,-0.81
2025-01-03,ESCORTS,3352.05,3350.0,3409.0,3339.0,3371.9,3378.52,429505,52143.0,205755,47.91,-0.25
2025-01-02,ESCORTS,3299.45,3324.0,3366.0,3296.0,3352.05,3339.37,260903,24317.0,125545,48.12,-0.56
2025-01-01,ESCORTS,3332.55,3329.05,3329.05,3222.6,3299.45,3270.81,374951,44035.0,78567,20.95,-0.75
2024-12-31,ESCORTS,3266.15,3260.0,3348.75,3250.0,3332.55,3310.66,195012,24439.0,78718,40.37,-0.75
2024-12-30,ESCORTS,3258.4,3259.1,3325.0,3246.1,3266.15,3285.83,267368,37881.0,108116,40.44,-0.63
2024-12-27,ESCORTS,3151.1,3161.55,3336.8,3161.55,3258.4,3284.36,1362013,112166.0,241359,17.72,-0.11
2024-12-26,ESCORTS,3156.15,3156.15,3177.25,3112.0,3151.1,3143.1,128388,15357.0,50817,39.58,-0.86
2024-12-24,ESCORTS,3143.6,3147.2,3185.45,3102.0,3156.15,3146.64,138673,19998.0,38998,28.12,-0.91
2024-12-23,ESCORTS,3162.05,3180.75,3224.65,3133.0,3143.6,3180.01,188314,26537.0,51201,27.19,-0.86
2024-12-20,ESCORTS,3283.9,3279.9,3302.8,3149.95,3162.05,3217.65,261515,31418.0,118865,45.45,-0.59
2024-12-19,ESCORTS,3360.85,3350.0,3350.0,3276.4,3283.9,3299.14,138774,19321.0,48050,34.62,-0.87
2024-12-18,ESCORTS,3344.25,3332.0,3375.1,3297.25,3360.85,3341.66,131235,19210.0,39910,30.41,-0.9
2024-12-17,ESCORTS,3432.4,3429.55,3470.0,3322.0,3344.25,3365.2,345254,45829.0,182059,52.73,-0.34
2024-12-16,ESCORTS,3440.05,3457.9,3459.65,3400.0,3432.4,3431.55,155304,32791.0,83610,53.84,-0.73
2024-12-13,ESCORTS,3438.45,3425.0,3451.85,3382.0,3440.05,3420.65,137213,22161.0,59274,43.2,-0.83
2024-12-12,ESCORTS,3494.4,3494.4,3508.0,3433.35,3438.45,3456.85,87396,19917.0,39676,45.4,-0.9
2024-12-11,ESCORTS,3512.1,3505.0,3546.7,3485.5,3494.4,3509.62,108820,14368.0,52009,47.79,-0.86
2024-12-10,ESCORTS,3546.4,3531.0,3564.15,3501.2,3512.1,3532.07,97820,15149.0,38442,39.3,-0.91
2024-12-09,ESCORTS,3524.8,3531.0,3580.0,3521.55,3546.4,3550.42,133373,20186.0,46051,34.53,-0.88
2024-12-06,ESCORTS,3438.0,3440.0,3534.9,3440.0,3524.8,3498.97,264216,26755.0,62840,23.78,-0.81
2024-12-05,ESCORTS,3451.25,3456.0,3484.75,3380.35,3438.0,3428.89,209537,19636.0,77798,37.13,-0.75
2024-12-04,ESCORTS,3517.05,3520.0,3539.95,3436.65,3451.25,3467.69,176179,23110.0,60248,34.2,-0.82
2024-12-03,ESCORTS,3527.85,3539.95,3561.35,3506.05,3517.05,3519.46,156421,21227.0,79174,50.62,-0.75
2024-12-02,ESCORTS,3553.9,3534.05,3560.0,3430.6,3527.85,3510.02,158680,21287.0,52641,33.17,-0.85
2024-11-29,ESCORTS,3513.35,3517.1,3568.55,3515.0,3553.9,3541.49,59622,10880.0,18568,31.14,-0.99
2024-11-28,ESCORTS,3600.65,3603.05,3615.1,3492.4,3513.35,3543.19,154716,29604.0,58197,37.62,-0.83
2024-11-27,ESCORTS,3618.65,3605.0,3634.45,3582.3,3600.65,3610.6,126271,19983.0,51189,40.54,-0.86
2024-11-26,ESCORTS,3615.5,3615.5,3634.0,3592.05,3618.65,3617.96,176185,52782.0,78719,44.68,-0.75
2024-11-25,ESCORTS,3510.4,3561.0,3663.15,3560.0,3615.5,3618.62,155411,25496.0,38392,24.7,-0.91
2024-11-22,ESCORTS,3454.4,3459.0,3527.3,3448.9,3510.4,3496.99,153988,25568.0,78085,50.71,-0.75
2024-11-21,ESCORTS,3494.15,3485.0,3489.75,3404.5,3454.4,3441.49,121919,21851.0,46611,38.23,-0.88
2024-11-19,ESCORTS,3441.35,3440.0,3533.45,3440.0,3494.15,3503.15,99096,15689.0,32596,32.89,-0.93
2024-11-18,ESCORTS,3503.25,3509.95,3537.9,3435.0,3441.35,3472.96,65265,10957.0,17588,26.95,-0.99
2024-11-14,ESCORTS,3495.25,3490.15,3570.0,3474.65,3503.25,3511.76,86134,12033.0,21021,24.4,-0.98
2024-11-13,ESCORTS,3559.45,3564.0,3571.9,3480.0,3495.25,3511.81,111810,19582.0,32351,28.93,-0.93
2024-11-12,ESCORTS,3620.9,3635.0,3703.95,3535.0,3559.45,3614.51,158647,21060.0,48909,30.83,-0.87
2024-11-11,ESCORTS,3635.5,3613.6,3667.8,3596.1,3620.9,3640.14,117048,23759.0,42963,36.71,-0.89
2024-11-08,ESCORTS,3643.65,3680.0,3689.8,3561.0,3635.5,3618.91,233793,25653.0,26971,11.54,-0.95
2024-11-07,ESCORTS,3751.4,3751.4,3762.95,3600.0,3643.65,3660.82,612930,62825.0,124608,20.33,-0.57
2024-11-06,ESCORTS,3706.05,3715.95,3774.2,3686.2,3751.4,3738.17,118432,15382.0,40457,34.16,-0.9
2024-11-05,ESCORTS,3739.1,3750.55,3771.9,3653.1,3706.05,3707.14,162180,23084.0,44954,27.72,-0.88
2024-11-04,ESCORTS,3796.1,3796.0,3796.0,3674.55,3739.1,3722.39,208225,25691.0,78063,37.49,-0.75
2024-11-01,ESCORTS,3745.1,3800.0,3825.0,3656.65,3796.1,3767.9,75148,5687.0,10690,14.23,-1.02
2024-10-31,ESCORTS,3633.75,3629.95,3777.0,3610.2,3745.1,3709.21,350879,36777.0,73625,20.98,-0.77
2024-10-30,ESCORTS,3541.5,3547.0,3700.0,3528.3,3633.75,3640.9,421680,37625.0,125296,29.71,-0.57
2024-10-29,ESCORTS,3506.15,3520.0,3679.5,3506.15,3541.5,3591.44,600974,40858.0,156525,26.05,-0.44
2024-10-28,ESCORTS,3500.4,3500.0,3539.45,3454.5,3506.15,3504.96,192702,15472.0,65833,34.16,-0.8
2024-10-25,ESCORTS,3494.55,3489.0,3554.0,3466.05,3500.4,3507.78,381990,38433.0,131396,34.4,-0.54
2024-10-24,ESCORTS,3701.2,3595.0,3595.0,3346.0,3494.55,3463.96,1595629,119951.0,370092,23.19,0.4
2024-10-23,ESCORTS,3671.7,3660.05,3741.95,3645.55,3701.2,3699.0,202600,18592.0,118644,58.56,-0.59
2024-10-22,ESCORTS,3743.4,3741.0,3774.85,3660.0,3671.7,3714.16,215907,21495.0,100799,46.69,-0.66
2024-10-21,ESCORTS,3815.4,3815.4,3825.85,3733.95,3743.4,3778.31,104074,13054.0,33495,32.18,-0.93
2024-10-18,ESCORTS,3789.0,3767.0,3835.25,3701.0,3815.4,3794.69,194550,22353.0,50884,26.15,-0.86
2024-10-17,ESCORTS,3878.65,3878.65,3878.65,3762.05,3789.0,3795.08,164414,20452.0,55778,33.93,-0.84
2024-10-16,ESCORTS,3932.0,3925.4,3956.25,3860.05,3878.65,3895.76,97347,14651.0,25807,26.51,-0.96
2024-10-15,ESCORTS,3965.7,3990.2,4014.85,3881.6,3932.0,3937.21,151439,26583.0,66396,43.84,-0.8
2024-10-14,ESCORTS,3937.95,3954.55,4000.0,3894.35,3965.7,3953.71,190540,23170.0,73733,38.7,-0.77
2024-10-11,ESCORTS,3973.8,3973.8,3980.5,3899.7,3937.95,3928.85,210348,22739.0,102287,48.63,-0.66
2024-10-10,ESCORTS,4045.1,4068.0,4084.15,3964.05,3973.8,4014.33,180370,29650.0,64932,36.0,-0.8
2024-10-09,ESCORTS,3855.4,3915.0,4075.8,3905.6,4045.1,4015.55,470400,46316.0,124016,26.36,-0.57
2024-10-08,ESCORTS,3849.35,3860.0,3912.9,3797.05,3855.4,3858.22,317796,45372.0,152795,48.08,-0.46
2024-10-07,ESCORTS,4015.65,4024.9,4032.6,3822.9,3849.35,3898.49,213505,39506.0,78633,36.83,-0.75
2024-10-04,ESCORTS,4152.05,4127.4,4158.7,4001.25,4015.65,4076.4,162454,27253.0,54124,33.32,-0.85
2024-10-03,ESCORTS,4209.2,4185.0,4224.8,4115.05,4152.05,4166.21,182135,30975.0,68912,37.84,-0.79
2024-10-01,ESCORTS,4268.8,4268.8,4340.95,4156.1,4209.2,4223.83,262102,32466.0,108248,41.3,-0.63
2024-09-30,ESCORTS,4328.0,4328.0,4348.9,4230.0,4268.8,4262.91,208230,34418.0,79586,38.22,-0.75
2024-09-27,ESCORTS,4351.35,4351.35,4420.0,4292.0,4328.0,4352.93,356453,33047.0,134013,37.6,-0.53
2024-09-26,ESCORTS,4374.7,4370.05,4391.65,4145.0,4351.35,4335.84,227760,21721.0,61107,26.83,-0.82
2024-09-25,ESCORTS,4349.3,4325.1,4384.0,4297.55,4374.7,4349.16,282970,29886.0,77931,27.54,-0.75
2024-09-24,ESCORTS,4233.9,4270.0,4372.15,4270.0,4349.3,4329.97,930475,86444.0,260100,27.95,-0.03
2024-09-23,ESCORTS,4079.25,4105.95,4252.7,4079.25,4233.9,4173.07,543508,48164.0,163097,30.01,-0.42
2024-09-20,ESCORTS,3816.75,3835.95,4097.4,3820.9,4079.25,4037.85,1701708,133163.0,450288,26.46,0.72
2024-09-19,ESCORTS,3798.25,3830.0,3917.0,3760.0,3816.75,3835.96,514007,42495.0,184889,35.97,-0.33
2024-09-18,ESCORTS,3886.75,3899.8,3910.0,3783.15,3798.25,3843.14,129279,21503.0,49960,38.65,-0.86
2024-09-17,ESCORTS,3848.1,3880.0,3929.3,3830.0,3886.75,3878.69,311425,32827.0,124090,39.85,-0.57
2024-09-16,ESCORTS,3812.55,3815.6,3869.5,3806.0,3848.1,3844.82,138899,21360.0,64774,46.63,-0.81
2024-09-13,ESCORTS,3791.25,3800.0,3836.65,3787.3,3812.55,3813.9,261875,25930.0,44017,16.81,-0.89
