Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,ESCORTS,2024-12-26,3533.25,3533.25,3442.3,3450.0,3450.0,253825.0,923.0,1188825,37125
2024-12-11,ESCORTS,2024-12-26,3503.4,3558.35,3501.0,3508.45,3508.45,257125.0,935.0,1151700,3575
2024-12-10,ESCORTS,2024-12-26,3525.05,3575.0,3514.95,3526.35,3526.35,186175.0,677.0,1148125,-11825
2024-12-09,ESCORTS,2024-12-26,3546.3,3595.0,3532.85,3558.4,3558.4,374550.0,1362.0,1159950,-36025
2024-12-06,ESCORTS,2024-12-26,3455.05,3552.2,3454.1,3542.6,3542.6,836825.0,3043.0,1195975,1375
2024-12-05,ESCORTS,2024-12-26,3494.45,3494.45,3393.55,3455.0,3455.0,482900.0,1756.0,1194600,32725
2024-12-04,ESCORTS,2024-12-26,3555.95,3560.0,3442.0,3467.0,3467.0,481525.0,1751.0,1161875,69025
2024-12-03,ESCORTS,2024-12-26,3566.25,3588.95,3526.05,3536.0,3536.0,280775.0,1021.0,1092850,-9350
2024-12-02,ESCORTS,2024-12-26,3559.95,3579.8,3454.5,3550.45,3550.45,440000.0,1600.0,1102200,-3575
2024-11-29,ESCORTS,2024-12-26,3548.85,3589.85,3527.2,3570.6,3570.6,249975.0,909.0,1105775,29150
2024-11-28,ESCORTS,2024-11-28,3613.2,3613.2,3488.85,3506.05,3513.4,554400.0,2016.0,163350,-209000
2024-11-27,ESCORTS,2024-11-28,3607.5,3626.6,3570.3,3589.9,3589.9,502700.0,1828.0,372350,-232375
2024-11-26,ESCORTS,2024-11-28,3620.7,3631.0,3588.8,3610.75,3610.75,552750.0,2010.0,604725,-254375
2024-11-25,ESCORTS,2024-11-28,3549.9,3659.9,3549.9,3611.9,3611.9,910800.0,3312.0,859100,-314050
2024-11-22,ESCORTS,2024-11-28,3429.5,3533.45,3429.5,3506.25,3506.25,362450.0,1318.0,1173150,-34100
2024-11-21,ESCORTS,2024-11-28,3475.1,3486.9,3407.65,3450.45,3450.45,369050.0,1342.0,1207250,-41525
2024-11-19,ESCORTS,2024-11-28,3480.75,3536.55,3453.15,3487.45,3487.45,281600.0,1024.0,1248775,-7150
2024-11-18,ESCORTS,2024-11-28,3518.15,3544.05,3435.3,3449.45,3449.45,295625.0,1075.0,1255925,26400
2024-11-14,ESCORTS,2024-11-28,3546.4,3549.0,3477.75,3503.8,3503.8,298100.0,1084.0,1229525,-18150
2024-11-13,ESCORTS,2024-11-28,3595.8,3595.8,3478.7,3503.75,3503.75,449075.0,1633.0,1247675,-20075
2024-11-12,ESCORTS,2024-11-28,3696.85,3714.6,3539.9,3551.7,3551.7,517000.0,1880.0,1267750,1650
2024-11-11,ESCORTS,2024-11-28,3659.05,3672.2,3597.35,3634.85,3634.85,285725.0,1039.0,1266100,-13750
2024-11-08,ESCORTS,2024-11-28,3670.0,3679.95,3570.0,3641.55,3641.55,981750.0,3570.0,1279850,-25300
2024-11-07,ESCORTS,2024-11-28,3718.65,3771.95,3605.5,3651.5,3651.5,1730850.0,6294.0,1305150,103400
2024-11-06,ESCORTS,2024-11-28,3721.75,3785.9,3700.7,3762.2,3762.2,338525.0,1231.0,1201750,-2475
2024-11-05,ESCORTS,2024-11-28,3761.9,3780.0,3664.0,3723.15,3723.15,413600.0,1504.0,1204225,-71775
2024-11-04,ESCORTS,2024-11-28,3770.3,3786.2,3686.8,3749.15,3749.15,442200.0,1608.0,1276000,-48125
2024-11-01,ESCORTS,2024-11-28,3787.95,3810.05,3610.05,3770.85,3770.85,179025.0,651.0,1324125,-3025
2024-10-31,ESCORTS,2024-10-31,3610.2,3784.0,3610.2,3748.65,3745.15,677875.0,2465.0,327250,-195525
2024-10-30,ESCORTS,2024-10-31,3551.3,3707.9,3509.3,3641.7,3641.7,1200650.0,4366.0,522775,-510125
2024-10-29,ESCORTS,2024-10-31,3456.3,3670.0,3456.3,3532.9,3532.9,408650.0,1486.0,1032900,-357225
2024-10-28,ESCORTS,2024-10-31,3482.55,3535.0,3449.55,3499.1,3499.1,132825.0,483.0,1390125,-132825
2024-10-25,ESCORTS,2024-10-31,3452.2,3540.0,3452.2,3500.75,3500.75,159775.0,581.0,1522950,-158950
2024-10-24,ESCORTS,2024-10-31,3575.7,3589.1,3342.65,3493.9,3493.9,3010975.0,10949.0,1681900,-39600
2024-10-23,ESCORTS,2024-10-31,3625.05,3743.15,3612.3,3702.65,3702.65,494175.0,1797.0,1721500,-45375
2024-10-22,ESCORTS,2024-10-31,3716.6,3774.1,3662.05,3671.45,3671.45,524975.0,1909.0,1766875,-116600
2024-10-21,ESCORTS,2024-10-31,3869.85,3869.85,3735.9,3747.95,3747.95,409475.0,1489.0,1883475,-72325
2024-10-18,ESCORTS,2024-10-31,3754.0,3843.65,3673.85,3820.7,3820.7,598675.0,2177.0,1955800,-22275
2024-10-17,ESCORTS,2024-10-31,3938.8,3938.8,3767.5,3793.35,3793.35,574200.0,2088.0,1978075,66825
2024-10-16,ESCORTS,2024-10-31,3906.0,3967.0,3866.7,3885.45,3885.45,438075.0,1593.0,1911250,23650
2024-10-15,ESCORTS,2024-10-31,3965.7,3999.55,3890.15,3943.15,3943.15,465850.0,1694.0,1887600,-25850
2024-10-14,ESCORTS,2024-10-31,3937.8,4015.75,3914.35,3980.9,3980.9,443850.0,1614.0,1913450,21450
2024-10-11,ESCORTS,2024-10-31,3960.15,4001.15,3920.05,3957.8,3957.8,452375.0,1645.0,1892000,62150
2024-10-10,ESCORTS,2024-10-31,4098.25,4098.25,3984.05,3994.25,3994.25,480700.0,1748.0,1829850,6050
2024-10-09,ESCORTS,2024-10-31,3937.25,4083.25,3932.35,4054.4,4054.4,1300200.0,4728.0,1823800,-106425
2024-10-08,ESCORTS,2024-10-31,3890.05,3943.0,3828.8,3884.2,3884.2,776325.0,2823.0,1930225,144375
2024-10-07,ESCORTS,2024-10-31,4064.6,4064.6,3844.5,3875.4,3875.4,1059575.0,3853.0,1785850,63800
2024-10-04,ESCORTS,2024-10-31,4237.45,4237.45,4030.7,4042.25,4042.25,633325.0,2303.0,1722050,-14850
2024-10-03,ESCORTS,2024-10-31,4242.05,4263.65,4141.35,4180.25,4180.25,633050.0,2302.0,1736900,-15675
2024-10-01,ESCORTS,2024-10-31,4311.0,4377.6,4190.0,4246.0,4246.0,843150.0,3066.0,1752575,31350
2024-09-30,ESCORTS,2024-10-31,4389.4,4389.4,4262.05,4299.95,4299.95,655325.0,2383.0,1721225,-24750
2024-09-27,ESCORTS,2024-10-31,4369.3,4455.0,4326.25,4362.5,4362.5,998250.0,3630.0,1745975,40425
2024-09-26,ESCORTS,2024-09-26,4354.65,4450.0,4280.8,4346.95,4349.5,884400.0,3216.0,158675,-359975
2024-09-25,ESCORTS,2024-09-26,4304.2,4383.0,4301.65,4376.3,4376.3,583550.0,2122.0,518650,-247225
2024-09-24,ESCORTS,2024-09-26,4251.0,4367.95,4249.0,4343.25,4343.25,1914550.0,6962.0,765875,-479875
2024-09-23,ESCORTS,2024-09-26,4113.7,4249.3,4075.75,4230.4,4230.4,1484450.0,5398.0,1245750,-336875
2024-09-20,ESCORTS,2024-09-26,3827.25,4094.9,3819.85,4080.2,4080.2,3702325.0,13463.0,1582625,-240350
2024-09-19,ESCORTS,2024-09-26,3820.0,3913.6,3755.15,3828.3,3828.3,1396175.0,5077.0,1822975,134200
2024-09-18,ESCORTS,2024-09-26,3905.1,3909.05,3786.05,3796.9,3796.9,610500.0,2220.0,1688775,-28050
2024-09-17,ESCORTS,2024-09-26,3865.85,3929.95,3830.0,3888.05,3888.05,831050.0,3022.0,1716825,-13475
2024-09-16,ESCORTS,2024-09-26,3828.2,3879.7,3808.95,3860.65,3860.65,502150.0,1826.0,1730300,-57200
2024-09-13,ESCORTS,2024-09-26,3805.7,3839.0,3792.0,3824.25,3824.25,818400.0,2976.0,1787500,37400
2024-09-12,ESCORTS,2024-09-26,3785.4,3812.2,3755.0,3803.65,3803.65,332475.0,1209.0,1750100,-36575
2024-09-11,ESCORTS,2024-09-26,3751.45,3799.95,3737.0,3768.3,3768.3,461175.0,1677.0,1786675,-77275
2024-09-10,ESCORTS,2024-09-26,3710.1,3756.95,3694.2,3747.25,3747.25,359700.0,1308.0,1863950,-27500
2024-09-09,ESCORTS,2024-09-26,3677.9,3705.2,3627.5,3699.95,3699.95,459525.0,1671.0,1891450,3850
2024-09-06,ESCORTS,2024-09-26,3740.15,3769.15,3682.1,3694.65,3694.65,310750.0,1130.0,1887600,3850
2024-09-05,ESCORTS,2024-09-26,3805.0,3823.55,3755.0,3760.2,3760.2,322300.0,1172.0,1883750,47850
2024-09-04,ESCORTS,2024-09-26,3790.0,3827.8,3754.1,3793.05,3793.05,371800.0,1352.0,1835900,-22275
2024-09-03,ESCORTS,2024-09-26,3797.0,3848.0,3784.95,3805.85,3805.85,386100.0,1404.0,1858175,8525
2024-09-02,ESCORTS,2024-09-26,3878.0,3878.0,3791.05,3806.35,3806.35,410025.0,1491.0,1849650,61050
2024-08-30,ESCORTS,2024-09-26,3847.85,3894.9,3843.7,3871.15,3871.15,350075.0,1273.0,1788600,-18975
2024-08-29,ESCORTS,2024-09-26,3882.05,3889.55,3793.85,3841.95,3841.95,1262800.0,4592.0,1807575,367675
2024-08-28,ESCORTS,2024-08-29,3856.4,3880.4,3830.5,3852.3,3852.3,683100.0,2484.0,589875,-451550
2024-08-27,ESCORTS,2024-08-29,3883.7,3903.45,3845.85,3858.85,3858.85,833250.0,3030.0,1041425,-478225
2024-08-26,ESCORTS,2024-08-29,3890.6,3911.4,3869.3,3883.4,3883.4,519200.0,1888.0,1519650,-232100
2024-08-23,ESCORTS,2024-08-29,3807.0,3905.9,3770.0,3871.95,3871.95,1016675.0,3697.0,1751750,-135850
2024-08-22,ESCORTS,2024-08-29,3788.15,3820.0,3786.6,3812.05,3812.05,471350.0,1714.0,1887600,-63250
2024-08-21,ESCORTS,2024-08-29,3722.75,3807.85,3715.7,3787.9,3787.9,665775.0,2421.0,1950850,-3575
2024-08-20,ESCORTS,2024-08-29,3737.35,3762.0,3715.5,3752.3,3752.3,342925.0,1247.0,1954425,13750
2024-08-19,ESCORTS,2024-08-29,3778.35,3781.15,3728.0,3740.95,3740.95,254925.0,927.0,1940675,-2750
2024-08-16,ESCORTS,2024-08-29,3702.85,3755.3,3690.05,3745.4,3745.4,374000.0,1360.0,1943425,6325
2024-08-14,ESCORTS,2024-08-29,3673.95,3724.4,3645.5,3663.4,3663.4,370425.0,1347.0,1937100,-12650
2024-08-13,ESCORTS,2024-08-29,3729.45,3784.0,3710.4,3717.75,3717.75,425425.0,1547.0,1949750,-56375
2024-08-12,ESCORTS,2024-08-29,3690.05,3747.35,3665.85,3722.95,3722.95,391875.0,1425.0,2006125,3850
2024-08-09,ESCORTS,2024-08-29,3725.15,3743.0,3685.4,3697.7,3697.7,513425.0,1867.0,2002275,111100
2024-08-08,ESCORTS,2024-08-29,3733.25,3752.0,3681.0,3697.95,3697.95,517275.0,1881.0,1891175,17050
2024-08-07,ESCORTS,2024-08-29,3781.95,3804.45,3735.1,3757.05,3757.05,541475.0,1969.0,1874125,89650
2024-08-06,ESCORTS,2024-08-29,3847.95,3890.45,3705.15,3721.35,3721.35,710875.0,2585.0,1784475,2475
2024-08-05,ESCORTS,2024-08-29,3835.0,3835.0,3722.65,3773.7,3773.7,834625.0,3035.0,1782000,-58300
2024-08-02,ESCORTS,2024-08-29,4135.0,4135.0,3906.1,3919.0,3919.0,1538625.0,5595.0,1840300,91850
2024-08-01,ESCORTS,2024-08-29,4205.05,4256.4,4106.9,4176.9,4176.9,1689325.0,6143.0,1748450,76725
2024-07-31,ESCORTS,2024-08-29,4206.55,4215.1,4140.05,4198.0,4198.0,489225.0,1779.0,1671725,-41800
2024-07-30,ESCORTS,2024-08-29,4185.0,4225.25,4174.7,4187.4,4187.4,579150.0,2106.0,1713525,-21175
2024-07-29,ESCORTS,2024-08-29,4185.0,4203.5,4156.5,4174.7,4174.7,837375.0,3045.0,1734700,60500
2024-07-26,ESCORTS,2024-08-29,4094.75,4182.3,4079.3,4168.15,4168.15,921525.0,3351.0,1674200,149875
2024-07-25,ESCORTS,2024-08-29,4160.05,4175.5,4072.15,4085.45,4085.45,1216875.0,4425.0,1524325,377300
2024-07-24,ESCORTS,2024-07-25,4085.0,4160.0,4067.8,4148.05,4148.05,780450.0,2838.0,430650,-399575
2024-07-23,ESCORTS,2024-07-25,4027.9,4135.0,3924.95,4126.0,4126.0,1329900.0,4836.0,830225,-323125
2024-07-22,ESCORTS,2024-07-25,3932.7,4033.0,3850.55,4026.3,4026.3,869550.0,3162.0,1153350,-175725
2024-07-19,ESCORTS,2024-07-25,4005.15,4028.9,3914.0,3923.35,3923.35,731225.0,2659.0,1329075,-7975
2024-07-18,ESCORTS,2024-07-25,4027.9,4054.0,3897.85,4005.15,4005.15,1114850.0,4054.0,1337050,-72325
2024-07-16,ESCORTS,2024-07-25,4022.85,4088.0,3970.0,4039.75,4039.75,1441000.0,5240.0,1409375,-27500
2024-07-15,ESCORTS,2024-07-25,3919.05,4007.25,3893.0,3994.8,3994.8,800250.0,2910.0,1436875,86075
2024-07-12,ESCORTS,2024-07-25,3997.35,4019.45,3910.2,3923.15,3923.15,449075.0,1633.0,1350800,19800
2024-07-11,ESCORTS,2024-07-25,4088.45,4103.9,3985.8,4004.35,4004.35,523600.0,1904.0,1331000,55825
2024-07-10,ESCORTS,2024-07-25,4183.05,4207.6,4040.6,4069.65,4069.65,556600.0,2024.0,1275175,825
2024-07-09,ESCORTS,2024-07-25,4118.7,4195.0,4105.05,4183.6,4183.6,479050.0,1742.0,1274350,-9075
2024-07-08,ESCORTS,2024-07-25,4149.25,4188.1,4034.0,4122.2,4122.2,656700.0,2388.0,1283425,-44825
