DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,8.062500000000021,Bullish,4,4
High,High,Medium,26.280000000000037,Bullish,5,5
High,High,Very Low,79.93504273504271,Bearish,117,117
High,Low,Low,30.08695652173913,Bullish,23,23
High,Low,Very Low,34.55000000000002,Bullish,4,4
High,Medium,Low,24.507142857142835,Bearish,7,7
High,Medium,Very Low,25.302941176470593,Bearish,17,17
High,Very High,High,31.666666666666668,Bearish,21,21
High,Very High,Low,42.58,Bearish,5,5
High,Very High,Medium,45.94999999999997,Bearish,12,12
High,Very High,Very High,20.945833333333315,Bearish,12,12
High,Very High,Very Low,35.69166666666669,Bearish,6,6
High,Very Low,Low,24.91617647058825,Bearish,34,34
High,Very Low,Medium,27.21,Bearish,55,55
High,Very Low,Very Low,4.25,Bearish,1,1
Low,High,High,26.293749999999953,Bearish,8,8
Low,High,Low,9.424999999999997,Bearish,2,2
Low,High,Medium,19.18750000000003,Bullish,4,4
Low,High,Very High,26.450000000000045,Bullish,1,1
Low,Low,Very Low,69.99450261780102,Bearish,191,191
Low,Medium,Low,35.83888888888888,Bearish,9,9
Low,Medium,Medium,18.287499999999966,Bearish,4,4
Low,Medium,Very Low,47.13500000000003,Bullish,10,10
Low,Very High,Very High,25.53000000000003,Bearish,10,10
Low,Very Low,Low,25.087500000000006,Bearish,24,24
Low,Very Low,Medium,26.15769230769231,Bearish,13,13
Low,Very Low,Very Low,52.411702127659574,Bearish,47,47
Medium,High,High,1.5,Bullish,1,1
Medium,High,Low,15.81666666666666,Bearish,9,9
Medium,High,Medium,16.516666666666676,Bearish,12,12
Medium,High,Very Low,26.086666666666662,Bearish,30,30
Medium,Low,Low,26.035714285714334,Bullish,7,7
Medium,Low,Very Low,44.24444444444445,Bearish,27,27
Medium,Medium,Very Low,67.33757062146891,Bearish,177,177
Medium,Very High,High,20.390000000000004,Bearish,5,5
Medium,Very High,Medium,25.899999999999977,Bearish,1,1
Medium,Very High,Very High,23.53125,Bearish,8,8
Medium,Very Low,Low,25.161764705882362,Bullish,34,34
Medium,Very Low,Medium,36.91666666666668,Bearish,9,9
Medium,Very Low,Very Low,27.825000000000102,Bearish,2,2
Very High,High,Low,40.18214285714286,Bearish,28,28
Very High,High,Medium,41.070588235294125,Bearish,17,17
Very High,High,Very Low,38.371999999999986,Bearish,25,25
Very High,Low,Low,20.80384615384616,Bearish,13,13
Very High,Low,Medium,44.241666666666674,Bullish,18,18
Very High,Medium,Low,41.54473684210527,Bearish,19,19
Very High,Medium,Medium,40.00000000000002,Bullish,12,12
Very High,Very High,High,45.82777777777782,Bullish,9,9
Very High,Very High,Low,42.650000000000006,Bearish,22,22
Very High,Very High,Medium,48.34500000000006,Bearish,10,10
Very High,Very High,Very High,61.66818181818185,Bearish,11,11
Very High,Very High,Very Low,61.21808510638295,Bearish,47,47
Very High,Very Low,Medium,31.820786516853936,Bullish,89,89
Very High,Very Low,Very Low,21.800000000000004,Bullish,2,2
Very Low,High,High,19.466666666666697,Bearish,3,3
Very Low,High,Very High,17.209090909090925,Bearish,11,11
Very Low,Low,High,80.25,Bearish,2,2
Very Low,Low,Low,19.74999999999996,Bullish,3,3
Very Low,Low,Medium,22.349999999999966,Bearish,2,2
Very Low,Low,Very High,19.914285714285743,Bearish,7,7
Very Low,Low,Very Low,23.155555555555527,Bullish,9,9
Very Low,Medium,High,24.18333333333334,Bearish,3,3
Very Low,Medium,Medium,22.16249999999998,Bearish,4,4
Very Low,Medium,Very High,29.59,Bearish,15,15
Very Low,Very High,Very High,52.71999999999997,Bearish,10,10
Very Low,Very Low,High,35.23750000000004,Bearish,4,4
Very Low,Very Low,Low,21.90526315789472,Bearish,38,38
Very Low,Very Low,Medium,18.08249999999999,Bearish,20,20
Very Low,Very Low,Very High,21.31538461538461,Bearish,13,13
Very Low,Very Low,Very Low,51.69525139664804,Bullish,179,179
