Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2011-07-21,EXIDEIND,154.35,155.75,2.81,92.92
2011-07-22,EXIDEIND,149.6,201.75,1.98,145.62
2011-08-11,EXIDEIND,159.25,319.05,2.01,638.0899999999999
2012-10-22,EXIDEIND,142.25,137.84,1.4,51.35
2013-01-21,EXIDEIND,126.85,123.46,2.03,127.16
2013-02-08,EXIDEIND,129.5,169.77,1.53,186.04
2013-10-23,EXIDEIND,126.05,260.82,5.07,261.86
2013-12-09,EXIDEIND,119.65,400.0,2.03,522.73
2014-04-30,EXIDEIND,119.75,160.0,1.44,251.43
2014-07-03,EXIDEIND,158.6,287.88,1.55,181.82
2014-07-10,EXIDEIND,150.3,112.5,1.32,52.5
2014-07-23,EXIDEIND,160.0,331.25,1.14,381.25
2014-11-25,EXIDEIND,152.0,263.16,1.7,631.5799999999999
2015-05-29,EXIDEIND,153.7,252.17,1.11,230.44000000000003
2015-08-12,EXIDEIND,158.25,41.82,1.05,149.09
2016-01-21,EXIDEIND,119.95,922.22,2.7,577.78
2016-04-13,EXIDEIND,134.35,646.15,2.93,1607.6999999999998
2016-09-09,EXIDEIND,190.75,296.15,1.1,126.93
2016-11-09,EXIDEIND,190.3,307.41,1.02,70.36999999999995
2017-01-20,EXIDEIND,194.5,1683.33,3.24,3716.67
2017-10-26,EXIDEIND,206.8,159.69,4.55,193.02
2018-11-20,EXIDEIND,238.9,39.42,1.62,78.83
2019-03-29,EXIDEIND,218.7,163.16,1.24,489.47
2020-01-14,EXIDEIND,190.75,119.4,1.39,88.06
2020-02-05,EXIDEIND,185.65,161.78,6.09,108.89
2020-11-20,EXIDEIND,171.8,342.86,1.02,142.84999999999997
2021-03-19,EXIDEIND,187.2,161.82,1.85,174.54000000000002
2021-03-25,EXIDEIND,181.1,109.62,1.51,35.56999999999999
2021-05-25,EXIDEIND,190.45,140.54,1.08,-43.24
2021-08-27,EXIDEIND,157.6,146.15,1.07,265.39
2022-01-17,EXIDEIND,182.5,114.8,3.74,20.220000000000013
2022-08-16,EXIDEIND,164.25,138.75,1.4,36.25
2022-12-05,EXIDEIND,191.6,145.24,1.38,183.33
2023-01-19,EXIDEIND,189.5,97.64,2.3,83.46
2023-04-27,EXIDEIND,194.1,118.18,1.03,115.91
2023-06-09,EXIDEIND,205.7,1625.0,2.29,4100.0
2023-07-06,EXIDEIND,248.3,126.74,1.5,47.67999999999999
2024-07-19,EXIDEIND,540.5,28.76,1.48,3.98
2025-04-21,EXIDEIND,383.9,110.87,1.34,180.43
