Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,EXIDEIND,115.3,115.9,119.5,115.5,118.75,118.13,1050464,,618626,0.5889,,,,,,,,,
2010-01-05,EXIDEIND,118.75,119.0,124.85,119.0,122.25,122.79,1522955,,784993,0.5154,,,,,,,,,
2010-01-06,EXIDEIND,122.25,123.4,124.1,119.55,121.1,120.37,3714410,,3245806,0.8738,,,,,,,,,
2010-01-07,EXIDEIND,121.1,121.8,124.25,116.7,118.15,120.05,2023440,,1201654,0.5939,,,,,,,,,
2010-01-08,EXIDEIND,118.15,118.7,122.9,114.9,115.9,119.5,2464692,,1869407,0.7585,,,,,,,,,
2010-01-11,EXIDEIND,115.9,116.95,122.4,116.95,121.35,119.87,2862769,,1166377,0.40740000000000004,,,,,,,,,
2010-01-12,EXIDEIND,121.35,120.05,128.15,120.05,122.05,125.17,3773665,,1508267,0.3997,,,,,,,,,
2010-01-13,EXIDEIND,122.05,120.7,122.1,119.95,121.55,120.91,700097,,258303,0.369,,,,,,,,,
2010-01-14,EXIDEIND,121.55,122.95,124.5,118.2,119.05,121.85,1263622,,653683,0.5173,,,,,,,,,
2010-01-15,EXIDEIND,119.05,120.6,121.05,116.0,117.25,118.89,937769,,506480,0.5401,,,,,,,,,
2010-01-18,EXIDEIND,117.25,118.2,120.45,117.0,119.3,119.22,513988,,222360,0.4326,,,,,,,,,
2010-01-19,EXIDEIND,119.3,120.9,124.4,119.1,119.65,121.91,1108883,,458140,0.4132,,,,,,,,,
2010-01-20,EXIDEIND,119.65,120.0,123.3,118.1,119.55,121.45,1750554,,931705,0.5322,,,,,,,,,
2010-01-21,EXIDEIND,119.55,119.3,119.95,116.2,118.0,118.2,620531,,336323,0.542,,,,,,,,,
2010-01-22,EXIDEIND,118.0,117.6,122.95,112.5,120.05,117.5,1584993,,796527,0.5025000000000001,,,,,,,,,
2010-01-25,EXIDEIND,120.05,119.5,120.45,115.15,115.65,117.58,654141,,446829,0.6831,,,,,,,,,
2010-01-27,EXIDEIND,115.65,116.0,116.7,108.5,110.0,110.9,1474980,,891230,0.6042000000000001,,,,,,,,,
2010-01-28,EXIDEIND,110.0,110.9,112.9,108.0,108.75,109.29,1052632,,770015,0.7315,,,,,,,,,
2010-01-29,EXIDEIND,108.75,108.1,113.0,101.6,111.6,106.4,2102843,,1241716,0.5905,,,,,,,,,
2010-02-01,EXIDEIND,111.6,112.7,113.9,110.0,112.75,112.23,888238,,554882,0.6247,,,,,,,,,
2010-02-02,EXIDEIND,112.75,113.9,117.9,113.55,115.4,115.75,753782,,339586,0.45049999999999996,,,,,,,,,
2010-02-03,EXIDEIND,115.4,116.8,119.0,114.5,115.9,116.55,861481,,326939,0.37950000000000006,,,,,,,,,
2010-02-04,EXIDEIND,115.9,117.0,118.3,112.15,112.85,115.82,574396,,246698,0.42950000000000005,,,,,,,,,
2010-02-05,EXIDEIND,112.85,110.0,111.0,106.3,109.1,109.32,717990,,407583,0.5677000000000001,,,,,,,,,
2010-02-06,EXIDEIND,109.1,109.9,111.0,108.9,110.25,110.08,100145,,40971,0.40909999999999996,,,,,,,,,
2010-02-08,EXIDEIND,110.25,110.1,112.7,108.0,108.9,110.22,353882,,160038,0.4522,,,,,,,,,
2010-02-09,EXIDEIND,108.9,107.3,111.95,107.3,109.55,109.99,1142217,,889863,0.7791,,,,,,,,,
2010-02-10,EXIDEIND,109.55,110.4,111.7,109.15,109.75,110.62,288191,,153352,0.5321,,,,,,,,,
2010-02-11,EXIDEIND,109.75,110.5,112.85,108.55,111.25,110.99,414906,,142328,0.34299999999999997,,,,,,,,,
2010-02-15,EXIDEIND,111.25,112.35,112.65,110.5,110.9,111.32,393099,,280554,0.7137000000000001,,,,,,,,,
2010-02-16,EXIDEIND,110.9,111.3,111.4,108.6,110.75,109.89,335979,,225462,0.6711,,,,,,,,,
2010-02-17,EXIDEIND,110.75,111.9,113.0,109.1,109.55,111.05,994828,,690498,0.6940999999999999,,,,,,,,,
2010-02-18,EXIDEIND,109.55,109.0,110.8,108.55,109.0,109.39,408226,,281782,0.6903,,,,,,,,,
2010-02-19,EXIDEIND,109.0,108.2,108.85,106.7,107.2,107.71,234460,,142469,0.6076,,,,,,,,,
2010-02-22,EXIDEIND,107.2,108.9,109.15,106.3,106.9,107.59,313770,,205764,0.6558,,,,,,,,,
2010-02-23,EXIDEIND,106.9,106.95,108.2,105.2,106.7,106.94,439579,,314210,0.7148000000000001,,,,,,,,,
2010-02-24,EXIDEIND,106.7,106.0,107.8,104.9,105.0,105.42,2095537,,1983940,0.9467,,,,,,,,,
2010-02-25,EXIDEIND,105.0,106.3,107.2,104.2,105.2,106.08,472350,,337493,0.7145,,,,,,,,,
2010-02-26,EXIDEIND,105.2,106.0,109.7,105.2,107.25,108.28,1015416,,671270,0.6611,,,,,,,,,
2010-03-02,EXIDEIND,107.25,109.0,110.9,107.4,108.2,109.14,679117,,393415,0.5793,,,,,,,,,
2010-03-03,EXIDEIND,108.2,108.7,112.25,108.5,110.75,110.38,720136,,328485,0.4561,,,,,,,,,
2010-03-04,EXIDEIND,110.75,111.8,111.8,110.3,110.95,111.03,489645,,312212,0.6376,,,,,,,,,
2010-03-05,EXIDEIND,110.95,111.9,112.6,109.1,109.5,110.7,551500,,368276,0.6678000000000001,,,,,,,,,
2010-03-08,EXIDEIND,109.5,111.4,113.6,110.0,110.3,111.99,827062,,445285,0.5384000000000001,,,,,,,,,
2010-03-09,EXIDEIND,110.3,110.3,117.85,109.5,114.65,115.34,3811345,,2283066,0.599,,,,,,,,,
2010-03-10,EXIDEIND,114.65,116.0,117.8,112.15,112.9,115.62,1556603,,675317,0.4338,,,,,,,,,
2010-03-11,EXIDEIND,112.9,110.05,113.9,109.1,109.95,110.59,1557015,,1212222,0.7786,,,,,,,,,
2010-03-12,EXIDEIND,109.95,109.0,111.1,108.55,109.85,109.24,2715577,,2321312,0.8548,,,,,,,,,
2010-03-15,EXIDEIND,109.85,109.45,112.2,109.2,110.1,110.48,884757,,548937,0.6204,,,,,,,,,
2010-03-16,EXIDEIND,110.1,111.15,112.75,110.3,111.95,111.76,589934,,308668,0.5232,,,,,,,,,
2010-03-17,EXIDEIND,111.95,112.25,116.4,112.25,113.5,115.06,2229951,,1378079,0.618,,,,,,,,,
2010-03-18,EXIDEIND,113.5,117.0,117.0,113.6,116.55,115.5,1258368,,885827,0.7039,,,,,,,,,
2010-03-19,EXIDEIND,116.55,116.45,119.35,115.0,115.25,117.4,1856072,,994605,0.5359,,,,,,,,,
2010-03-22,EXIDEIND,115.25,114.0,116.85,113.05,114.05,114.89,946130,,338756,0.358,,,,,,,,,
2010-03-23,EXIDEIND,114.05,114.35,116.0,113.1,113.9,114.13,1555541,,1345303,0.8648,,,,,,,,,
2010-03-25,EXIDEIND,113.9,114.1,117.75,113.3,115.15,116.06,2301633,,1516990,0.6591,,,,,,,,,
2010-03-26,EXIDEIND,115.15,116.0,118.2,115.5,116.55,116.99,1008899,,693568,0.6875,,,,,,,,,
2010-03-29,EXIDEIND,116.55,117.0,118.2,116.55,117.5,117.35,816369,,575393,0.7048000000000001,,,,,,,,,
2010-03-30,EXIDEIND,117.5,118.45,120.95,118.25,120.0,120.0,1706612,,977106,0.5725,,,,,,,,,
2010-03-31,EXIDEIND,120.0,120.9,125.5,120.5,123.2,122.45,1820491,,1240396,0.6814,,,,,,,,,
2010-04-01,EXIDEIND,123.2,123.75,126.85,122.1,122.85,124.06,943326,,475318,0.5039,,,,,,,,,
2010-04-05,EXIDEIND,122.85,123.8,126.4,121.9,123.15,124.07,998197,,638161,0.6393,,,,,,,,,
2010-04-06,EXIDEIND,123.15,123.45,123.45,119.6,122.45,122.06,993968,,764755,0.7694,,,,,,,,,
2010-04-07,EXIDEIND,122.45,123.0,123.85,121.15,122.15,122.49,659826,,374299,0.5673,,,,,,,,,
2010-04-08,EXIDEIND,122.15,121.8,122.8,119.1,119.8,120.33,644321,,446664,0.6931999999999999,,,,,,,,,
2010-04-09,EXIDEIND,119.8,120.45,121.55,120.0,120.4,120.78,245180,,115924,0.4728,,,,,,,,,
2010-04-12,EXIDEIND,120.4,121.35,121.35,119.5,119.8,120.19,211713,,104217,0.49229999999999996,,,,,,,,,
2010-04-13,EXIDEIND,119.8,120.0,123.6,117.65,119.35,120.69,1557773,,1032552,0.6628000000000001,,,,,,,,,
2010-04-15,EXIDEIND,119.35,119.8,121.0,118.8,119.6,119.8,949070,,690819,0.7279000000000001,,,,,,,,,
2010-04-16,EXIDEIND,119.6,118.6,120.85,118.6,120.15,119.6,935166,,779733,0.8338,,,,,,,,,
2010-04-19,EXIDEIND,120.15,118.75,119.9,118.1,118.9,118.93,814708,,712931,0.8751000000000001,,,,,,,,,
2010-04-20,EXIDEIND,118.9,119.15,120.0,117.6,118.35,118.76,518831,,371732,0.7165,,,,,,,,,
2010-04-21,EXIDEIND,118.35,118.9,119.75,115.4,119.2,118.43,1060813,,767809,0.7238,,,,,,,,,
2010-04-22,EXIDEIND,119.2,119.6,122.05,118.9,121.25,121.0,1303179,,811227,0.6225,,,,,,,,,
2010-04-23,EXIDEIND,121.25,121.75,122.9,120.9,122.1,121.84,393462,,247567,0.6292,,,,,,,,,
2010-04-26,EXIDEIND,122.1,123.0,123.4,120.5,121.75,122.0,272804,,159450,0.5845,,,,,,,,,
2010-04-27,EXIDEIND,121.75,121.8,125.25,121.2,123.0,123.64,1046878,,404405,0.38630000000000003,,,,,,,,,
2010-04-28,EXIDEIND,123.0,121.75,125.95,120.1,123.75,123.06,3655405,,2069699,0.5662,,,,,,,,,
2010-04-29,EXIDEIND,123.75,124.75,124.75,118.5,122.1,121.22,2226485,,1233945,0.5542,,,,,,,,,
2010-04-30,EXIDEIND,122.1,122.9,124.2,122.0,122.75,122.92,521293,,329959,0.633,,,,,,,,,
2010-05-03,EXIDEIND,122.75,122.2,124.5,119.1,119.7,121.68,429528,,211556,0.4925,,,,,,,,,
2010-05-04,EXIDEIND,119.7,120.7,123.5,120.15,122.75,122.19,515223,,267352,0.5189,,,,,,,,,
2010-05-05,EXIDEIND,122.75,121.0,122.5,119.0,122.05,120.68,496580,,305458,0.6151,,,,,,,,,
2010-05-06,EXIDEIND,122.05,121.7,122.5,119.4,119.95,120.24,334861,,236707,0.7069,,,,,,,,,
2010-05-07,EXIDEIND,119.95,119.0,121.0,117.2,119.6,119.34,387601,,227748,0.5876,,,,,,,,,
2010-05-10,EXIDEIND,119.6,120.25,122.5,119.1,119.6,120.27,260814,,155326,0.5955,,,,,,,,,
2010-05-11,EXIDEIND,119.6,119.2,120.9,118.1,118.6,119.24,322252,,219364,0.6807,,,,,,,,,
2010-05-12,EXIDEIND,118.6,119.3,119.8,116.1,117.6,117.72,302544,,162168,0.536,,,,,,,,,
2010-05-13,EXIDEIND,117.6,118.5,121.7,117.05,121.15,119.46,406797,,199792,0.4911,,,,,,,,,
2010-05-14,EXIDEIND,121.15,120.8,122.9,119.25,119.85,121.19,403127,,164493,0.408,,,,,,,,,
2010-05-17,EXIDEIND,119.85,118.8,119.3,117.1,118.3,118.57,234199,,147045,0.6279,,,,,,,,,
2010-05-18,EXIDEIND,118.3,118.15,119.7,117.1,117.55,118.41,203512,,123049,0.6046,,,,,,,,,
2010-05-19,EXIDEIND,117.55,118.9,122.25,115.35,116.3,118.96,781869,,289825,0.37070000000000003,,,,,,,,,
2010-05-20,EXIDEIND,116.3,116.9,118.0,113.6,114.0,114.62,1116308,,987509,0.8845999999999999,,,,,,,,,
2010-05-21,EXIDEIND,114.0,112.1,115.9,110.5,112.4,113.2,779677,,528492,0.6778000000000001,,,,,,,,,
2010-05-24,EXIDEIND,112.4,114.35,115.7,112.85,113.35,114.39,366406,,239600,0.6539,,,,,,,,,
2010-05-25,EXIDEIND,113.35,113.45,113.55,108.6,110.8,110.58,602950,,372722,0.6182,,,,,,,,,
2010-05-26,EXIDEIND,110.8,110.8,117.4,110.25,113.1,113.63,1024647,,659836,0.644,,,,,,,,,
2010-05-27,EXIDEIND,113.1,114.0,118.4,113.8,117.25,115.8,915437,,349215,0.3815,,,,,,,,,
2010-05-28,EXIDEIND,117.25,118.7,119.6,116.25,117.85,117.75,520416,,226486,0.43520000000000003,94.85404415,,,,,,,,
2010-05-31,EXIDEIND,117.85,117.85,120.4,115.25,119.25,117.98,289350,,155263,0.5366,94.82572451,-0.03,,,,,,,
2010-06-01,EXIDEIND,119.25,119.0,122.9,117.35,121.15,119.71,749619,,443352,0.5914,94.76908522,-0.06,122.05,,204000.0,2010-06-24,46000.0,,Undecisive
2010-06-02,EXIDEIND,121.15,122.0,122.0,118.4,120.2,120.15,1213027,,811388,0.6689,94.66234195,-0.11,121.05,,298000.0,2010-06-24,94000.0,-1.0,ShortBuildUp
2010-06-03,EXIDEIND,120.2,120.7,122.9,119.7,121.15,121.52,907703,,547063,0.6027,94.46846132,-0.19,122.05,,466000.0,2010-06-24,168000.0,1.0,LongBuildUp
2010-06-04,EXIDEIND,121.15,120.2,124.4,120.0,123.75,122.8,866893,,413775,0.4773,94.27458068,-0.19,124.65,,626000.0,2010-06-24,160000.0,2.6000000000000085,LongBuildUp
2010-06-07,EXIDEIND,123.75,120.15,122.9,118.0,121.8,119.9,737262,,353996,0.48009999999999997,94.24408261,-0.03,122.6,,654000.0,2010-06-24,28000.0,-2.0500000000000114,ShortBuildUp
2010-06-08,EXIDEIND,121.8,120.3,125.9,118.75,119.75,123.76,4091621,,2215779,0.5415,93.86285664,-0.38,120.1,,986000.0,2010-06-24,332000.0,-2.5,ShortBuildUp
2010-06-09,EXIDEIND,119.75,120.3,123.35,119.8,121.85,122.14,977183,,507954,0.5197999999999999,93.91731749,0.05,122.55,,938000.0,2010-06-24,-48000.0,2.450000000000003,ShortCovering
2010-06-10,EXIDEIND,121.85,122.7,123.55,121.4,122.75,122.53,926329,,637938,0.6887000000000001,93.55134056,-0.37,123.7,,1260000.0,2010-06-24,322000.0,1.1500000000000057,LongBuildUp
2010-06-11,EXIDEIND,122.75,123.8,124.85,121.45,121.8,123.07,1188271,,545793,0.4593,93.62322889,0.07,122.5,,1190000.0,2010-06-24,-70000.0,-1.2000000000000028,LongUnwinding
2010-06-14,EXIDEIND,121.8,122.0,124.05,121.4,123.25,123.1,1042166,,651820,0.6254,93.65808383,0.03,123.55,,1152000.0,2010-06-24,-38000.0,1.0499999999999972,ShortCovering
2010-06-15,EXIDEIND,123.25,123.0,123.6,122.15,122.85,122.93,464669,,266194,0.5729,93.68422504,0.03,123.35,,1130000.0,2010-06-24,-22000.0,-0.20000000000000284,LongUnwinding
2010-06-16,EXIDEIND,122.85,123.0,127.8,122.25,124.7,125.32,4242923,,2193237,0.5169,93.03287325,-0.65,125.35,,1642000.0,2010-06-24,512000.0,2.0,LongBuildUp
2010-06-17,EXIDEIND,124.7,125.0,130.5,125.0,129.9,128.4,2810304,,993107,0.35340000000000005,92.88256129,-0.15,130.45,,1716000.0,2010-06-24,74000.0,5.099999999999994,LongBuildUp
2010-06-18,EXIDEIND,129.9,130.8,132.45,127.8,128.4,130.45,2102272,,1061989,0.5052000000000001,93.12001061,0.24,128.3,,1302000.0,2010-06-24,-414000.0,-2.1499999999999773,LongUnwinding
2010-06-21,EXIDEIND,128.4,129.95,132.25,128.8,129.2,130.35,1280197,,610425,0.4768,92.95009275,-0.17,129.65,,1102000.0,2010-06-24,-200000.0,1.3499999999999943,ShortCovering
2010-06-22,EXIDEIND,129.2,127.55,130.5,127.25,129.5,129.35,718991,,386134,0.537,93.0873341,0.14,129.35,,898000.0,2010-06-24,-204000.0,-0.30000000000001137,LongUnwinding
2010-06-23,EXIDEIND,129.5,129.0,132.25,128.15,131.15,131.06,810618,,382214,0.4715,93.1831852,0.1,131.3,,612000.0,2010-06-24,-286000.0,1.950000000000017,ShortCovering
2010-06-24,EXIDEIND,131.15,130.1,132.9,129.65,130.35,130.83,938329,,575004,0.6128,93.44459729,0.26,130.3,,226000.0,2010-06-24,-386000.0,-1.0,LongUnwinding
2010-06-25,EXIDEIND,130.35,130.35,131.9,129.0,129.9,130.6,442886,,189686,0.4283,93.43588355,-0.01,,,,,,,
2010-06-28,EXIDEIND,129.9,130.1,135.85,129.2,134.7,133.55,1098688,,537999,0.4897,93.19189894,-0.24,,,,,,,
2010-06-29,EXIDEIND,134.7,135.0,137.0,128.5,129.75,131.87,1917697,,931186,0.48560000000000003,92.92830841,-0.26,,,,,,,
2010-06-30,EXIDEIND,129.75,128.0,132.5,128.0,131.75,131.13,889309,,519291,0.5839,92.85859852,-0.07,,,,,,,
2010-07-01,EXIDEIND,131.75,130.9,131.65,129.5,130.0,130.24,360218,,162793,0.45189999999999997,92.83463574,-0.02,130.6,,1972000.0,2010-07-29,26000.0,0.29999999999998295,LongBuildUp
2010-07-02,EXIDEIND,130.0,130.65,131.15,127.1,128.4,129.2,361944,,184445,0.5096,92.78671019,-0.05,129.25,,2016000.0,2010-07-29,44000.0,-1.3499999999999943,ShortBuildUp
2010-07-05,EXIDEIND,128.4,127.1,128.9,125.6,126.25,126.92,465130,,302892,0.6512000000000001,92.70175126,-0.08,127.35,,2094000.0,2010-07-29,78000.0,-1.9000000000000057,ShortBuildUp
2010-07-06,EXIDEIND,126.25,126.25,127.9,124.5,126.8,125.54,1564765,,1191207,0.7613,92.49262159,-0.21,128.2,,2284000.0,2010-07-29,190000.0,0.8499999999999943,LongBuildUp
2010-07-07,EXIDEIND,126.8,127.5,127.65,125.4,126.7,126.69,994103,,671529,0.6755,92.49480002,0.0,127.55,,2284000.0,2010-07-29,0.0,-0.6499999999999915,Undecisive
2010-07-08,EXIDEIND,126.7,128.0,132.85,127.45,132.2,131.14,1544836,,719948,0.466,92.58193739,0.09,132.9,,2202000.0,2010-07-29,-82000.0,5.3500000000000085,ShortCovering
2010-07-09,EXIDEIND,132.2,131.5,134.8,131.5,134.15,133.72,912479,,397802,0.436,92.66907475,0.09,134.6,,2120000.0,2010-07-29,-82000.0,1.6999999999999886,ShortCovering
2010-07-12,EXIDEIND,134.15,135.0,135.4,131.8,132.55,133.18,940371,,617061,0.6562,92.5252981,-0.14,133.7,,2250000.0,2010-07-29,130000.0,-0.9000000000000057,ShortBuildUp
2010-07-13,EXIDEIND,132.55,134.0,136.25,132.5,135.9,135.3,1358470,,665616,0.49,92.75621212,0.23,136.35,,2038000.0,2010-07-29,-212000.0,2.6500000000000057,ShortCovering
2010-07-14,EXIDEIND,135.9,138.2,141.7,137.25,138.7,139.81,4634586,,2425809,0.5234000000000001,93.20496954,0.45,138.9,,1592000.0,2010-07-29,-446000.0,2.5500000000000114,ShortCovering
2010-07-15,EXIDEIND,138.7,140.0,140.0,134.2,134.5,136.13,1063075,,493420,0.46409999999999996,93.15922242,-0.05,135.4,,1626000.0,2010-07-29,34000.0,-3.5,ShortBuildUp
2010-07-16,EXIDEIND,134.5,135.55,137.3,134.45,135.1,135.48,1261226,,759038,0.6018,93.20496954,0.05,135.95,,1590000.0,2010-07-29,-36000.0,0.549999999999983,ShortCovering
2010-07-19,EXIDEIND,135.1,135.25,136.85,134.0,135.7,135.07,474253,,179265,0.378,93.25507352,0.05,136.25,,1540000.0,2010-07-29,-50000.0,0.30000000000001137,ShortCovering
2010-07-20,EXIDEIND,135.7,135.3,137.8,132.0,132.6,133.88,605192,,314664,0.5199,93.09604783,-0.16,133.05,,1654000.0,2010-07-29,114000.0,-3.1999999999999886,ShortBuildUp
2010-07-21,EXIDEIND,132.6,133.0,133.45,130.65,132.6,131.84,753009,,353672,0.4697,93.03287325,-0.06,133.25,,1642000.0,2010-07-29,-12000.0,0.19999999999998863,ShortCovering
2010-07-22,EXIDEIND,132.6,132.05,135.25,132.05,134.9,133.91,443851,,209189,0.47130000000000005,93.09604783,0.06,135.1,,1572000.0,2010-07-29,-70000.0,1.8499999999999943,ShortCovering
2010-07-23,EXIDEIND,134.9,135.5,136.4,132.9,133.95,134.71,715098,,414437,0.5796,93.15704399,0.06,134.2,,1444000.0,2010-07-29,-128000.0,-0.9000000000000057,LongUnwinding
