Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-03-26,FEDERALBNK,194.85,194.1,196.5,191.9,192.31,193.92,5584885,59148.0,2264354,40.54,-0.84
2025-03-25,FEDERALBNK,195.8,196.74,197.3,193.4,194.85,194.86,6813212,72271.0,3547686,52.07,-0.5
2025-03-24,FEDERALBNK,187.3,188.0,196.74,187.3,195.8,193.66,9174683,57659.0,4526234,49.33,-0.25
2025-03-21,FEDERALBNK,186.54,187.0,188.31,185.8,187.3,187.31,6584799,50808.0,3535721,53.7,-0.51
2025-03-20,FEDERALBNK,186.19,186.8,187.68,185.65,186.54,186.61,4488082,41125.0,2848797,63.47,-0.69
2025-03-19,FEDERALBNK,180.18,181.8,186.95,180.56,186.19,184.18,11138888,63033.0,7170234,64.37,0.44
2025-03-18,FEDERALBNK,177.34,178.09,180.58,176.9,180.18,179.33,7024086,91893.0,4049729,57.65,-0.37
2025-03-17,FEDERALBNK,176.6,177.48,178.25,175.55,177.34,177.32,3411602,37186.0,1652012,48.42,-1.0
2025-03-13,FEDERALBNK,178.22,178.65,179.34,176.25,176.6,177.18,3060509,33501.0,1623408,53.04,-1.01
2025-03-12,FEDERALBNK,179.12,180.0,181.15,176.9,178.22,178.43,5916404,30641.0,3503990,59.22,-0.51
2025-03-11,FEDERALBNK,179.12,177.9,180.25,175.5,179.12,178.77,5753482,33460.0,3290076,57.18,-0.57
2025-03-10,FEDERALBNK,180.51,180.4,180.95,178.3,179.12,179.53,6397181,53091.0,3271936,51.15,-0.58
2025-03-07,FEDERALBNK,181.74,181.34,182.95,179.95,180.51,181.31,6040527,40309.0,3877439,64.19,-0.42
2025-03-06,FEDERALBNK,181.51,183.06,183.5,180.71,181.74,182.09,7595816,60349.0,5031237,66.24,-0.12
2025-03-05,FEDERALBNK,176.51,176.9,181.85,176.51,181.51,179.73,6338076,46031.0,3420676,53.97,-0.54
2025-03-04,FEDERALBNK,179.48,178.75,178.75,175.3,176.51,177.08,7378836,44418.0,3559624,48.24,-0.5
2025-03-03,FEDERALBNK,177.62,177.81,179.98,172.66,179.48,177.48,10498910,63711.0,5601232,53.35,0.03
2025-02-28,FEDERALBNK,178.71,178.2,179.05,175.01,177.62,176.85,5614981,56365.0,2982955,53.12,-0.65
2025-02-27,FEDERALBNK,178.71,179.0,180.84,177.55,178.71,178.83,12518738,73659.0,6236590,49.82,0.2
2025-02-25,FEDERALBNK,181.24,182.0,182.62,177.9,178.71,179.16,8344437,58272.0,3779870,45.3,-0.44
2025-02-24,FEDERALBNK,179.85,180.0,183.4,179.05,181.24,181.64,13756156,97968.0,5766692,41.92,0.08
2025-02-21,FEDERALBNK,184.38,184.22,185.83,179.0,179.85,181.35,5491982,43998.0,2940943,53.55,-0.66
2025-02-20,FEDERALBNK,181.18,180.55,184.9,179.2,184.38,182.53,3532472,39309.0,1864725,52.79,-0.94
2025-02-19,FEDERALBNK,180.69,180.69,182.95,179.01,181.18,181.15,3020603,27976.0,1448703,47.96,-1.05
2025-02-18,FEDERALBNK,181.54,181.82,182.44,178.71,180.69,179.98,4152347,52344.0,1843773,44.4,-0.95
2025-02-17,FEDERALBNK,181.01,180.25,182.46,176.96,181.54,180.46,4678837,61217.0,2242217,47.92,-0.84
2025-02-14,FEDERALBNK,181.8,182.02,183.25,178.49,181.01,180.51,3674337,60631.0,1552640,42.26,-1.03
2025-02-13,FEDERALBNK,183.95,184.15,185.05,181.44,181.8,182.86,4044621,41843.0,1649555,40.78,-1.0
2025-02-12,FEDERALBNK,183.67,183.49,185.17,177.11,183.95,181.9,4770520,58723.0,1838609,38.54,-0.95
2025-02-11,FEDERALBNK,186.56,186.9,187.99,181.28,183.67,183.62,2332865,36110.0,814128,34.9,-1.22
2025-02-10,FEDERALBNK,188.14,188.85,189.42,185.97,186.56,187.15,9502645,52296.0,6113266,64.33,0.17
2025-02-07,FEDERALBNK,183.62,184.2,189.52,182.35,188.14,186.54,7298157,60907.0,2713803,37.18,-0.72
2025-02-06,FEDERALBNK,183.87,185.35,186.0,182.81,183.62,183.87,3983013,40495.0,2205897,55.38,-0.85
2025-02-05,FEDERALBNK,181.23,181.99,185.09,181.99,183.87,183.85,4286422,43181.0,2151576,50.2,-0.87
2025-02-04,FEDERALBNK,180.56,181.9,183.89,180.5,181.23,181.8,5216085,62807.0,2589655,49.65,-0.75
2025-02-03,FEDERALBNK,184.09,183.0,183.3,180.0,180.56,180.99,3886494,58858.0,1509490,38.84,-1.04
2025-02-01,FEDERALBNK,187.21,188.24,188.94,182.5,184.09,185.63,4749102,51909.0,1980721,41.71,-0.91
2025-01-31,FEDERALBNK,184.96,185.26,188.28,184.58,187.21,186.81,5772412,50698.0,2802194,48.54,-0.7
2025-01-30,FEDERALBNK,186.18,186.2,187.22,184.2,184.96,185.73,14297599,101022.0,5887096,41.18,0.11
2025-01-29,FEDERALBNK,184.1,183.55,187.78,181.61,186.18,185.26,10013432,71825.0,4940668,49.34,-0.14
2025-01-28,FEDERALBNK,191.14,187.9,187.9,178.09,184.1,182.69,43454549,252957.0,19682482,45.29,3.72
2025-01-27,FEDERALBNK,188.11,186.02,194.1,185.6,191.14,190.57,14535640,153185.0,4735791,32.58,-0.19
2025-01-24,FEDERALBNK,190.75,191.33,191.88,187.3,188.11,189.75,7657794,77650.0,4761187,62.17,-0.19
2025-01-23,FEDERALBNK,190.1,190.1,192.44,189.6,190.75,190.77,3960511,43823.0,2046094,51.66,-0.9
2025-01-22,FEDERALBNK,192.35,193.2,193.44,186.53,190.1,188.73,9163217,97351.0,4730663,51.63,-0.19
2025-01-21,FEDERALBNK,194.03,194.99,194.99,191.25,192.35,192.43,4833705,49562.0,2283758,47.25,-0.83
2025-01-20,FEDERALBNK,191.58,193.44,195.05,190.7,194.03,193.39,5380998,61301.0,2577730,47.9,-0.76
2025-01-17,FEDERALBNK,195.42,195.9,195.98,191.27,191.58,192.57,8047952,58898.0,4059200,50.44,-0.37
2025-01-16,FEDERALBNK,194.14,196.0,197.84,194.98,195.42,195.92,5711244,70087.0,2521490,44.15,-0.77
2025-01-15,FEDERALBNK,192.56,194.5,196.2,193.0,194.14,194.47,4521543,47786.0,2033171,44.97,-0.9
2025-01-14,FEDERALBNK,187.72,189.0,194.28,188.61,192.56,192.26,5224795,56483.0,1533291,29.35,-1.03
2025-01-13,FEDERALBNK,189.1,186.52,188.5,185.71,187.72,187.24,7575227,61447.0,3648534,48.16,-0.48
2025-01-10,FEDERALBNK,193.44,193.6,193.6,187.06,189.1,189.57,7899382,67464.0,3295703,41.72,-0.57
2025-01-09,FEDERALBNK,195.5,195.5,196.0,192.2,193.44,193.54,6131064,79987.0,3384668,55.21,-0.55
2025-01-08,FEDERALBNK,197.31,197.35,197.6,192.1,195.5,194.72,8162449,96095.0,3610076,44.23,-0.49
2025-01-07,FEDERALBNK,197.53,197.95,200.49,196.82,197.31,198.25,6619585,76022.0,3829706,57.85,-0.43
2025-01-06,FEDERALBNK,205.25,205.3,205.64,195.66,197.53,199.21,7247076,96957.0,2598391,35.85,-0.75
