Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2013-06-04,GLENMARK,597.35,145.45,4.85,736.3700000000001
2014-07-28,GLENMARK,660.55,43.68,1.16,89.65
2014-09-26,GLENMARK,688.25,52.63,1.38,673.69
2015-07-09,GLENMARK,1037.15,22.22,1.02,139.68
2015-08-20,GLENMARK,1221.35,30.54,2.14,97.6
2015-08-31,GLENMARK,1154.8,101.3,18.89,249.16
2017-05-17,GLENMARK,698.0,64.41,3.43,90.09
2017-05-18,GLENMARK,674.75,67.3,2.69,101.88
2018-11-30,GLENMARK,653.15,20.98,1.29,69.22999999999999
2019-06-25,GLENMARK,455.55,103.57,2.19,26.79000000000002
2020-04-17,GLENMARK,314.45,176.0,2.0,-16.0
2020-05-29,GLENMARK,355.05,140.14,2.77,48.30000000000001
2020-09-24,GLENMARK,454.35,135.59,1.17,62.72
2021-04-06,GLENMARK,507.65,108.26,2.01,76.14
2021-04-28,GLENMARK,563.6,163.33,1.23,41.66999999999999
2021-06-17,GLENMARK,639.5,164.86,1.15,145.95
2022-09-09,GLENMARK,388.95,89.66,1.22,331.03
2023-05-10,GLENMARK,569.95,205.0,1.41,500.0
2023-05-19,GLENMARK,624.3,577.78,1.71,372.22
2024-02-16,GLENMARK,872.25,77.41,3.34,7.359999999999999
2024-07-11,GLENMARK,1384.4,78.67,2.42,244.0
